iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.6746244430541992,0.12100245813644249,0.0033363273882933077,0.12618239063207895,0.11686286537249758,0.0,0.15486695612677737,0.1,0.030609846115112305,0.06475520133972168,0.0533593,1.3158339,0.12100245813644249,0.0,0.0016600840088968334,0.0,300,0.24187254905700684,2.798104213993232,0.7049217092425168,300,0.11829132425378303,0.0
1,1.45346999168396,0.12789979194215056,0.010600375167776708,0.14620757181558192,0.12053484333340629,0.0,0.15978354064201147,0.1,0.0029349327087402344,0.05814719200134277,0.051832955,1.4922491,0.1216921915170133,0.0,0.0017559391948520939,0.0,300,0.4941518306732178,0.736090073969344,0.23340317017686663,600,0.11807836197932546,0.0
2,1.8350884914398193,0.12259919103708966,0.00534162197698703,0.1275270777724442,0.1138855844912377,0.0,0.15888284058255958,0.1,0.0032813549041748047,0.05818295478820801,0.050136145,2.121155,0.12178289146902094,0.0,0.0016835791292691168,0.0,300,0.057532310485839844,0.25251490657639486,0.2775924114730656,900,0.12011042344403437,0.0
3,1.8130009174346924,0.13275244243595302,0.017279934052137954,0.15949600331776712,0.11233291642592394,0.0,0.1551885353816725,0.1,0.17934298515319824,0.14443755149841309,0.05146075,1.9906797,0.12287984656571414,0.0,0.0018198286688834468,0.0,300,0.10102057456970215,0.23338944778872953,0.1873208441959075,1200,0.1212879232883839,0.0
4,1.8852038383483887,0.14225904725495528,0.01717016039459716,0.17091659100863474,0.12660694085161356,0.0,0.15518402668946218,0.1,0.0048520565032958984,0.05874896049499512,0.05334084,2.561979,0.12481776663463826,0.0,0.0019399385910018022,0.0,300,0.06627058982849121,0.19380824118333567,0.1435375084764124,1500,0.12271887929475776,0.0
5,1.805959701538086,0.13777978116469936,0.014392600608678037,0.15340397881134873,0.11625114435727103,0.0,0.13271146222849345,0.1,0.08487868309020996,1.4457557201385498,0.053597704,12.614835,0.12611396808764436,0.0,0.001886186535599118,0.0,300,0.4969191551208496,0.11865909786738353,0.10569236243629043,1800,0.12101378331514638,0.0
6,1.8462836742401123,0.14669598443079712,0.036439010041089785,0.20834379498692018,0.11618005124479916,0.0,0.17304610853603725,0.1,0.2489004135131836,1.5993292331695557,0.04963188,1.3631332,0.12817216972195963,0.0,0.0019360135599535875,0.0,300,0.20434808731079102,0.3141390143567917,0.2745283155553848,2100,0.13131295090478243,0.0
7,1.838738203048706,0.12890877879340928,0.007661347157171436,0.14116937138154045,0.12082545972286175,0.0,0.126160947297036,0.1,0.07501816749572754,1.1518464088439941,0.046144452,22.638262,0.1282458306291046,0.0,0.0017605587891544427,0.0,300,0.6740841865539551,0.2039505063886105,0.1135502915603957,2400,0.13537343876911614,0.0
8,1.928039789199829,0.14428494152682564,0.03883480132554727,0.2109528735530517,0.1136990025832374,0.0,0.16103324847872524,0.1,0.17260956764221191,0.9991989135742188,0.052092306,1.8761902,0.12984974171887673,0.0,0.001967661136376275,0.0,300,0.6462469100952148,0.27916636309920356,0.2535004683859131,2700,0.13769368567329596,0.0
9,1.9332599639892578,0.14734708094445478,0.019414372885407594,0.17633337797849835,0.1231877840287319,0.0,0.1441948987685823,0.1,0.07922029495239258,1.4444878101348877,0.051844846,12.780276,0.13159947564143454,0.0,0.0020052220738391332,0.0,300,0.5583817958831787,0.1529097915776468,0.1486497897375036,3000,0.1419410256612408,0.0
10,1.8806076049804688,0.1391079610862154,0.019633329002958527,0.1667440107550899,0.11819110671130811,0.0,0.1389086627513194,0.1,0.08940339088439941,1.522444725036621,0.04902672,11.089564,0.13235032418591264,0.0,0.00189977051619168,0.0,300,0.419586181640625,0.242632814313239,0.13013119696965786,3300,0.12291016166101415,0.0
11,1.918398141860962,0.13542789137183184,0.010906451143396606,0.15211873846563015,0.12302919019955526,0.0,0.1495786067053239,0.1,0.09003949165344238,1.4461045265197754,0.051684856,21.514973,0.13265808090450457,0.0,0.0018506843837524007,0.0,300,0.5110855102539062,0.09480558899568559,0.08523503551319984,3600,0.13275785285304906,0.0
12,1.8649795055389404,0.2117409688193987,0.12490713618627357,0.42638936006492667,0.1262482446360147,0.0,0.18825006057364083,0.1,0.08297395706176758,0.1524372100830078,0.0487463,1.6004192,0.14056636969599398,0.0,0.002779348674451412,0.0,300,0.23133182525634766,0.7823618249195321,0.5740905293218249,3900,0.13335875071240721,0.0
13,1.9285149574279785,0.15347081794448575,0.03207426912400799,0.19831732002713356,0.12208985143706944,0.0,0.16312883636532977,0.1,0.23746943473815918,0.4211728572845459,0.05020152,3.2391949,0.14185681452084317,0.0,0.002068401413565874,0.0,300,0.31217503547668457,1.299420111246678,0.4215462548947522,4200,0.14039292330139388,0.0
14,1.6923134326934814,0.2290934459649039,0.13788577778807193,0.4665221524302918,0.13012212733620954,0.0,0.16664709661101967,0.1,0.15504240989685059,1.4323930740356445,0.048748914,1.3349234,0.15058047766524923,0.0,0.003098352053431929,0.0,300,0.32917118072509766,0.5907024838678571,0.631175086734229,4500,0.1473397758727783,0.0
