iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.153717279434204,0.035492597841247,0.02752404632551896,0.07570430825094733,0.0030190658886081654,0.0,0.13910612461294597,0.1,0.05304145812988281,0.057424306869506836,0.055461112,1.678831,0.035492597841247,0.0,0.0007032636031616283,0.0,200,0.03855443000793457,1.6613035012117183,0.6500792582444459,200,0.028351473953930287,0.0
1,0.911271333694458,0.03906110309737427,0.013867701046375355,0.05447374087438996,0.024670095161593922,0.0,0.14706516935380612,0.1,0.0027930736541748047,0.05224323272705078,0.04963892,0.74485505,0.03584944836685973,0.0,0.0007681252916572033,0.0,200,0.01385498046875,0.45491069700487247,0.27259976860736446,400,0.03360719235333933,0.0
2,0.9387233257293701,0.03330101034342251,0.008467194459023409,0.04358623984938468,0.02095448105393984,0.0,0.15001388683020295,0.1,0.003394603729248047,0.05182623863220215,0.050468765,1.0289305,0.03559460456451601,0.0,0.0006634496077914277,0.0,200,0.014861822128295898,0.3907198469961075,0.2439754511206693,600,0.036372580243904766,0.0
3,0.9658675193786621,0.041107199787768486,0.03467173831479304,0.09563077134164137,0.007889337343991033,0.0,0.1427032109578753,0.1,0.0028450489044189453,0.05337119102478027,0.05047092,1.0563865,0.03614586408684126,0.0,0.0008095360388811695,0.0,200,0.0148773193359375,0.5735690143767075,0.45378916109940326,800,0.05303576659300339,0.0
4,1.005371332168579,0.1470695440241277,0.08784668750864322,0.24465888670985642,0.02757136900924437,0.0,0.1464246969410411,0.1,0.0027267932891845703,0.05320405960083008,0.051385336,1.056279,0.04723823208056991,0.0,0.002917520794224768,0.0,200,0.013549089431762695,0.7191823877220723,0.44018879574778413,1000,0.07066383575769301,0.0
5,0.9933104515075684,0.12159471635215616,0.07324679187707517,0.23041504175555988,0.04077405840832385,0.0,0.13523104226459828,0.1,0.0027587413787841797,0.05423545837402344,0.050382666,1.3715384,0.054673880507728534,0.0,0.0024290433685406647,0.0,200,0.01356053352355957,0.44017016258006864,0.5370803278004815,1200,0.10086955880161867,0.0
6,0.9765064716339111,0.05684863448636886,0.04578873573031544,0.13048762257406737,0.01211667730209118,0.0,0.15211577990084033,0.1,0.0027425289154052734,0.05269312858581543,0.049848758,0.8487772,0.05489135590559256,0.0,0.001129442001132676,0.0,200,0.013784408569335938,2.186524158175429,1.0117681053987797,1400,0.17059269531268326,0.0
7,1.0680255889892578,0.03344341569577651,0.018982464428681286,0.06299936520989377,0.014907053611762661,0.0,0.14297969181629655,0.1,0.002717256546020508,0.052884578704833984,0.049396444,1.5116767,0.05274656188461096,0.0,0.000662113479867876,0.0,200,0.013635396957397461,5.026773272869969,0.6395682567429557,1600,0.16232745574347576,0.0
8,1.0032415390014648,0.1803788558490065,0.2322271837514068,0.5812143676963067,0.023287948626266434,0.0,0.13987211896139398,0.1,0.002663135528564453,0.05217885971069336,0.049071215,1.3174013,0.06550979128105051,0.0,0.003573407457191907,0.0,200,0.013424396514892578,0.8501302168944657,0.8426087657979874,1800,0.2145765337238935,0.0
9,1.0068366527557373,0.1311870493666606,0.12323857358449984,0.3161472613276279,0.011265774001217685,0.0,0.13611665557927896,0.1,0.0027010440826416016,0.05199313163757324,0.050238114,1.2927986,0.07207751708961152,0.0,0.002608332217252235,0.0,200,0.01318669319152832,0.7010757931724799,0.5876458347306925,2000,0.18667589008813132,0.0
10,1.0186896324157715,0.054829908194174895,0.03760801559237727,0.1121191413910013,0.009636166838398501,0.0,0.1389705759789248,0.1,0.0028443336486816406,0.0526735782623291,0.04809357,1.1767604,0.07035275620006785,0.0,0.0010938219107549554,0.0,200,0.014266014099121094,0.6773869075332651,1.0283775286448422,2200,0.1490668213393041,0.0
11,1.0672714710235596,0.23629865049659812,0.2994780035075932,0.752369385180093,0.01855080194186805,0.0,0.13492525231254934,0.1,0.002773761749267578,0.05224490165710449,0.047439694,1.5681146,0.08694734562972088,0.0,0.004715438243401898,0.0,200,0.014717340469360352,0.7979184145976662,0.7567165635728362,2400,0.17301656441164526,0.0
12,1.0079524517059326,0.11398505355408096,0.06145617838083514,0.19640903186015138,0.05448335489858102,0.0,0.13633674417589936,0.1,0.002927064895629883,0.05267500877380371,0.05079712,1.3104529,0.0896511164221569,0.0,0.0022782944486464474,0.0,200,0.013350486755371094,0.410914677559979,0.4892830433835389,2600,0.20359182753663055,0.0
13,1.013841152191162,0.17517049068641216,0.22156818752729066,0.5562994648917372,0.025058244950362598,0.0,0.1390564398047187,0.1,0.00286865234375,0.055056095123291016,0.04965547,1.6061625,0.09820305384858244,0.0,0.0034864814451795413,0.0,200,0.013547897338867188,0.6838619594668992,0.6731301975101225,2800,0.20700857955017862,0.0
14,1.0286550521850586,0.3307566983331783,0.2657357698118614,0.7828885232805025,0.12459563556909695,0.0,0.13373343230291532,0.1,0.002803802490234375,0.05207943916320801,0.04906069,1.6753851,0.12145841829704201,0.0,0.006583836671628842,0.0,200,0.013102531433105469,0.5879488333510404,0.5073947324839877,3000,0.275784037436961,0.0
15,1.0095231533050537,0.08204934151443047,0.014009671794597518,0.10503050013010617,0.0675657911254437,0.0,0.12825616192508982,0.1,0.002705097198486328,0.05521106719970703,0.051277965,2.0362377,0.11751751061878087,0.0,0.0016309353722863229,0.0,200,0.013595819473266602,4.385127044329101,4.526657676051401,3200,0.2591343000606346,0.0
16,1.0247559547424316,0.14780694040123354,0.057449756148187606,0.23912431981853985,0.09724548094887399,0.0,0.12767686277635526,0.1,0.0027816295623779297,0.05209612846374512,0.049983434,1.2128499,0.12054645359702613,0.0,0.0028705285833914673,0.0,200,0.01386880874633789,0.418573271003391,0.23074425649386,3400,0.4023854420678041,0.0
17,1.020336389541626,0.1720482291156679,0.08370960839491379,0.28917355493095015,0.056701687342700244,0.0,0.13394514634826418,0.1,0.0026831626892089844,0.05222010612487793,0.04980501,1.0112363,0.1256966311488903,0.0,0.0034203918180306086,0.0,200,0.013710498809814453,0.23838792329901998,0.23703688749214444,3600,0.29248742308167414,0.0
18,1.1141242980957031,0.4673087167867035,0.2729862769860586,0.745017768685956,0.09800326338390497,0.0,0.13637152904413227,0.1,0.0027976036071777344,0.05228900909423828,0.049264118,0.98189515,0.15985783971267162,0.0,0.009327265517349118,0.0,200,0.012967348098754883,0.6286808420598932,0.5629575385136227,3800,0.4942396527695457,0.0
19,1.0266335010528564,0.16359173780210393,0.09979465310483167,0.30265759642528167,0.02588921794424756,0.0,0.13020082229644078,0.1,0.002727508544921875,0.05212664604187012,0.049797848,0.9177736,0.16023122952161487,0.0,0.0031006653148603625,0.0,200,0.014017343521118164,0.32940863261181413,0.41185493776604065,4000,0.5395236425779093,0.0
20,1.0353872776031494,0.20287856814150898,0.15288132053323505,0.45333039260310026,0.04789571099637453,0.0,0.13721779347160826,0.1,0.0027709007263183594,0.05389595031738281,0.0496324,1.3929044,0.16449596338360428,0.0,0.00399255299837508,0.0,200,0.01309347152709961,0.4591386662310088,0.46147006079144676,4200,0.5229598980761275,0.0
