iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.9986271858215332,-0.9995041751355258,1.4256475204393026e-07,-0.9995039720208647,-0.9995043749657808,0.0,0.6139379668214293,0.1,0.03082561492919922,0.00908660888671875,0.050427675,0.19354688,-0.9995041751355258,0.0,-0.024910303028667348,0.0,4,0.0013265609741210938,1.159069702490963,1.159069702490963,4,-0.999504197244567,0.0
1,0.9157357215881348,-0.9995039717474878,2.6134808801659993e-07,-0.9995036092693856,-0.9995042464003676,0.0,0.2764395960360985,0.1,0.0016930103302001953,0.0184171199798584,0.05006677,0.70445645,-0.999504154796722,0.0,-0.024910303028667348,0.0,4,0.0011944770812988281,1.1590697092620859,1.1590697092620859,8,-0.9995041895659643,0.0
2,0.8957855701446533,-0.9995042565613705,1.206017808460152e-07,-0.9995040658773842,-0.9995044000400537,0.0,0.6160341652005444,0.1,0.0016019344329833984,0.017558574676513672,0.05035478,0.28874987,-0.999504164973187,0.0,-0.024910303028667348,0.0,4,0.0012006759643554688,1.1590698028371378,1.1590698028371378,12,-0.9995041825915868,0.0
3,0.9163870811462402,-0.9995041891450447,1.4531321088624847e-07,-0.9995039861108621,-0.9995043854168548,0.0,0.4600542849059036,0.1,0.0015645027160644531,0.017383337020874023,0.04875955,0.78539366,-0.9995041673903727,0.0,-0.024910303028667348,0.0,4,0.0011897087097167969,1.1590696333364694,1.1590696333364694,16,-0.9995041722576946,0.0
4,0.9622752666473389,-0.9995041320264555,1.9202725862980218e-07,-0.9995039411048234,-0.9995044102746096,0.0,0.4592238916955879,0.1,0.0014536380767822266,0.020154714584350586,0.050032854,0.31339937,-0.999504163853981,0.0,-0.024910303028667348,0.0,4,0.0012323856353759766,1.1590696523178667,1.1590696523178667,20,-0.9995041622999671,0.0
5,0.9488070011138916,-0.9995042177835459,1.042156337005234e-07,-0.9995040466467904,-0.9995043276276674,0.0,0.5866450954551977,0.1,0.0015845298767089844,0.02025580406188965,0.04840836,1.1732988,-0.9995041692469375,0.0,-0.024910303028667348,0.0,4,0.0014612674713134766,1.1590696333364694,1.1590696333364694,24,-0.999504157785227,0.0
6,0.9750664234161377,-0.9995039690722931,1.664142056480955e-07,-0.9995037442035193,-0.9995041630221124,0.0,0.5541967879494311,0.1,0.0015361309051513672,0.02016425132751465,0.050715834,0.22193317,-0.9995041492294731,0.0,-0.024910303028667348,0.0,4,0.0012865066528320312,1.159069778416617,1.159069778416617,28,-0.999504146984696,0.0
7,0.9451050758361816,-0.9995040726397768,1.2253995015727876e-07,-0.9995039105368846,-0.9995042464400274,0.0,0.6430479445110336,0.1,0.0016961097717285156,0.023823261260986328,0.048662186,0.43692183,-0.9995041415705035,0.0,-0.024910303028667348,0.0,4,0.0012922286987304688,1.1590697404537809,1.1590697404537809,32,-0.9995041375114387,0.0
8,0.9718470573425293,-0.999504037440871,2.401026621538774e-07,-0.9995037645289091,-0.9995043278733602,0.0,0.3870447263869073,0.1,0.0015628337860107422,0.022948265075683594,0.050943136,0.36430565,-0.9995041311575403,0.0,-0.024910303028667348,0.0,4,0.0011892318725585938,1.1590698096083016,1.1590698096083016,36,-0.9995041219579136,0.0
9,0.9716358184814453,-0.9995040479882116,1.3729525753944293e-07,-0.999503883495104,-0.9995042532612175,0.0,0.5327378153230766,0.1,0.0015358924865722656,0.019060611724853516,0.048688173,0.42116034,-0.9995041228406074,0.0,-0.024910303028667348,0.0,4,0.0014293193817138672,1.1590698096083016,1.1590698096083016,40,-0.9995041086681007,0.0
