Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.01  0.01  0.01 
   2  0.01  0.01  0.01 
   3  0.01  0.01  0.01 
   4  0.02  0.01  0.01 
   5  0.03  0.01  0.02 
   6  0.01  0.01  0.03 
   7  0.01  0.01  0.03 
   8  0.04  0.01  0.03 
   9  0.02  0.02  0.04 
  10  0.01  0.02  0.04 
  11  0.03  0.02  0.04 
  12  0.03  0.02  0.04 
  13  0.04  0.03  0.04 
  14  0.12  0.04  0.04 
  15  0.02  0.04  0.12 
  16  0.04  0.03  0.12 
  17  0.04  0.06  0.12 
  18  0.10  0.07  0.12 
  19  0.03  0.06  0.12 
  20  0.06  0.04  0.12 
  21  0.02  0.05  0.12 
  22  0.22  0.07  0.12 
  23  0.04  0.08  0.22 
  24  0.05  0.08  0.22 
  25  0.03  0.08  0.22 
  26  0.05  0.08  0.22 
  27  0.02  0.06  0.22 
  28  0.03  0.08  0.22 
  29  0.08  0.09  0.22 
  30  0.05  0.12  0.22 
  31  0.06  0.14  0.22 
  32  0.04  0.16  0.22 
  33  0.11  0.22  0.22 
  34  0.05  0.18  0.22 
  35  0.16  0.17  0.22 
  36  0.11  0.17  0.22 
  37  0.04  0.19  0.22 
  38  0.19  0.18  0.22 
  39  0.08  0.23  0.22 
  40  0.16  0.20  0.22 
  41  0.10  0.32  0.22 
  42  0.08  0.48  0.22 
  43  0.29  0.46  0.22 
  44  0.26  0.50  0.29 
  45  0.07  0.66  0.29 
  46  0.12  0.68  0.29 
  47  0.12  0.69  0.29 
  48  0.27  0.90  0.29 
  49  0.20  0.98  0.29 
  50  0.11  0.87  0.29 
  51  0.21  0.87  0.29 
  52  0.18  1.07  0.29 
  53  0.18  1.25  0.29 
  54  0.36  1.11  0.29 
  55  0.09  1.08  0.36 
  56  0.12  1.08  0.36 
  57  0.29  1.22  0.36 
  58  0.38  0.92  0.36 
  59  0.25  0.71  0.38 
  60  0.06  0.61  0.38 
  61  0.20  0.69  0.38 
  62  0.23  0.78  0.38 
  63  0.15  0.90  0.38 
  64  0.22  0.86  0.38 
  65  0.36  1.03  0.38 
  66  0.24  0.76  0.38 
  67  0.18  0.94  0.38 
  68  0.35  1.07  0.38 
  69  0.29  0.48  0.38 
  70  0.08  0.36  0.38 
  71  0.50  0.25  0.38 
  72  0.32  0.27  0.50 
  73  0.43  0.28  0.50 
  74  0.24  0.37  0.50 
  75  0.19  0.54  0.50 
  76  0.49  0.33  0.50 
  77  0.35  0.35  0.50 
  78  0.31  0.55  0.50 
  79  0.45  0.78  0.50 
  80  0.51  0.83  0.50 
  81  0.73  1.53  0.51 
  82  0.33  1.80  0.73 
  83  0.41  1.97  0.73 
  84  0.17  2.07  0.73 
  85  0.87  2.12  0.73 
  86  0.90  2.13  0.87 
  87  0.36  1.86  0.90 
  88  0.39  2.00  0.90 
  89  0.47  1.68  0.90 
  90  0.56  1.63  0.90 
  91  0.23  1.75  0.90 
  92  0.43  1.55  0.90 
  93  0.48  2.36  0.90 
  94  0.82  2.26  0.90 
  95  0.58  2.05  0.90 
  96  0.94  1.92  0.90 
  97  0.47  1.75  0.94 
  98  1.01  1.28  0.94 
  99  0.72  1.52  1.01 
 100  0.37  1.64  1.01 
 101  0.37  1.83  1.01 
 102  0.86  1.55  1.01 
 103  0.66  1.39  1.01 
 104  0.70  1.77  1.01 
 105  0.40  1.93  1.01 
 106  0.37  1.92  1.01 
 107  0.59  1.57  1.01 
