Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.02  0.01  0.01 
   2  0.01  0.01  0.02 
   3  0.01  0.01  0.02 
   4  0.03  0.02  0.02 
   5  0.05  0.02  0.03 
   6  0.02  0.02  0.05 
   7  0.01  0.02  0.05 
   8  0.04  0.02  0.05 
   9  0.02  0.02  0.05 
  10  0.01  0.02  0.05 
  11  0.04  0.02  0.05 
  12  0.03  0.02  0.05 
  13  0.04  0.03  0.05 
  14  0.09  0.02  0.05 
  15  0.02  0.03  0.09 
  16  0.02  0.03  0.09 
  17  0.03  0.03  0.09 
  18  0.11  0.03  0.09 
  19  0.03  0.03  0.11 
  20  0.10  0.03  0.11 
  21  0.02  0.03  0.11 
  22  0.21  0.03  0.11 
  23  0.04  0.03  0.21 
  24  0.06  0.03  0.21 
  25  0.03  0.03  0.21 
  26  0.04  0.05  0.21 
  27  0.02  0.05  0.21 
  28  0.03  0.06  0.21 
  29  0.08  0.06  0.21 
  30  0.04  0.06  0.21 
  31  0.09  0.05  0.21 
  32  0.03  0.09  0.21 
  33  0.11  0.11  0.21 
  34  0.04  0.07  0.21 
  35  0.09  0.08  0.21 
  36  0.14  0.10  0.21 
  37  0.03  0.07  0.21 
  38  0.11  0.06  0.21 
  39  0.08  0.07  0.21 
  40  0.10  0.12  0.21 
  41  0.08  0.13  0.21 
  42  0.08  0.17  0.21 
  43  0.37  0.16  0.21 
  44  0.13  0.20  0.37 
  45  0.10  0.21  0.37 
  46  0.05  0.21  0.37 
  47  0.07  0.25  0.37 
  48  0.38  0.26  0.37 
  49  0.19  0.20  0.38 
  50  0.10  0.30  0.38 
  51  0.10  0.43  0.38 
  52  0.10  0.58  0.38 
  53  0.18  0.65  0.38 
  54  0.31  0.57  0.38 
  55  0.11  0.51  0.38 
  56  0.15  0.56  0.38 
  57  0.34  0.67  0.38 
  58  0.14  0.53  0.38 
  59  0.16  0.56  0.38 
  60  0.05  0.57  0.38 
  61  0.09  0.54  0.38 
  62  0.20  0.54  0.38 
  63  0.14  0.58  0.38 
  64  0.19  0.63  0.38 
  65  0.20  0.74  0.38 
  66  0.37  0.89  0.38 
  67  0.25  0.95  0.38 
  68  0.33  1.04  0.38 
  69  0.40  0.90  0.38 
  70  0.16  1.22  0.40 
  71  0.23  1.95  0.40 
  72  0.80  1.84  0.40 
  73  0.63  2.34  0.80 
  74  0.28  2.19  0.80 
  75  0.34  2.50  0.80 
  76  0.15  3.20  0.80 
  77  0.34  1.78  0.80 
  78  0.10  2.02  0.80 
  79  0.42  2.32  0.80 
  80  0.24  2.29  0.80 
  81  0.48  2.40  0.80 
  82  0.33  2.38  0.80 
  83  0.47  2.38  0.80 
  84  0.22  2.75  0.80 
  85  0.14  2.32  0.80 
  86  0.70  2.38  0.80 
  87  0.50  1.75  0.80 
  88  0.55  2.24  0.80 
  89  0.51  1.59  0.80 
  90  0.37  1.91  0.80 
