iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.4373915195465088,0.02520585097901836,0.003376731615338871,0.02955156249109299,0.021268149571771918,0.0,0.16724523885036355,0.1,0.048554420471191406,0.05779862403869629,0.051508237,0.6307976,0.02520585097901836,0.0,0.0003376789591916781,0.0,300,0.032351016998291016,60.88684030049846,5.300313236837935,300,0.023452433122508127,0.0
1,1.404590368270874,0.028691619453804402,0.009175696086429888,0.04411467935641928,0.021617994137510987,0.0,0.1846197461305135,0.1,0.002978801727294922,0.05833745002746582,0.05276567,0.88997734,0.025554427826496966,0.0,0.0003866764164280828,0.0,300,0.02527308464050293,3.485710126278556,1.4064153998678115,600,0.023886020802580624,0.0
2,1.436323881149292,0.024853562191821187,0.00460489825573533,0.032190278312971714,0.01965038081378844,0.0,0.17898717430282424,0.1,0.0028734207153320312,0.05657315254211426,0.049922094,0.79036105,0.025484341263029387,0.0,0.00033339487984162684,0.0,300,0.018494844436645508,1.4731666342844496,1.4652565234706696,900,0.024055888271193343,0.0
3,1.3606956005096436,0.033570754895378224,0.01632171524902457,0.06077386328796165,0.018076774651440662,0.0,0.18063613761000089,0.1,0.0029582977294921875,0.05962967872619629,0.05558005,0.65413046,0.02629298262626427,0.0,0.0004506505988726364,0.0,300,0.01752495765686035,0.5681154735287468,0.5876321400904438,1200,0.026018806720910673,0.0
4,1.3584883213043213,0.03397793735785773,0.006452909753587924,0.04259431722054243,0.027056006251805077,0.0,0.1753166242677373,0.1,0.0030438899993896484,0.05641460418701172,0.05258966,0.9071116,0.027061478099423615,0.0,0.00044906783090102424,0.0,300,0.017357826232910156,0.6035481289068205,0.21512140989409484,1500,0.02608340087100287,0.0
5,1.2646844387054443,0.038760898956114925,0.011235870965880412,0.04927888867351769,0.021495014791017134,0.0,0.17245246674644532,0.1,0.0029091835021972656,0.05657196044921875,0.048747085,0.90595895,0.028231420185092747,0.0,0.0005160658370468718,0.0,300,0.020543336868286133,0.3194732145844204,0.3294083853829972,1800,0.027512079030463658,0.0
6,1.3919236660003662,0.039182803841302315,0.024763070154463374,0.08193279874009114,0.022461203940699326,0.0,0.1940798178222208,0.1,0.003881216049194336,0.056470394134521484,0.052038833,0.9207857,0.029326558550713703,0.0,0.0004867220819224526,0.0,300,0.01729869842529297,0.6291977906304116,0.5169552761219904,2100,0.029126915122613853,0.0
7,1.3719563484191895,0.032448501617007505,0.010705991630386642,0.0497749305749399,0.02254661587270444,0.0,0.1892575002450885,0.1,0.0028514862060546875,0.05907249450683594,0.050425656,0.75151193,0.029638752857343083,0.0,0.00043163486448131,0.0,300,0.01719212532043457,0.413481524446472,0.4308462495775386,2400,0.028843450408477845,0.0
8,1.4124860763549805,0.05127708850457283,0.03685377222346335,0.11438556957960642,0.02140572192250182,0.0,0.1657456804535854,0.1,0.0032045841217041016,0.056157588958740234,0.051729083,1.7665265,0.031802586422066056,0.0,0.0006770415491762203,0.0,300,0.017450332641601562,0.5645255333194388,0.5499699331149529,2700,0.031884696345432346,0.0
9,1.3887600898742676,0.04944200577863156,0.009904405380587981,0.06090626829053396,0.03610534177098092,0.0,0.1812535238068325,0.1,0.002834796905517578,0.05694127082824707,0.04992157,0.7203324,0.03356652835772261,0.0,0.0006497247082548033,0.0,300,0.01810765266418457,0.19514321769919818,0.17603471080500585,3000,0.03147361788766629,0.0
