Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.02 -100000000.00 
   1  0.04  0.02  0.03 
   2  0.04  0.02  0.04 
   3  0.05  0.03  0.04 
   4  0.07  0.03  0.05 
   5  0.13  0.03  0.07 
   6  0.05  0.03  0.13 
   7  0.04  0.03  0.13 
   8  0.12  0.05  0.13 
   9  0.13  0.05  0.13 
  10  0.07  0.06  0.13 
  11  0.09  0.07  0.13 
  12  0.12  0.09  0.13 
  13  0.13  0.10  0.13 
  14  0.34  0.15  0.13 
  15  0.15  0.11  0.34 
  16  0.25  0.10  0.34 
  17  0.21  0.13  0.34 
  18  0.35  0.10  0.34 
  19  0.22  0.06  0.35 
  20  0.44  0.18  0.35 
  21  0.21  0.15  0.44 
  22  0.55  0.25  0.44 
  23  0.29  0.23  0.55 
  24  0.45  0.28  0.55 
  25  0.17  0.27  0.55 
  26  0.28  0.44  0.55 
  27  0.12  0.50  0.55 
  28  0.25  0.38  0.55 
  29  0.39  0.78  0.55 
  30  0.37  0.96  0.55 
  31  0.26  0.86  0.55 
  32  0.16  0.33  0.55 
  33  0.52  0.50  0.55 
  34  0.25  0.51  0.55 
  35  0.52  0.60  0.55 
  36  0.36  1.43  0.55 
  37  0.37  1.00  0.55 
  38  0.34  1.03  0.55 
  39  0.50  1.45  0.55 
  40  0.51  1.45  0.55 
  41  0.45  1.32  0.55 
  42  0.49  1.42  0.55 
  43  0.86  1.48  0.55 
  44  0.62  1.18  0.86 
  45  0.68  1.09  0.86 
  46  0.56  1.42  0.86 
  47  0.41  1.33  0.86 
  48  0.90  1.21  0.86 
  49  0.85  0.95  0.90 
  50  0.65  1.10  0.90 
  51  0.58  0.95  0.90 
  52  0.30  0.43  0.90 
  53  0.70  0.58  0.90 
  54  0.91  0.62  0.90 
  55  0.77  1.13  0.91 
  56  1.04  0.62  0.91 
  57  0.55  0.54  1.04 
  58  0.38  0.35  1.04 
  59  0.37  0.26  1.04 
  60  0.45  0.19  1.04 
  61  0.87  0.30  1.04 
  62  0.64  0.25  1.04 
  63  0.75  0.16  1.04 
  64  0.64  0.16  1.04 
  65  0.73  0.21  1.04 
  66  0.35  0.16  1.04 
  67  0.53  0.10  1.04 
  68  0.63  0.10  1.04 
  69  0.71  0.07  1.04 
  70  0.82  0.07  1.04 
  71  1.00  0.05  1.04 
  72  0.78  0.05  1.04 
  73  2.82  0.05  1.04 
  74  0.47  0.03  2.82 
  75  1.23  0.03  2.82 
  76  0.88  0.02  2.82 
  77  0.81  0.02  2.82 
  78  0.96  0.03  2.82 
  79  1.24  0.02  2.82 
  80  1.27  0.05  2.82 
  81  1.32  0.03  2.82 
  82  1.00  0.05  2.82 
  83  1.61  0.04  2.82 
  84  0.89  0.08  2.82 
