iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1334481239318848,0.011586760408575744,0.002555785103496408,0.01464041078418767,0.00861874198820539,0.0,0.13968412920088588,0.1,0.04667854309082031,0.05334043502807617,0.054227993,1.3834043,0.011586760408575744,0.0,0.00023035904406866053,0.0,200,0.016134023666381836,27.339298567485365,9.667431731380013,200,0.013451709924724718,0.0
1,1.1310973167419434,0.014879308412152323,0.0034654353436025503,0.018838417626786487,0.010446665243757553,0.0,0.14438593148265552,0.1,0.0028200149536132812,0.05284261703491211,0.056149233,1.2730947,0.011916015208933404,0.0,0.0002906174093860818,0.0,200,0.01397562026977539,5.824350980665466,0.6988953801200285,400,0.011776052905166007,0.0
2,1.090008020401001,0.011918615954049373,0.0038756928469944932,0.01631201447682302,0.005668892883196945,0.0,0.1576927025822947,0.1,0.0026602745056152344,0.05270719528198242,0.05336361,0.813228,0.011916275283445002,0.0,0.00024570669592144324,0.0,200,0.014847993850708008,0.9900609387755941,2.822614551526606,600,0.010272502677044661,0.0
3,1.1973621845245361,0.01877448671504685,0.008999610051643032,0.03389941100708009,0.010625142469829077,0.0,0.146301935292372,0.1,0.002712726593017578,0.05312347412109375,0.054228988,1.2500781,0.012602096426605187,0.0,0.0003749922812783384,0.0,200,0.014789819717407227,1.8137114102533605,0.46234145723701847,800,0.01209943416149708,0.0
4,1.1907567977905273,0.01979234770410009,0.007201174467199773,0.031353415815682996,0.012686469858587351,0.0,0.154723765619481,0.1,0.002679109573364258,0.05256485939025879,0.051035967,0.8923771,0.013321121554354678,0.0,0.00039155262173057965,0.0,200,0.014265060424804688,0.33565336227131354,0.7576253211399651,1000,0.014409327585812115,0.0
5,1.2006728649139404,0.022567480739041582,0.005031006159691237,0.029745069033244295,0.015603935494563362,0.0,0.15073159464597954,0.1,0.0027265548706054688,0.052373647689819336,0.04903833,0.8942926,0.014245757472823369,0.0,0.0004446611497082649,0.0,200,0.01608562469482422,0.5165109826152008,0.3207181562682781,1200,0.017114462786863797,0.0
6,1.1926116943359375,0.020108875861028313,0.011370168514736056,0.03710784168924519,0.008254305717707407,0.0,0.15429831715211162,0.1,0.0026509761810302734,0.05250835418701172,0.051524296,0.9797406,0.014832069311643863,0.0,0.0003907711784413877,0.0,200,0.014197111129760742,0.4901699899151191,0.4615867485889904,1400,0.02751433855391051,0.0
7,1.2161922454833984,0.014716200984188403,0.00663479569266995,0.020633796381144112,0.004141159002149269,0.0,0.1531102001721129,0.1,0.003092527389526367,0.05388927459716797,0.050404016,0.8416719,0.014820482478898318,0.0,0.00029295856932813445,0.0,200,0.01384282112121582,0.3090632101649629,0.3460272769600357,1600,0.03390288285616947,0.0
8,1.2338354587554932,0.04455436378173792,0.05666757464877956,0.1423524944019425,0.005839057984135572,0.0,0.14473547388674785,0.1,0.002914905548095703,0.05427098274230957,0.049993042,1.6541709,0.017793870609182277,0.0,0.0008839182647194523,0.0,200,0.013900041580200195,0.8772880776723749,0.7005040628091626,1800,0.04785545856038584,0.0
9,1.2120323181152344,0.03605187596888709,0.02611159256590635,0.081123980544748,0.018347461889509024,0.0,0.15220194607662124,0.1,0.0026378631591796875,0.052535295486450195,0.05021458,1.1749519,0.019619671145152763,0.0,0.0007186452266547783,0.0,200,0.013752222061157227,0.4398738917542447,0.5761670555605376,2000,0.04085904459958594,0.0
