Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.01  0.01  0.01 
   2  0.01  0.01  0.01 
   3  0.02  0.01  0.01 
   4  0.02  0.01  0.02 
   5  0.02  0.02  0.02 
   6  0.02  0.03  0.02 
   7  0.01  0.03  0.02 
   8  0.04  0.05  0.02 
   9  0.04  0.04  0.04 
  10  0.05  0.04  0.04 
  11  0.04  0.04  0.05 
  12  0.03  0.04  0.05 
  13  0.05  0.06  0.05 
  14  0.21  0.06  0.05 
  15  0.03  0.08  0.21 
  16  0.05  0.18  0.21 
  17  0.05  0.15  0.21 
  18  0.20  0.24  0.21 
  19  0.11  0.29  0.21 
  20  0.09  0.49  0.21 
  21  0.07  0.57  0.21 
  22  0.34  0.87  0.21 
  23  0.07  0.56  0.34 
  24  0.42  0.44  0.34 
  25  0.03  0.28  0.42 
  26  0.10  0.46  0.42 
  27  0.05  0.46  0.42 
  28  0.12  0.51  0.42 
  29  0.25  0.71  0.42 
  30  0.18  0.50  0.42 
  31  0.07  0.58  0.42 
  32  0.07  0.49  0.42 
  33  0.25  0.44  0.42 
  34  0.16  0.56  0.42 
  35  0.15  0.47  0.42 
  36  0.14  0.43  0.42 
  37  0.05  0.39  0.42 
  38  0.26  0.40  0.42 
  39  0.12  0.41  0.42 
  40  0.15  0.47  0.42 
  41  0.17  0.64  0.42 
  42  0.17  0.81  0.42 
  43  0.52  0.59  0.42 
  44  0.58  0.50  0.52 
  45  0.40  0.96  0.58 
  46  0.30  0.93  0.58 
  47  0.37  1.20  0.58 
  48  0.31  1.22  0.58 
  49  0.32  1.42  0.58 
  50  0.36  1.96  0.58 
  51  0.27  1.08  0.58 
  52  0.43  0.63  0.58 
  53  0.29  1.76  0.58 
  54  0.40  1.66  0.58 
  55  0.43  1.83  0.58 
  56  0.17  2.95  0.58 
  57  0.35  2.70  0.58 
  58  0.21  2.27  0.58 
  59  0.27  2.33  0.58 
  60  0.21  1.83  0.58 
  61  0.65  1.79  0.58 
  62  0.45  2.50  0.65 
  63  0.38  2.71  0.65 
  64  0.19  2.26  0.65 
  65  0.47  2.32  0.65 
  66  0.46  2.02  0.65 
  67  0.80  1.65  0.65 
  68  0.38  1.02  0.80 
  69  0.69  0.85  0.80 
  70  0.29  0.49  0.80 
  71  0.48  0.65  0.80 
  72  1.19  1.14  0.80 
  73  0.42  0.45  1.19 
  74  0.38  0.47  1.19 
  75  0.44  0.25  1.19 
  76  0.51  0.09  1.19 
  77  0.37  0.13  1.19 
  78  0.58  0.16  1.19 
  79  0.86  0.18  1.19 
  80  0.69  0.23  1.19 
  81  1.01  0.30  1.19 
  82  0.58  0.56  1.19 
  83  0.45  0.54  1.19 
  84  0.91  0.58  1.19 
  85  0.85  0.65  1.19 
  86  0.45  0.30  1.19 
  87  0.33  0.22  1.19 
  88  0.51  0.30  1.19 
  89  0.59  0.49  1.19 
  90  0.78  0.76  1.19 
  91  0.37  0.85  1.19 
  92  0.55  0.81  1.19 
  93  0.98  0.49  1.19 
  94  1.06  0.48  1.19 
  95  0.76  0.61  1.19 
  96  1.61  0.79  1.19 
  97  0.86  0.78  1.61 
