iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2247099876403809,7.37750560627402,7.355321089957983,19.38170649741182,1.3631215722755063,0.0,0.17461279768750038,0.1,0.030974388122558594,0.05542492866516113,0.05000325,1.31685,7.37750560627402,0.0,0.0954555886375635,0.0,300,0.018231868743896484,0.9878466649546226,0.9647596730487508,300,1.3601368786241943,0.0
1,1.2217764854431152,4.883709934232476,4.991581695376637,13.413164104010354,1.3719563118109508,0.0,0.20486805823018947,0.1,0.0028734207153320312,0.05594372749328613,0.05277073,1.4080155,7.1281260390698655,0.0,0.06221642075057204,0.0,300,0.01764702796936035,0.9503787166489632,0.9066495217199226,600,1.366417471222112,0.0
2,1.2359936237335205,3.1176191517447176,3.034603365446837,8.3736820275448,1.3505262186904048,0.0,0.18764658820738517,0.1,0.0030121803283691406,0.06259322166442871,0.056293234,1.9424496,6.727075350337351,0.0,0.04199719033301757,0.0,300,0.018548250198364258,0.8748838058422197,0.8099348321646626,900,1.3631159136737494,0.0
3,1.2587065696716309,11.398577042310173,10.066406896722384,22.44712845625032,1.3499859780549395,0.0,0.1788942895043693,0.1,0.0029497146606445312,0.05792522430419922,0.051534742,0.88246185,7.194225519534634,0.0,0.14908168730356064,0.0,300,0.01781296730041504,0.9172150140809715,0.8630630122011407,1200,1.3684747660083014,0.0
4,1.3480632305145264,17.404690218420892,19.60247387363425,49.391791765861804,1.3743695601068133,0.0,0.18258808770826845,0.1,0.0027942657470703125,0.0552828311920166,0.050421197,0.9233666,8.215271989423261,0.0,0.2291541105856691,0.0,300,0.021271705627441406,0.9255095448677626,0.8772802571278856,1500,1.3669884833682253,0.0
5,1.2090942859649658,19.60743546446569,12.337967735315496,35.368564724448845,1.3561057270374102,0.0,0.18310979380000925,0.1,0.0027923583984375,0.05949115753173828,0.050121397,0.65919363,9.354488336927504,0.0,0.25853255968755984,0.0,300,0.017602205276489258,0.8116747450954681,0.7046864771056027,1800,1.3672613734764478,0.0
6,1.205601453781128,17.135914228276377,18.452849453781276,46.44293376695236,1.351581698965376,0.0,0.17368957568513352,0.1,0.002772808074951172,0.05562233924865723,0.05200965,1.0456212,10.132630926062394,0.0,0.22554639145295055,0.0,300,0.0171201229095459,0.8035575264596995,0.7275722103282382,2100,1.365466028489754,0.0
7,1.215787649154663,9.122729656134338,8.14215020783014,20.387848759994288,1.3542305293956847,0.0,0.19032141389826002,0.1,0.0026922225952148438,0.05516219139099121,0.05310377,0.7151816,10.031640799069589,0.0,0.1187203770391505,0.0,300,0.016844511032104492,0.64160495422324,0.6883811244763921,2400,1.3611101199513012,0.0
8,1.2355027198791504,11.918654434933273,11.372187200613707,30.587141456935072,1.3511264176814675,0.0,0.16975413865162253,0.1,0.002706289291381836,0.05525946617126465,0.049581736,1.0172622,10.220342162655957,0.0,0.15933577310306563,0.0,300,0.018067121505737305,0.6489732599714134,0.6434619191268156,2700,1.3672871382623912,0.0
9,1.2743558883666992,14.911007142700667,9.899488481370705,27.46149403425073,1.374748192765547,0.0,0.17415567933596832,0.1,0.0028471946716308594,0.05518913269042969,0.050422147,0.8729548,10.689408660660428,0.0,0.19923399875741277,0.0,300,0.016802072525024414,0.5090476369542626,0.49268515596757523,3000,21.374570569550702,0.0
10,1.2215790748596191,13.151655574006679,13.228087093914606,33.40448818297428,1.3435888979022357,0.0,0.1664916465849482,0.1,0.00276947021484375,0.054660797119140625,0.049489964,0.9650277,10.935633351995053,0.0,0.1757709287411266,0.0,300,0.01747751235961914,0.6517986197289861,0.6369840010391813,3300,7.379287610457907,0.0
11,1.2929964065551758,18.447757232747094,14.506330926754382,36.51149460696891,1.3562254344436582,0.0,0.17265392372024307,0.1,0.0028510093688964844,0.05983924865722656,0.04953901,0.87590253,11.686845740070257,0.0,0.23971576885574028,0.0,300,0.0171968936920166,0.5369593215173611,0.5026814203819623,3600,4.394231872240035,0.0
12,1.2662365436553955,11.166868944915624,6.129915262940189,18.400350405811448,1.4283544962872894,0.0,0.1866317497309856,0.1,0.003008604049682617,0.05718994140625,0.051409636,0.67408276,11.634848060554795,0.0,0.14597081672189077,0.0,300,0.01901555061340332,0.46867093781232805,0.47249047369971653,3900,13.413566424442914,0.0
13,1.3163762092590332,18.413505913705166,15.720719975746134,45.53090239473727,7.36487587406385,0.0,0.16348390397325346,0.1,0.002849578857421875,0.05644941329956055,0.050550267,1.4687684,12.312713845869833,0.0,0.24260702129362305,0.0,300,0.017336130142211914,0.5314637254178392,0.5187775131963999,4200,16.479167732531653,0.0
14,1.223611831665039,29.014905945614142,19.189108337376666,50.688915724016255,1.3828585812516794,0.0,0.17075802886598365,0.1,0.0028009414672851562,0.05986452102661133,0.04999582,0.9868357,13.982933055844265,0.0,0.38060841315445804,0.0,300,0.017256736755371094,0.5331500887559469,0.45902902255570643,4500,22.511328625340024,0.0
15,1.286083698272705,12.151513028633318,7.809302238656837,23.43915178192533,1.3859954178880378,0.0,0.1711556400886329,0.1,0.0027573108673095703,0.05496382713317871,0.051269695,0.8982075,13.79979105312317,0.0,0.1591192146719887,0.0,300,0.016876697540283203,0.5562114523271258,0.5904682143033473,4800,24.473614285274248,0.0
16,1.2675633430480957,23.791960704184397,7.804421170917707,35.731238439558624,14.377471724809626,0.0,0.1731374250176668,0.1,0.0029256343841552734,0.05511975288391113,0.050184764,0.98250145,14.799008018229292,0.0,0.31765326312173975,0.0,300,0.017937898635864258,0.2746167372687217,0.27034918457222434,5100,38.51420070771949,0.0
17,1.2761859893798828,31.688634693747524,5.402651200814072,38.40102172693871,23.398047922545807,0.0,0.16416329715550254,0.1,0.0028417110443115234,0.05495023727416992,0.04993209,0.74057424,16.487970685781114,0.0,0.419614971722983,0.0,300,0.016725540161132812,0.28110968474004594,0.21480842534554273,5400,19.511659563514147,0.0
18,1.275238037109375,26.36065833009642,14.819001817123365,38.77236047850194,1.368485051918863,0.0,0.16555649301724232,0.1,0.0027000904083251953,0.059751033782958984,0.050786577,0.7162635,17.475239450212648,0.0,0.34855787775097263,0.0,300,0.017769813537597656,0.35422610601050647,0.35061734576344167,5700,40.44699901214219,0.0
19,1.335097074508667,24.230668425707588,5.95693407651842,34.36569949736196,19.420560252117248,0.0,0.17538647782546785,0.1,0.002747774124145508,0.05518960952758789,0.050351802,0.68862504,18.150782347762142,0.0,0.32016257241678114,0.0,300,0.021500825881958008,0.24233749661895182,0.2228054545685123,6000,32.47917782518432,0.0
20,1.3309540748596191,13.913811663642782,21.078878673157437,50.41757455234627,1.386322368318262,0.0,0.17599856287404778,0.1,0.0028076171875,0.054952144622802734,0.050052598,1.1390182,17.72708527935021,0.0,0.18261190253746487,0.0,300,0.016681909561157227,0.9918900932414957,0.8282594128888667,6300,20.440878312987845,0.0
21,1.3873414993286133,21.982329392022464,12.583869565299713,33.68612639090264,1.3774304407344022,0.0,0.1645273914501503,0.1,0.002767801284790039,0.05510854721069336,0.04985253,0.73090994,18.152609690617435,0.0,0.2901768918109046,0.0,300,0.01712656021118164,0.3374788096117137,0.3391942144781934,6600,21.45042881354998,0.0
22,1.4114744663238525,23.88305508956791,16.165837263103224,43.00263208760896,1.365596993868592,0.0,0.16740828092828805,0.1,0.0029718875885009766,0.05559492111206055,0.048874505,1.0026288,18.725654230512482,0.0,0.3188157547388609,0.0,300,0.01726841926574707,0.4369036546252597,0.4315505034712804,6900,23.513641475124434,0.0
23,1.5787458419799805,32.34025123016338,14.735351243581455,43.744223805504454,7.371528699636932,0.0,0.17837302108836847,0.1,0.0031058788299560547,0.05857133865356445,0.051375095,0.65474164,20.08711393047757,0.0,0.42830502367664314,0.0,300,0.018951416015625,0.4137601857171765,0.32932599656991707,7200,15.459780738481642,0.0
24,1.4224157333374023,21.828195542604508,17.864407418567044,52.683452795618535,10.406033279682232,0.0,0.1689333860501563,0.1,0.0028858184814453125,0.054984092712402344,0.04999805,0.840369,20.261222091690264,0.0,0.28813635282971994,0.0,300,0.01646113395690918,0.4453355424427152,0.46383279454916226,7500,26.507837834284192,0.0
