Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.03 -100000000.00 
   1  0.04  0.03  0.04 
   2  0.03  0.03  0.04 
   3  0.06  0.04  0.04 
   4  0.06  0.04  0.06 
   5  0.05  0.04  0.06 
   6  0.05  0.05  0.06 
   7  0.04  0.05  0.06 
   8  0.07  0.05  0.06 
   9  0.04  0.05  0.07 
  10  0.08  0.05  0.07 
  11  0.07  0.06  0.08 
  12  0.08  0.06  0.08 
  13  0.04  0.07  0.08 
  14  0.13  0.07  0.08 
  15  0.07  0.10  0.13 
  16  0.07  0.12  0.13 
  17  0.12  0.14  0.13 
  18  0.15  0.11  0.13 
  19  0.15  0.11  0.15 
  20  0.07  0.10  0.15 
  21  0.10  0.15  0.15 
  22  0.14  0.22  0.15 
  23  0.22  0.25  0.15 
  24  0.10  0.13  0.22 
  25  0.07  0.30  0.22 
  26  0.08  0.29  0.22 
  27  0.09  0.21  0.22 
  28  0.09  0.22  0.22 
  29  0.14  0.24  0.22 
  30  0.27  0.27  0.22 
  31  0.08  0.30  0.27 
  32  0.15  0.25  0.27 
  33  0.17  0.32  0.27 
  34  0.16  0.46  0.27 
  35  0.16  0.31  0.27 
  36  0.15  0.40  0.27 
  37  0.10  0.42  0.27 
  38  0.11  0.40  0.27 
  39  0.28  0.37  0.27 
  40  0.12  0.54  0.28 
  41  0.19  0.44  0.28 
  42  0.13  0.51  0.28 
  43  0.37  0.56  0.28 
  44  0.23  0.64  0.37 
  45  0.24  0.55  0.37 
  46  0.25  0.76  0.37 
  47  0.21  0.70  0.37 
  48  0.16  0.71  0.37 
  49  0.29  0.87  0.37 
  50  0.25  0.80  0.37 
  51  0.19  0.71  0.37 
  52  0.18  0.75  0.37 
  53  0.25  0.91  0.37 
  54  0.33  0.91  0.37 
  55  0.23  0.89  0.37 
  56  0.22  0.83  0.37 
  57  0.34  0.73  0.37 
  58  0.13  0.79  0.37 
  59  0.13  0.87  0.37 
  60  0.12  0.89  0.37 
  61  0.36  0.80  0.37 
  62  0.18  0.96  0.37 
  63  0.46  0.70  0.37 
  64  0.16  0.77  0.46 
  65  0.43  0.84  0.46 
  66  0.35  0.95  0.46 
  67  0.21  0.96  0.46 
  68  0.34  0.86  0.46 
  69  0.48  0.89  0.46 
  70  0.32  0.93  0.48 
  71  0.35  0.85  0.48 
  72  0.57  0.83  0.48 
  73  0.19  0.73  0.57 
  74  0.46  0.88  0.57 
  75  0.33  0.89  0.57 
  76  0.45  0.84  0.57 
  77  0.26  0.93  0.57 
  78  0.38  0.90  0.57 
  79  0.21  0.80  0.57 
  80  0.32  0.96  0.57 
  81  0.47  0.97  0.57 
  82  0.32  0.98  0.57 
  83  0.30  0.85  0.57 
  84  0.47  0.92  0.57 
