iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.0616838932037354,0.03591966696134489,0.0020108159680742002,0.0392829154753093,0.033962231448967276,0.0,0.14270093152491725,0.1,0.03309917449951172,0.05456256866455078,0.052127525,1.3970779,0.03591966696134489,0.0,0.0007013819122357394,0.0,200,0.015893936157226562,5.69505249935445,1.557817352362668,200,0.02639273403202859,0.0
1,1.020979881286621,0.02853100174508422,0.008826962149099761,0.04179478191419771,0.018417514573754235,0.0,0.1437866534403546,0.1,0.003254413604736328,0.05607104301452637,0.051528476,1.3614397,0.03518080043971883,0.0,0.0005520747664491272,0.0,200,0.013963937759399414,3.1520464287066856,0.37006017561926263,400,0.027687460613032917,0.0
2,0.9863622188568115,0.02214347006029238,0.0069910892899057555,0.03271801759080464,0.01320017761154496,0.0,0.1589320528962247,0.1,0.0027501583099365234,0.05359387397766113,0.0546242,1.0928569,0.033877067401776186,0.0,0.00043511211302012817,0.0,200,0.015033960342407227,1.0915497599537958,1.6167770748405297,600,0.021838400375320612,0.0
3,1.1082651615142822,0.031753767504342605,0.015354974689231877,0.05550873747419068,0.012591814038962472,0.0,0.14346118198353675,0.1,0.0026640892028808594,0.05457901954650879,0.051172543,1.0902815,0.033664737412032825,0.0,0.0006335765506744175,0.0,200,0.015975475311279297,1.301848837354344,0.7883583019482975,800,0.029413799014253422,0.0
4,1.1166605949401855,0.04469101179146472,0.01623485412268755,0.05624131934572555,0.01667851564027732,0.0,0.15231906206196835,0.1,0.002773761749267578,0.054013967514038086,0.05024639,0.7491823,0.034767364849976015,0.0,0.0008931893601073736,0.0,200,0.013665914535522461,0.8082733879909376,0.2703529215707513,1000,0.026266379562636364,0.0
5,1.1431007385253906,0.03823802496000886,0.00976884016490558,0.049778512184292426,0.0256035864445529,0.0,0.14096897064033873,0.1,0.002741098403930664,0.05458474159240723,0.05399845,1.1142958,0.035114430860979304,0.0,0.0007582586409256831,0.0,200,0.01424860954284668,0.28226635129091243,0.6043153128528905,1200,0.03351224496135784,0.0
6,1.1890966892242432,0.04139275626380298,0.021634631808049927,0.07616514161236983,0.022552742220203023,0.0,0.15345152882817778,0.1,0.0027899742126464844,0.05241513252258301,0.050372392,0.91276085,0.03574226340126167,0.0,0.0008186968645496913,0.0,200,0.013385295867919922,0.5586051711628125,0.43850655180671344,1400,0.062367754511467886,0.0
7,1.147078037261963,0.03756905581673549,0.02367087275439896,0.07842804565565274,0.02103689738087804,0.0,0.15950272827690834,0.1,0.00270843505859375,0.05173325538635254,0.049127456,0.94039047,0.03592494264280906,0.0,0.0007457355910260733,0.0,200,0.01347970962524414,0.4370011238041234,0.41841429632196026,1600,0.0632095881272468,0.0
8,1.1392199993133545,0.08421502112426688,0.08950907277366421,0.23835091619812818,0.021071162981834257,0.0,0.14036458428644355,0.1,0.002655506134033203,0.05193138122558594,0.048854362,1.7907727,0.04075395049095484,0.0,0.001691909758354642,0.0,200,0.013576745986938477,0.7633759789235183,0.6676811954675878,1800,0.07958045014892924,0.0
9,1.1893894672393799,0.06657523919222078,0.02683250864333766,0.10486332107687231,0.03211566604293515,0.0,0.15136446270226114,0.1,0.0028450489044189453,0.053003787994384766,0.05047142,0.9205532,0.04333607936108144,0.0,0.0013263626944726588,0.0,200,0.012735366821289062,0.32867401850469957,0.3458002152757911,2000,0.08605728301696629,0.0
10,1.1899983882904053,0.06646176788498487,0.058917575977099804,0.16718954921181306,0.019732540804773806,0.0,0.14080355654475055,0.1,0.002722024917602539,0.05177569389343262,0.05062536,1.827088,0.04564864821347178,0.0,0.0013076256355560008,0.0,200,0.013639211654663086,0.5577407936983427,0.5469922336579629,2200,0.09873530191681172,0.0
11,1.157745122909546,0.0833813777600107,0.0460524047084839,0.14208223653931884,0.019249343712739286,0.0,0.1390689361723143,0.1,0.0027856826782226562,0.05202507972717285,0.05002884,0.8701065,0.049421921168125674,0.0,0.0016628891836341995,0.0,200,0.013978958129882812,0.32657575317610676,0.31810357595282984,2400,0.09541714889954078,0.0
12,1.151592493057251,0.05871241523230188,0.02587288752622969,0.09365663408865736,0.03373512585404685,0.0,0.15117012111555275,0.1,0.002600431442260742,0.05207347869873047,0.051487073,1.0098794,0.0503509705745433,0.0,0.0011631117292209975,0.0,200,0.01340341567993164,0.33119947324901305,0.26547028114135496,2600,0.09553812454125708,0.0
13,1.0335876941680908,0.11545588942968801,0.12011363029847243,0.3182109471790477,0.02217528772066603,0.0,0.13894453957413555,0.1,0.002929210662841797,0.05272650718688965,0.049466945,1.5445776,0.05686146246005777,0.0,0.0022785198495256895,0.0,200,0.01578378677368164,0.7007280655666439,0.6359749940483231,2800,0.2522302643781536,0.0
14,1.0355136394500732,0.29605305772650514,0.3989801160490888,0.9858251764280725,0.04262822720909898,0.0,0.1397434419295956,0.1,0.003996849060058594,0.052329301834106445,0.050369743,1.6289326,0.08078062198670251,0.0,0.005917802868994062,0.0,200,0.01397252082824707,0.8573931530501055,0.729500973289049,3000,0.14656652889347463,0.0
15,1.096153974533081,0.058128701752873706,0.01886485123422358,0.08343839521675167,0.031041665757962727,0.0,0.13545918651405933,0.1,0.00279998779296875,0.05240178108215332,0.049815454,1.4817414,0.07851542996331963,0.0,0.001145106013050149,0.0,200,0.013816356658935547,7.826617092461318,7.898307235278741,3200,0.15503864053257005,0.0
16,1.1009914875030518,0.08344123931200839,0.043388586036748354,0.14986691761855106,0.02816927735489165,0.0,0.13965441022968844,0.1,0.0028171539306640625,0.052472591400146484,0.049796563,1.0368171,0.0790080108981885,0.0,0.0016105176271184027,0.0,200,0.013753175735473633,1.8089582013331904,0.479742747175535,3400,0.1629528385130836,0.0
17,1.061232089996338,0.08068020204908372,0.04055958715076896,0.1272064954761154,0.036811535955457934,0.0,0.13789973299732927,0.1,0.002711057662963867,0.05198526382446289,0.04965448,1.1175154,0.07917523001327803,0.0,0.0016054930399415303,0.0,200,0.013919830322265625,0.5817212305483241,0.3074032879604065,3600,0.1807634684116051,0.0
18,1.0954267978668213,0.19162718151181699,0.10789528277094634,0.34280239252875344,0.0382892732495127,0.0,0.13515490463774393,0.1,0.0026946067810058594,0.051789045333862305,0.051323257,1.3732746,0.09042042516313194,0.0,0.0038350424528682484,0.0,200,0.015215396881103516,0.5802653363207146,0.607641506867481,3800,0.19249065172178095,0.0
19,1.1395773887634277,0.17275222451916739,0.11643325839815678,0.3031656578167388,0.05360597521502414,0.0,0.14076927990680477,0.1,0.0027174949645996094,0.05155181884765625,0.051116534,1.1210494,0.0986536050987355,0.0,0.0033636375354870103,0.0,200,0.013649702072143555,0.6280848009372725,0.5408431550771947,4000,0.2578183350646128,0.0
20,1.1721336841583252,0.11817337041161217,0.07302028443728478,0.2310400847719971,0.04461578802662608,0.0,0.13904176135709775,0.1,0.0026400089263916016,0.055527448654174805,0.050205626,1.5215309,0.10060558163002317,0.0,0.0023569998980677276,0.0,200,0.01328730583190918,0.4533579512959254,0.43240602586811844,4200,0.310606363689847,0.0
21,1.166785478591919,0.07989856374054244,0.042840342082905936,0.13911402484434646,0.023084270196017043,0.0,0.13375175227628916,0.1,0.0026679039001464844,0.05209994316101074,0.049914245,1.6948341,0.0985348798410751,0.0,0.0015979276284902345,0.0,200,0.013717889785766602,0.6517884814355266,0.7689671345126049,4400,0.24859950837060416,0.0
22,1.1357367038726807,0.39469475108022445,0.31382669788391765,0.7288192366974251,0.058082902585198076,0.0,0.13824960567436975,0.1,0.002681255340576172,0.05307722091674805,0.049970042,1.1841805,0.12815086696499003,0.0,0.007891300130256197,0.0,200,0.013790607452392578,0.7249029453683493,0.6563338551095929,4600,0.4138729977998066,0.0
23,1.1146245002746582,0.14413524749189388,0.08638652589824021,0.2762047109405943,0.04335942644112228,0.0,0.1416550297942914,0.1,0.0029392242431640625,0.05285906791687012,0.050375357,1.9313132,0.12974930501768042,0.0,0.0028456433904475442,0.0,200,0.017481327056884766,0.39323882641238145,0.5148093143133157,4800,0.3696755428890182,0.0
24,1.1806674003601074,0.30141498406843265,0.2678804812052159,0.7444297765862988,0.0552626880217851,0.0,0.1312329882890149,0.1,0.002737760543823242,0.05184435844421387,0.04988015,1.7747579,0.14691587292275565,0.0,0.006020774918850598,0.0,200,0.01576542854309082,0.5920366134886187,0.5559664231763453,5000,0.3595994260087394,0.0
25,1.2023301124572754,0.05146450612806706,0.009288126002957519,0.061723969222031494,0.0363989259294714,0.0,0.14666990142785777,0.1,0.002636432647705078,0.05170106887817383,0.050461005,2.742821,0.1373707362432868,0.0,0.0010097859116053292,0.0,200,0.013391971588134766,17.028050258342926,13.191508628709585,5200,0.3286659599085584,0.0
26,1.1946132183074951,0.164550221141995,0.2118276686133005,0.5312042487202143,0.033066626101861174,0.0,0.1408616351124896,0.1,0.002711057662963867,0.05265474319458008,0.05084835,1.6125467,0.14008868473315764,0.0,0.0032498133774146953,0.0,200,0.013591289520263672,0.7256497046480506,0.6876810247044608,5400,0.7921076369759076,0.0
27,1.2534663677215576,0.08436838830636918,0.06706444080754509,0.19506290405049936,0.029333796847788515,0.0,0.13390265898945572,0.1,0.0027704238891601562,0.051770687103271484,0.049316164,1.329868,0.1345166550904788,0.0,0.0016832818074038166,0.0,200,0.01355600357055664,1.1157984257455076,0.6633848977381827,5600,0.7434568046749543,0.0
28,1.1965680122375488,0.14716141042949482,0.10871103158510198,0.31376010940812005,0.03607705142260735,0.0,0.13508303843611258,0.1,0.0026121139526367188,0.05218982696533203,0.05023474,1.6782978,0.1357811306243804,0.0,0.0029188142740659605,0.0,200,0.013510465621948242,0.44529930723017197,0.48688798227445895,5800,0.4449853393266738,0.0
29,1.2002160549163818,0.21763187191383265,0.1610027514645818,0.40149364964237594,0.014777119215719517,0.0,0.13452486925998874,0.1,0.002743244171142578,0.05286860466003418,0.049583387,1.2363172,0.14396620475332564,0.0,0.004337733453279598,0.0,200,0.014046430587768555,0.592035049411004,0.5626145626132009,6000,0.4958673348729601,0.0
30,1.2582697868347168,0.2641072569136396,0.22559074976706264,0.5283343557263412,0.03272613873235739,0.0,0.14398694702891301,0.1,0.0028324127197265625,0.05365610122680664,0.049691103,1.009519,0.15598030996935705,0.0,0.005283332233855699,0.0,200,0.014693498611450195,0.6497247831010647,0.5864496423724087,6200,0.42644653438812186,0.0
31,1.1447467803955078,0.10377060060791829,0.05195954255706227,0.17790196768784636,0.031036181352337638,0.0,0.13958156699791655,0.1,0.0029289722442626953,0.058181047439575195,0.049981266,0.92054236,0.15075933903321317,0.0,0.002068880725904553,0.0,200,0.014408349990844727,0.4010613451005791,0.5294825019014198,6400,0.5310181878420468,0.0
