iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.194711446762085,0.04284083723789123,0.02483436982192183,0.08131147192043674,0.019571088798134306,0.0,0.14094733569992302,0.1,0.031055927276611328,0.052734375,0.055605765,0.9113803,0.04284083723789123,0.0,0.0008557108809761524,0.0,200,0.01462697982788086,17.781299807174307,2.8587844952566335,200,0.029757139431127243,0.0
1,1.0900464057922363,0.03652168491158292,0.008491610832186337,0.04628194702746798,0.0278098280142468,0.0,0.15124112778907023,0.1,0.002779245376586914,0.052579641342163086,0.048709407,0.5991893,0.0422089220052604,0.0,0.0007247812946680379,0.0,200,0.013342857360839844,3.894576486511041,1.1308439953670295,400,0.027394858909753187,0.0
2,1.0213675498962402,0.019233427917475572,0.01110717417577717,0.037156684939386626,0.009814627747146823,0.0,0.15629919589230032,0.1,0.0029342174530029297,0.053873300552368164,0.05990405,1.1496296,0.03991137259648192,0.0,0.00037899704201941866,0.0,200,0.01402902603149414,6.622323846926496,8.741663675477763,600,0.027215404543533588,0.0
3,1.0257680416107178,0.0655264034885059,0.04455163624044653,0.13919129019094903,0.02274261202831544,0.0,0.1516445551410199,0.1,0.0026865005493164062,0.05254840850830078,0.05286784,0.9479752,0.04247287568568432,0.0,0.0013077533281739486,0.0,200,0.014984369277954102,0.5129480767206565,0.5060653399374311,800,0.04320247341167649,0.0
4,1.1495416164398193,0.06092428901338752,0.03711510091262111,0.12341051877315504,0.02634765927676374,0.0,0.14224952088925194,0.1,0.0026998519897460938,0.05263018608093262,0.049399327,1.1583525,0.04431801701845464,0.0,0.0012177203665206019,0.0,200,0.015459537506103516,0.4993419325679142,0.49042885446229445,1000,0.053163623584718135,0.0
5,1.177124261856079,0.03327028267588186,0.021400058179591334,0.06898186431215682,0.012006140651188924,0.0,0.1429690375853639,0.1,0.002868175506591797,0.05442070960998535,0.048524655,1.4411131,0.04321324358419736,0.0,0.0006607620201431583,0.0,200,0.013854742050170898,0.7199831208774988,0.4503106777213862,1200,0.08809937160979718,0.0
6,1.1521811485290527,0.02798574475911697,0.017677079269057344,0.0571081436880071,0.00982277021942274,0.0,0.1525352515254219,0.1,0.002668619155883789,0.05226397514343262,0.05302042,1.1601434,0.04169049370168933,0.0,0.0005583023530841758,0.0,200,0.01658940315246582,0.5416506074352662,0.5149668720936552,1400,0.11327997259993755,0.0
7,1.1263084411621094,0.026517173301412705,0.008791716841912572,0.038106182080745954,0.016956169921300595,0.0,0.14008877772488026,0.1,0.0028460025787353516,0.05388641357421875,0.05215296,0.9377188,0.04017316166166167,0.0,0.0005203672668814443,0.0,200,0.013944387435913086,0.3452126768135435,0.4366750412091802,1600,0.12182941984677731,0.0
8,1.1539568901062012,0.12514269342425954,0.1024697065480513,0.25882501563841964,0.011610236947559681,0.0,0.14225986404703653,0.1,0.002833127975463867,0.05324912071228027,0.054054793,1.4634101,0.04867011483792146,0.0,0.0025015201020643185,0.0,200,0.013802289962768555,0.8766791684487956,0.6906082465077343,1800,0.1334487539409683,0.0
9,1.2119433879852295,0.04313291683222023,0.021248468046101716,0.06691800106608187,0.01133781277892577,0.0,0.1435373116386305,0.1,0.003158092498779297,0.05381488800048828,0.050748993,1.1014727,0.048116395037351344,0.0,0.000855137498635048,0.0,200,0.013726234436035156,0.39530533963253467,0.913754024798954,2000,0.10816936035904594,0.0
10,1.1845061779022217,0.11337917860757142,0.11786514890081262,0.31616807617836695,0.02464674506396908,0.0,0.13966811432711232,0.1,0.002775430679321289,0.05372810363769531,0.04956598,1.5889466,0.05464267339437335,0.0,0.002266939720412428,0.0,200,0.013817310333251953,0.6622515026079989,0.6220573747149309,2200,0.10341307854199493,0.0
11,1.1940298080444336,0.12056223267144618,0.06687409870584762,0.20748011296156763,0.03230280733759202,0.0,0.13929303084596784,0.1,0.002790212631225586,0.05257225036621094,0.04936954,1.3321384,0.06123462932208063,0.0,0.0024025165473283983,0.0,200,0.014163970947265625,0.3866429183630542,0.3623678532952248,2400,0.12001357023256627,0.0
12,1.2192466259002686,0.12943158631743512,0.07283022919994667,0.20100539175559043,0.028602922745747463,0.0,0.13908904386414525,0.1,0.0026662349700927734,0.052525997161865234,0.052843582,1.2065227,0.06805432502161608,0.0,0.0025761597600534175,0.0,200,0.013566017150878906,0.3963114207953733,0.38676835618180966,2600,0.1524725493421843,0.0
