Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.03 -100000000.00 
   1  0.04  0.03  0.04 
   2  0.02  0.03  0.04 
   3  0.07  0.04  0.04 
   4  0.07  0.05  0.07 
   5  0.03  0.09  0.07 
   6  0.03  0.12  0.07 
   7  0.02  0.12  0.07 
   8  0.13  0.14  0.07 
   9  0.04  0.11  0.13 
  10  0.12  0.11  0.13 
  11  0.12  0.13  0.13 
  12  0.17  0.16  0.13 
  13  0.05  0.18  0.17 
  14  0.18  0.18  0.17 
  15  0.06  0.14  0.18 
  16  0.06  0.23  0.18 
  17  0.14  0.30  0.18 
  18  0.15  0.31  0.18 
  19  0.21  0.36  0.18 
  20  0.08  0.31  0.21 
  21  0.13  0.18  0.21 
  22  0.10  0.19  0.21 
  23  0.25  0.18  0.21 
  24  0.13  0.14  0.25 
  25  0.08  0.23  0.25 
  26  0.09  0.16  0.25 
  27  0.11  0.18  0.25 
  28  0.12  0.16  0.25 
  29  0.11  0.16  0.25 
  30  0.19  0.20  0.25 
  31  0.14  0.21  0.25 
  32  0.15  0.17  0.25 
  33  0.13  0.17  0.25 
  34  0.12  0.24  0.25 
  35  0.12  0.20  0.25 
  36  0.19  0.19  0.25 
  37  0.12  0.21  0.25 
  38  0.18  0.24  0.25 
  39  0.25  0.44  0.25 
  40  0.23  0.49  0.25 
  41  0.17  0.50  0.25 
  42  0.20  0.51  0.25 
  43  0.23  0.58  0.25 
  44  0.20  0.74  0.25 
  45  0.24  0.89  0.25 
  46  0.29  0.64  0.25 
  47  0.26  0.60  0.29 
  48  0.21  0.93  0.29 
  49  0.18  0.96  0.29 
  50  0.26  0.91  0.29 
  51  0.25  0.44  0.29 
  52  0.17  0.45  0.29 
  53  0.29  0.63  0.29 
  54  0.19  0.40  0.29 
  55  0.25  0.77  0.29 
  56  0.20  0.52  0.29 
  57  0.35  0.87  0.29 
  58  0.16  0.80  0.35 
  59  0.22  0.69  0.35 
  60  0.14  0.81  0.35 
  61  0.29  0.73  0.35 
  62  0.20  0.79  0.35 
  63  0.30  0.92  0.35 
  64  0.22  1.02  0.35 
  65  0.40  0.63  0.35 
  66  0.33  0.22  0.40 
  67  0.30  0.10  0.40 
  68  0.27  0.10  0.40 
  69  0.38  0.05  0.40 
  70  0.34  0.10  0.40 
  71  0.54  0.10  0.40 
  72  0.27  0.14  0.54 
  73  0.24  0.12  0.54 
  74  0.25  0.05  0.54 
  75  0.31  0.08  0.54 
  76  0.32  0.06  0.54 
  77  0.21  0.13  0.54 
  78  0.51  0.11  0.54 
  79  0.31  0.25  0.54 
  80  0.38  0.33  0.54 
  81  0.26  0.50  0.54 
  82  0.31  0.33  0.54 
  83  0.35  0.29  0.54 
  84  0.30  0.31  0.54 
  85  0.43  0.27  0.54 
  86  0.42  0.27  0.54 
  87  0.29  0.30  0.54 
  88  0.36  0.25  0.54 
  89  0.24  0.41  0.54 
  90  0.38  0.73  0.54 
  91  0.28  0.72  0.54 
  92  0.20  0.84  0.54 
  93  0.29  0.74  0.54 
  94  0.38  0.95  0.54 
  95  0.47  0.66  0.54 
  96  0.55  0.57  0.54 
  97  0.40  0.64  0.55 
  98  0.44  0.63  0.55 
  99  0.31  0.59  0.55 
 100  0.35  0.70  0.55 
 101  0.22  0.84  0.55 
 102  0.41  0.97  0.55 
 103  0.38  1.03  0.55 
 104  0.37  1.02  0.55 
 105  0.42  1.05  0.55 
 106  0.30  0.98  0.55 
 107  0.48  0.93  0.55 
 108  0.38  0.98  0.55 
 109  0.38  0.96  0.55 
 110  0.39  0.95  0.55 
 111  0.47  0.73  0.55 
 112  0.22  0.88  0.55 
 113  0.35  1.04  0.55 
 114  0.66  0.84  0.55 
 115  0.41  0.88  0.66 
 116  0.49  0.98  0.66 
 117  0.28  1.00  0.66 
 118  0.44  0.89  0.66 
 119  0.36  0.49  0.66 
 120  0.41  0.40  0.66 
 121  0.31  0.41  0.66 
 122  0.38  0.25  0.66 
 123  0.39  0.25  0.66 
 124  0.34  0.07  0.66 
 125  0.18  0.15  0.66 
 126  0.34  0.16  0.66 
 127  0.68  0.36  0.66 
 128  0.46  0.27  0.68 
 129  0.48  0.61  0.68 
 130  0.61  0.81  0.68 
 131  0.30  1.01  0.68 
 132  0.37  0.89  0.68 
 133  0.49  0.91  0.68 
 134  0.37  0.73  0.68 
 135  0.33  0.71  0.68 
 136  0.50  0.69  0.68 
 137  0.38  0.60  0.68 
 138  0.34  0.78  0.68 
 139  0.43  0.78  0.68 
 140  0.31  0.73  0.68 
 141  0.27  0.26  0.68 
