iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,2.162994623184204,17.91541244359935,11.20332549350785,36.43744094183247,8.05765994633686,0.0,0.1416919041724589,0.1,0.013336181640625,0.052657127380371094,0.053150803,0.9869566,17.91541244359935,0.0,0.22918582503835797,0.0,177,0.017166852951049805,1.0109283543296503,1.00647213628853,177,38.309838815055635,0.0
1,2.6686809062957764,23.890561451609866,9.829624547866533,36.251858802982504,10.031979924605603,0.0,0.1648132198269556,0.1,0.002793550491333008,0.07438993453979492,0.054880977,0.82797366,18.512927344400403,0.0,0.3088627997573635,0.0,192,0.013615131378173828,1.0062487323904452,0.9979248112580662,369,38.325841412632435,0.0
2,2.2312629222869873,11.866382262265603,15.635296164181065,38.35357523287585,-1.9894317631322822,0.0,0.1270931833601721,0.1,0.002634286880493164,0.050374746322631836,0.05091999,1.2883818,17.848272836186922,0.0,0.145198500412248,0.0,142,0.0094757080078125,0.9984466133015879,0.9943506434068308,511,38.33028213836708,0.0
3,2.63679838180542,22.14913372618218,9.40926681998992,38.33723453665835,15.060734483641523,0.0,0.1435174749773957,0.1,0.00283050537109375,0.05219435691833496,0.05325453,1.0736258,18.278358925186446,0.0,0.27895579193466885,0.0,194,0.014202594757080078,0.9930833915955362,0.9809712716533233,705,38.32914571694785,0.0
4,2.751775026321411,14.16051102906187,15.225663184326603,38.36577393826703,-1.983573787608703,0.0,0.132218349022974,0.1,0.0026922225952148438,0.05176043510437012,0.051065467,1.4846989,17.86657413557399,0.0,0.17578300858205134,0.0,161,0.011936187744140625,0.9838916078840325,0.9771942571041912,866,38.352884272204186,0.0
5,2.5436997413635254,9.083334240300212,15.866323801937424,36.2300176545825,-1.9891911089111858,0.0,0.11246098456699676,0.1,0.0025796890258789062,0.071197509765625,0.0507991,1.5546243,16.988250146046614,0.0,0.11806354278345489,0.0,121,0.008174419403076172,0.9800345848107863,0.9800345848107863,987,38.347110935692044,0.0
6,2.1816036701202393,12.042426844480158,4.016785916781881,16.086140338824286,8.022185221643355,0.0,0.13048724818901322,0.1,0.0027666091918945312,0.05071759223937988,0.049198166,1.041322,16.493667815889967,0.0,0.1475830613202404,0.0,140,0.012494087219238281,0.9463892384192242,0.9280534968747659,1127,38.348138100262695,0.0
7,2.2570786476135254,9.602340370150593,15.787028018494654,36.354400119825115,-1.9907484826751143,0.0,0.12451667114524004,0.1,0.0027778148651123047,0.05121278762817383,0.04984794,1.1739744,15.80453507131603,0.0,0.125024912545808,0.0,130,0.0098419189453125,0.9715632826676672,0.962819990184457,1257,38.3562324468402,0.0
8,3.0250205993652344,10.336130412591068,12.5915133060745,31.247305601910213,-1.984813610845247,0.0,0.11399168474024765,0.1,0.002660512924194336,0.04985809326171875,0.048751306,2.2179039,15.257694605443534,0.0,0.1281633077454015,0.0,129,0.010259151458740234,0.9503804909457921,0.9365500850515052,1386,38.356312099128054,0.0
9,2.3820345401763916,3.559261550561684,7.897537895526515,17.183220070748362,-1.9867768950280889,0.0,0.10559435795235753,0.1,0.0025861263275146484,0.04866218566894531,0.051064946,1.7092875,14.08785129995535,0.0,0.03779158473143803,0.0,100,0.0029761791229248047,0.9203200850815666,0.9203200850815666,1486,38.355965226270534,0.0
