iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1448915004730225,0.03499634001150995,0.014145703247945531,0.049356868582321564,0.01970299706817361,0.0,0.1403706440595198,0.1,0.012982606887817383,0.05263876914978027,0.052366886,1.5260255,0.03499634001150995,0.0,0.0007007937565634318,0.0,200,0.014694452285766602,4.692155413863929,1.3790758020112501,200,0.029542906191264522,0.0
1,0.9927043914794922,0.03808568584709069,0.018762805221962723,0.07024941287899784,0.023042840670910482,0.0,0.1389757786168321,0.1,0.003028392791748047,0.05327463150024414,0.053791977,1.8611021,0.03530527459506803,0.0,0.000750540477758521,0.0,200,0.012750387191772461,1.3385511458551667,0.34847501575508655,400,0.03307043792913788,0.0
2,0.9214491844177246,0.028381354281190162,0.012431799098310844,0.048820236846573224,0.015268232552470432,0.0,0.15250259191005475,0.1,0.002786397933959961,0.052896976470947266,0.052520324,0.96449935,0.034612882563680246,0.0,0.0005677851953971759,0.0,200,0.01342916488647461,0.5615806125370797,0.8242221576581005,600,0.027253079160127164,0.0
3,0.9759819507598877,0.04080266731315151,0.020412955271415553,0.06390252470909505,0.009472397894790622,0.0,0.14479634245337775,0.1,0.0026624202728271484,0.05258965492248535,0.049836878,0.87375504,0.035231861038627375,0.0,0.000813603519066515,0.0,200,0.015144109725952148,0.8324762817512794,0.5108030614160302,800,0.03010822194157546,0.0
4,0.9151196479797363,0.04389291876476417,0.016867655473535262,0.06683240016095973,0.02270790575400382,0.0,0.14667812422882803,0.1,0.002665996551513672,0.0521550178527832,0.05112557,1.0073549,0.036097966811241056,0.0,0.0008158784104104275,0.0,200,0.013437032699584961,0.49081873742057297,0.30202823857633887,1000,0.034881721441179216,0.0
5,1.1396565437316895,0.03703155676132113,0.008135073366217112,0.043563613411252686,0.023454629607441213,0.0,0.1402866026510398,0.1,0.0027358531951904297,0.05349326133728027,0.05063823,1.2143734,0.036191325806249064,0.0,0.0007348298408332352,0.0,200,0.013675451278686523,0.34612956993084487,0.4259775219648067,1200,0.03257529909507562,0.0
6,1.028864860534668,0.03731918845196498,0.013367654014962734,0.05611078543021689,0.019601412457912023,0.0,0.14693738730937425,0.1,0.00262451171875,0.05170440673828125,0.05059929,0.97133654,0.036304112070820654,0.0,0.0007304307750746716,0.0,200,0.017535924911499023,0.48628050009811064,0.2777736225869799,1400,0.03835896413546664,0.0
7,0.968238353729248,0.028483050983637535,0.012884665319262335,0.04336756111824312,0.012582050565765487,0.0,0.14785773456564533,0.1,0.0026764869689941406,0.05303692817687988,0.051058542,0.9312755,0.03552200596210234,0.0,0.0005742361270556351,0.0,200,0.013342857360839844,0.33504980949861224,0.33293987155569116,1600,0.05374970708591397,0.0
8,0.9558689594268799,0.08762114161930963,0.10632164207202782,0.2713625211067428,0.014810278357762406,0.0,0.13798710868712533,0.1,0.0026040077209472656,0.05217337608337402,0.049322534,1.7636085,0.04073191952782307,0.0,0.0017414252592270873,0.0,200,0.01399087905883789,0.8763943618461696,0.7413202834393567,1800,0.07382074977124846,0.0
9,1.017585039138794,0.0430890577827964,0.015681003437050277,0.06457516220600082,0.020345110162909866,0.0,0.14441988846270493,0.1,0.0026209354400634766,0.052332401275634766,0.05161644,1.0811721,0.0409676333533204,0.0,0.0008582047901621269,0.0,200,0.01469564437866211,0.28637949821116526,0.7212900515706403,2000,0.07808127669941965,0.0
10,1.0569720268249512,0.101718187811043,0.13348101340138005,0.33261233209507934,0.015903773495208648,0.0,0.14424924063180197,0.1,0.0028111934661865234,0.05825495719909668,0.05174058,1.8997955,0.04704268879909266,0.0,0.0020656801691494226,0.0,200,0.01340484619140625,0.7409794887762272,0.7051374497575637,2200,0.087570842930213,0.0
