Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.02  0.01  0.01 
   2  0.01  0.01  0.02 
   3  0.01  0.01  0.02 
   4  0.03  0.01  0.02 
   5  0.04  0.01  0.03 
   6  0.01  0.02  0.04 
   7  0.02  0.02  0.04 
   8  0.04  0.02  0.04 
   9  0.03  0.02  0.04 
  10  0.02  0.02  0.04 
  11  0.04  0.02  0.04 
  12  0.03  0.04  0.04 
  13  0.04  0.03  0.04 
  14  0.11  0.04  0.04 
  15  0.02  0.05  0.11 
  16  0.03  0.05  0.11 
  17  0.04  0.10  0.11 
  18  0.14  0.11  0.11 
  19  0.04  0.10  0.14 
  20  0.06  0.11  0.14 
  21  0.03  0.10  0.14 
  22  0.24  0.12  0.14 
  23  0.04  0.11  0.24 
  24  0.07  0.13  0.24 
  25  0.03  0.06  0.24 
  26  0.05  0.12  0.24 
  27  0.03  0.16  0.24 
  28  0.03  0.22  0.24 
  29  0.07  0.27  0.24 
  30  0.07  0.33  0.24 
  31  0.12  0.32  0.24 
  32  0.05  0.30  0.24 
  33  0.17  0.28  0.24 
  34  0.05  0.16  0.24 
  35  0.08  0.12  0.24 
  36  0.10  0.14  0.24 
  37  0.04  0.19  0.24 
  38  0.14  0.18  0.24 
  39  0.08  0.16  0.24 
  40  0.08  0.18  0.24 
  41  0.09  0.24  0.24 
  42  0.10  0.37  0.24 
  43  0.27  0.52  0.24 
  44  0.21  0.40  0.27 
  45  0.09  0.40  0.27 
  46  0.07  0.54  0.27 
  47  0.07  0.58  0.27 
  48  0.33  0.56  0.27 
  49  0.20  0.51  0.33 
  50  0.10  0.80  0.33 
  51  0.16  0.63  0.33 
  52  0.15  1.17  0.33 
  53  0.22  1.14  0.33 
  54  0.27  1.24  0.33 
  55  0.16  1.20  0.33 
  56  0.07  1.18  0.33 
  57  0.46  1.53  0.33 
  58  0.24  1.27  0.46 
  59  0.11  1.22  0.46 
  60  0.05  1.31  0.46 
  61  0.12  1.23  0.46 
  62  0.23  0.54  0.46 
  63  0.12  0.86  0.46 
  64  0.18  0.22  0.46 
  65  0.16  0.86  0.46 
  66  0.36  1.19  0.46 
  67  0.19  1.22  0.46 
  68  0.39  0.92  0.46 
  69  0.19  0.80  0.46 
  70  0.10  0.74  0.46 
  71  0.21  1.05  0.46 
  72  0.69  0.90  0.46 
  73  0.45  0.82  0.69 
  74  0.25  1.06  0.69 
  75  0.15  1.27  0.69 
  76  0.42  1.19  0.69 
  77  0.15  1.27  0.69 
  78  0.21  1.81  0.69 
  79  0.42  0.91  0.69 
  80  0.29  1.48  0.69 
  81  0.66  1.91  0.69 
  82  0.32  1.98  0.69 
  83  0.61  1.04  0.69 
  84  0.52  0.84  0.69 
  85  0.56  0.92  0.69 
  86  0.58  1.23  0.69 
  87  0.19  1.12  0.69 
  88  0.51  0.98  0.69 
  89  0.46  0.89  0.69 
  90  0.40  1.22  0.69 
