iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.6651842594146729,3.2554440981798383,1.3019376094520794,4.017252451633809,1.0004477041459108,0.0,0.08488233555045888,0.1,0.040076255798339844,0.08708000183105469,0.05421257,44.536232,3.2554440981798383,0.0,0.06010602796744432,0.0,56,0.002451658248901367,0.969396112879014,0.969396112879014,56,4.172183605712352,0.0
1,1.6699309349060059,3.5086328352469636,0.8708565949919994,4.025927457975387,2.0003490977755476,0.0,0.0901178697915151,0.1,0.0021467208862304688,0.04219484329223633,0.053804863,2.7661238,3.280762971886551,0.0,0.06516378468077735,0.0,50,0.002325773239135742,0.9787869687954275,0.9787869687954275,106,3.670880397367289,0.0
2,1.5877196788787842,3.507747360717204,0.8703381479627158,4.026264041251405,2.0003737049195625,0.0,0.09914084389194511,0.1,0.002264261245727539,0.04404902458190918,0.050314922,3.8087847,3.3034614107696165,0.0,0.06515281934047473,0.0,70,0.004732370376586914,0.96003546680929,0.96003546680929,176,3.8401370563483006,0.0
3,1.6117875576019287,2.7661215526985194,2.1744445355160917,4.056007036246065,-0.9999487704211083,0.0,0.08801793260642543,0.1,0.0027735233306884766,0.047765493392944336,0.048966262,3.7924156,3.249727424962507,0.0,0.050297735791651796,0.0,57,0.018032312393188477,0.9667396309103962,0.9667396309103962,233,3.5888053880082507,0.0
4,1.5532479286193848,3.258099887587738,1.3036699090301909,4.027674902780556,1.0001487313342525,0.0,0.09230094014894498,0.1,0.01181340217590332,0.19895696640014648,0.053459577,2.6372793,3.2505646712250305,0.0,0.060152981539310424,0.0,57,0.01734328269958496,0.9681169886578994,0.9681169886578994,290,4.007235098700643,0.0
5,1.5991027355194092,3.001870171178438,1.7330722107130794,4.0041002010722195,0.00010155338052175722,0.0,0.0820419774886328,0.1,0.006551504135131836,0.2103102207183838,0.050919484,2.2966855,3.2256952212203713,0.0,0.050033573976795864,0.0,35,0.00843191146850586,0.998363482303833,0.998363482303833,325,3.6745465307247858,0.0
6,1.476661205291748,3.2524724367118125,1.300323789305411,4.005898548666194,1.0002480350764316,0.0,0.08789215512705409,0.1,0.012203454971313477,0.1638939380645752,0.05174921,7.8140435,3.228372942769515,0.0,0.06004789654716398,0.0,47,0.0020759105682373047,0.9804207948688145,0.9804207948688145,372,3.59201003462087,0.0
7,1.515052080154419,2.5022024391589586,2.06305715011452,4.005134219517974,-0.9999482563353259,0.0,0.07981612417312313,0.1,0.0039048194885253906,0.14429974555969238,0.047026943,4.4759903,3.1557558924084597,0.0,0.04004335230069929,0.0,39,0.01207280158996582,0.9803034316857863,0.9803034316857863,411,3.67616083416471,0.0
8,1.786334753036499,4.013192042907301,0.015914220591636764,4.039692853008177,4.000582877054455,0.0,0.09566393869768292,0.1,0.0025627613067626953,0.04530763626098633,0.049512886,4.0847907,3.241499507458344,0.0,0.08025752234654532,0.0,67,0.002553701400756836,0.9735048880648298,0.9735048880648298,478,3.1777874261648975,0.0
9,1.715928316116333,3.253196753696079,1.3007948882741758,4.009996060728193,1.0001623915713058,0.0,0.09087464852892937,0.1,0.002101898193359375,0.04299521446228027,0.049086917,5.626283,3.2426692320821173,0.0,0.06005985755491925,0.0,55,0.002115011215209961,0.971501497809678,0.971501497809678,533,3.6747756623482246,0.0
10,1.6125459671020508,3.0098194638548303,1.7376823624682158,4.025806674878072,9.59146606678285e-05,0.0,0.0873111781949901,0.1,0.0022194385528564453,0.060040950775146484,0.047812723,3.3084474,3.2193842552593885,0.0,0.05517654481280302,0.0,54,0.002925395965576172,0.9689404694219946,0.9689404694219946,587,3.764356859439795,0.0
11,1.6336612701416016,2.751412163421003,2.16584783480456,4.004066443004104,-0.9999455845070615,0.0,0.07861415565117075,0.1,0.009914875030517578,0.2234630584716797,0.048947185,2.3737845,3.17258704607555,0.0,0.05002189299966412,0.0,32,0.014324665069580078,1.0024073397823046,1.0024073397823046,619,3.8511215081345913,0.0
12,1.5910000801086426,2.50366363673211,1.5017555314217401,4.010399267532911,1.0002259922547265,0.0,0.08887651699208211,0.1,0.011558294296264648,0.07303571701049805,0.049194336,5.1609235,3.1056947051412065,0.0,0.040072185250302185,0.0,51,0.0029463768005371094,0.9593519491928431,0.9593519491928431,670,3.678839807441378,0.0
13,1.7345666885375977,3.2545245968769585,1.3015514713179674,4.0123150508963334,1.000181980713391,0.0,0.08420368736731827,0.1,0.002337932586669922,0.17813634872436523,0.050453983,3.0800033,3.1205776943147816,0.0,0.055082841282055775,0.0,41,0.014449357986450195,0.9889262336008852,0.9889262336008852,711,3.92413727850472,0.0
14,1.471691370010376,2.254505581789003,2.0500664477308264,4.008901672555196,-0.9999442681405475,0.0,0.0687378187310056,0.1,0.0014979839324951172,0.02723407745361328,0.049992137,4.0292087,3.033970483062204,0.0,0.035087967245110666,0.0,23,0.020090103149414062,1.016869858662074,1.016869858662074,734,3.1726401670973936,0.0
15,1.918731451034546,3.7630633237065063,0.44030790785887336,4.026984650806098,3.000552190356287,0.0,0.1011947133667052,0.1,0.002730846405029297,0.04575324058532715,0.046768885,4.8608665,3.1068797671266344,0.0,0.07025098477105189,0.0,97,0.0026247501373291016,0.9502001740353019,0.9502001740353019,831,3.6778459077969745,0.0
16,1.6578319072723389,3.0045650669005326,1.7344021747675302,4.0145124471246945,0.0005062496005572292,0.0,0.0793833011509955,0.1,0.004123687744140625,0.1166391372680664,0.050123055,9.973967,3.096648297104024,0.0,0.05507991246313172,0.0,48,0.003748178482055664,0.9772752810750188,0.9772752810750188,879,3.6796358904808613,0.0
17,2.1270127296447754,2.001554521433584,2.0013598639816004,4.004215686754053,9.563275985824404e-05,0.0,0.07809781844530016,0.1,0.0025086402893066406,0.22452402114868164,0.050809473,4.4983196,2.98713891953698,0.0,0.03002666549375608,0.0,28,0.014841556549072266,0.9899647623548837,0.9899647623548837,907,3.9405009946020093,0.0
18,1.8508012294769287,3.0037690744621286,1.7341740420054184,4.011233357593182,9.92956471803641e-05,0.0,0.09600336158280799,0.1,0.014521598815917969,0.12317776679992676,0.049889863,4.0428147,2.988801935029495,0.0,0.055066449767793124,0.0,61,0.002470254898071289,0.9623931603757744,0.9623931603757744,968,3.590111921735497,0.0
19,1.7118616104125977,4.003756382036793,0.003355508085396685,4.008851794703531,4.000556549868801,0.0,0.09478578380062122,0.1,0.02774667739868164,0.13473296165466309,0.04952969,2.7928262,3.0902973797302256,0.0,0.08007093121294398,0.0,73,0.002589702606201172,0.9673795842831308,0.9673795842831308,1041,3.856304821297055,0.0
20,1.7606902122497559,2.25123786609336,1.7863406111628994,4.0032448149349715,0.00011533187553780522,0.0,0.07756123845951604,0.1,0.0025560855865478516,0.25866246223449707,0.05110529,2.9128916,3.006391428366539,0.0,0.035022594196601406,0.0,25,0.005990743637084961,1.004229845069025,1.004229845069025,1066,3.7865961559859964,0.0
21,1.5828876495361328,3.251785092332332,0.8303610941354479,4.005567037742807,2.000397181469512,0.0,0.08584941767479252,0.1,0.002702474594116211,0.1686692237854004,0.053626604,2.5233638,3.030930794763118,0.0,0.05503322969714572,0.0,45,0.008768081665039062,0.9799889263738457,0.9799889263738457,1111,3.7759053838099885,0.0
