iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.5263102054595947,-0.9999999766071701,1.0326212919379999e-09,-0.9999999755547542,-0.9999999780844941,0.0,67.06234603312954,0.1,0.02936553955078125,0.0053560733795166016,0.049506098,0.0022072725,-0.9999999766071701,0.0,-0.03999996454710467,0.0,4,0.0010378360748291016,1.0911082002064947,1.0911082002064947,4,-0.9999999752562689,0.0
1,1.6729295253753662,-0.9999999734967023,9.941184028947512e-10,-0.9999999724833435,-0.9999999751221957,0.0,60.52104093040808,0.1,0.0015680789947509766,0.010701179504394531,0.05078271,0.0019133824,-0.9999999762961234,0.0,-0.03999996454710467,0.0,4,0.0011627674102783203,1.0911082002064947,1.0911082002064947,8,-0.9999999751746665,0.0
2,1.5509631633758545,-0.999999976062457,8.226070049027734e-10,-0.9999999748895319,-0.9999999770880783,0.0,76.47147779100779,0.1,0.0012962818145751953,0.009887933731079102,0.049850106,0.0027671503,-0.9999999762727567,0.0,-0.03999996454710467,0.0,4,0.0009806156158447266,1.0911082002064947,1.0911082002064947,12,-0.999999975115862,0.0
3,1.478837251663208,-0.9999999755349991,9.21503067508936e-10,-0.999999974621196,-0.9999999769582955,0.0,83.69807627099344,0.1,0.0012030601501464844,0.009771347045898438,0.050664008,0.0010489979,-0.9999999761989811,0.0,-0.03999996454710467,0.0,4,0.0009911060333251953,1.0911082002064947,1.0911082002064947,16,-0.9999999750556938,0.0
4,1.576343297958374,-0.9999999743246573,8.909001131425146e-10,-0.9999999731053153,-0.9999999755966491,0.0,71.08153808860897,0.1,0.0014119148254394531,0.010221481323242188,0.047750622,0.0052971127,-0.9999999760115488,0.0,-0.03999996454710467,0.0,4,0.0012867450714111328,1.0911082002064947,1.0911082002064947,20,-0.9999999749889318,0.0
5,1.5470309257507324,-0.9999999764773031,3.1469342593636435e-10,-0.9999999760591121,-0.9999999769393475,0.0,250.44658716815078,0.1,0.0013396739959716797,0.010136604309082031,0.049432427,0.0007509193,-0.9999999760581242,0.0,-0.03999996454710467,0.0,4,0.0010061264038085938,1.0911082002064947,1.0911082002064947,24,-0.9999999749553194,0.0
6,1.4831891059875488,-0.9999999743638708,7.532226912742852e-10,-0.9999999731853018,-0.999999975269207,0.0,94.73618250565058,0.1,0.0013434886932373047,0.010117292404174805,0.050084203,0.0016916632,-0.9999999758886989,0.0,-0.03999996454710467,0.0,4,0.0010085105895996094,1.0911082002064947,1.0911082002064947,28,-0.9999999748978844,0.0
7,1.4312779903411865,-0.9999999745858786,8.634699799622522e-10,-0.9999999736212619,-0.9999999759479348,0.0,88.89914619612465,0.1,0.0013337135314941406,0.01213216781616211,0.04942161,0.0019472811,-0.9999999757584169,0.0,-0.03999996454710467,0.0,4,0.0009648799896240234,1.0911082002064947,1.0911082002064947,32,-0.999999974823765,0.0
8,1.405489206314087,-0.9999999748703566,1.4378728235097723e-09,-0.9999999728060445,-0.9999999764574561,0.0,56.64859219684101,0.1,0.0012564659118652344,0.012048006057739258,0.05044028,0.0022523517,-0.999999975669611,0.0,-0.03999996454710467,0.0,4,0.0009794235229492188,1.0911082002064947,1.0911082002064947,36,-0.9999999747007248,0.0
9,1.4550256729125977,-0.9999999735976881,4.916747620710529e-10,-0.9999999731569591,-0.9999999744306147,0.0,137.59691808996683,0.1,0.0012812614440917969,0.012199640274047852,0.04991713,0.0010306125,-0.9999999754624187,0.0,-0.03999996454710467,0.0,4,0.0010213851928710938,1.0911082002064947,1.0911082002064947,40,-0.9999999746405561,0.0
