iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.035789966583252,0.06523358756871184,0.003953330308725621,0.07100119803500288,0.06093901922911629,0.0,0.1466935203082031,0.1,0.04870939254760742,0.052983999252319336,0.048770025,1.2930661,0.06523358756871184,0.0,0.001308973258945526,0.0,200,0.015025615692138672,3.0935465236735835,0.5211295005019705,200,0.044332046900554055,0.0
1,0.9923291206359863,0.040601344699080125,0.012356564494799582,0.05929150411874963,0.028502471422866285,0.0,0.14405443708362592,0.1,0.0028352737426757812,0.053356170654296875,0.050340727,1.3526958,0.06277036328174866,0.0,0.0008135741442784802,0.0,200,0.014483213424682617,2.4293668229612537,0.7863576741679933,400,0.041197350390403696,0.0
2,1.0279126167297363,0.038077020719860466,0.0015259623786909161,0.0394840658134733,0.035795352303939,0.0,0.16860505968895154,0.1,0.002942323684692383,0.05266880989074707,0.05269117,0.89709085,0.060301029025559845,0.0,0.0007288451961321826,0.0,200,0.014270544052124023,0.8185628556760692,0.39970374863486735,600,0.04149328225660844,0.0
3,1.0141398906707764,0.05841144471857207,0.016966925859381705,0.0793763937327326,0.033321471678437756,0.0,0.14718938499520207,0.1,0.0027506351470947266,0.051717519760131836,0.050578736,0.72308785,0.06011207059486107,0.0,0.0011672463084456378,0.0,200,0.013741016387939453,0.639761326202175,0.6017525977196054,800,0.046064850027262676,0.0
4,1.150745153427124,0.0780651606852924,0.033835416662879675,0.1303824218005107,0.03631173521395301,0.0,0.14748919989782222,0.1,0.002887248992919922,0.0525517463684082,0.04811363,1.0060953,0.0619073796039042,0.0,0.0015007390565871881,0.0,200,0.015040874481201172,0.6903810501710815,0.29742077830461744,1000,0.0501301881541181,0.0
5,1.052696704864502,0.06611997444067622,0.011331884861191176,0.0808574385387104,0.05486078516856974,0.0,0.14063779488766914,0.1,0.0027692317962646484,0.053719282150268555,0.0504161,0.9093097,0.062328639087581406,0.0,0.0013071863092119697,0.0,200,0.01393437385559082,0.23466416377179383,0.34417128493371113,1200,0.05390629347755532,0.0
6,1.1538190841674805,0.0660759180721746,0.01933135310478586,0.0931515578572276,0.03945372520675827,0.0,0.15399641962956448,0.1,0.0027039051055908203,0.054998159408569336,0.050301567,0.75948215,0.06270336698604073,0.0,0.0013198056276597285,0.0,200,0.013408660888671875,0.3244497172258522,0.33028400371111905,1400,0.060264910279499435,0.0
7,1.0987930297851562,0.05338415821468407,0.023028251593282784,0.08914856741600474,0.029199338479762322,0.0,0.15301722947401333,0.1,0.0026559829711914062,0.056563615798950195,0.049449835,0.8779036,0.061771446108905066,0.0,0.0010741887970049193,0.0,200,0.014036417007446289,0.5024444281975521,0.300428643885673,1600,0.05621011609924109,0.0
8,1.1377885341644287,0.10143857909872168,0.10075016790725057,0.27356062265227665,0.01697505454131375,0.0,0.15382959375420166,0.1,0.002662181854248047,0.053066253662109375,0.051304568,1.4169275,0.06573815940788673,0.0,0.002002753929763496,0.0,200,0.014288902282714844,0.653769836771622,0.6461426303563983,1800,0.07528384001557432,0.0
9,1.0901529788970947,0.08172169951744793,0.030722442835605133,0.1246438704525589,0.04974652027945437,0.0,0.14729161126362164,0.1,0.0036852359771728516,0.053758859634399414,0.052419428,0.89622915,0.06733651341884285,0.0,0.0016195402786719428,0.0,200,0.014060497283935547,0.27016850068741033,0.23855469965522297,2000,0.07436073401508601,0.0
10,1.1163265705108643,0.10977260054328375,0.1278733442657286,0.33009494540819573,0.0215801194475087,0.0,0.14496998039925277,0.1,0.003615856170654297,0.06923317909240723,0.050632816,1.4773531,0.07158012213128694,0.0,0.002168139438887437,0.0,200,0.014930248260498047,0.6776968446481282,0.642072561811423,2200,0.09053369542775676,0.0
11,1.0325572490692139,0.0843507326399222,0.04076647032065429,0.1354416175994318,0.04306556074349521,0.0,0.14135044779715034,0.1,0.007827997207641602,0.06958889961242676,0.04857111,1.1247053,0.07285718318215047,0.0,0.0016820331070364397,0.0,200,0.01559758186340332,0.34138515686599946,0.3439390088083921,2400,0.10648184532439726,0.0
12,1.1251099109649658,0.09291394915509602,0.056499597790071486,0.1557067341799004,0.029584369511800192,0.0,0.15950762881656044,0.1,0.002782106399536133,0.053336381912231445,0.050836816,0.7752632,0.07486285977944503,0.0,0.0019083053164585012,0.0,200,0.014154434204101562,0.38719484289473605,0.3699147277904746,2600,0.11896705863896502,0.0
13,1.1193959712982178,0.11738249155152215,0.13992400332692587,0.35866139588580104,0.01616779006962737,0.0,0.14084763001262032,0.1,0.0026874542236328125,0.052617788314819336,0.051278878,1.4709969,0.07911482295665274,0.0,0.002340685319781998,0.0,200,0.015274524688720703,0.7067684471357708,0.6844136644967197,2800,0.1500261717769314,0.0
14,1.17720365524292,0.2528189553940415,0.2618893713361903,0.705473437246938,0.07447939018019144,0.0,0.13491215963735262,0.1,0.002796649932861328,0.05372309684753418,0.051753297,1.7941566,0.09648523620039162,0.0,0.005073244261564608,0.0,200,0.013638496398925781,0.762739552624334,0.6434749602465148,3000,0.222841489129425,0.0
15,1.1600048542022705,0.06382431258359932,0.03374933108586437,0.12170706801778781,0.037299128061750314,0.0,0.1360595162390116,0.1,0.002725362777709961,0.052019357681274414,0.0507586,1.1062236,0.09321914383871238,0.0,0.0013237240612031318,0.0,200,0.014150142669677734,3.0317824820893007,2.902067772852484,3200,0.20574812650983976,0.0
