iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.6560850143432617,-0.9999999601149336,2.8609107405338208e-09,-0.999999957073225,-0.9999999640022177,0.0,24.229817897962665,0.1,0.04594683647155762,0.009337663650512695,0.05031228,0.0057120193,-0.9999999601149336,0.0,-0.03999995828939663,0.0,4,0.00217437744140625,0.8229020006232852,0.8229020006232852,4,-0.9999999608692997,0.0
1,1.572852611541748,-0.9999999600950262,2.5112620352384124e-09,-0.9999999561140382,-0.9999999630705798,0.0,25.865380065036756,0.1,0.0016815662384033203,0.013132095336914062,0.04892245,0.011448425,-0.9999999601129429,0.0,-0.03999995828939663,0.0,4,0.0012104511260986328,0.8229020006232852,0.8229020006232852,8,-0.9999999606539499,0.0
2,1.6413121223449707,-0.9999999614407475,1.8218621632903107e-09,-0.999999959702141,-0.9999999642915847,0.0,35.299366194412926,0.1,0.0016169548034667969,0.01326608657836914,0.0515306,0.002004023,-0.9999999602457234,0.0,-0.03999995828939663,0.0,4,0.0012195110321044922,0.8229020006232852,0.8229020006232852,12,-0.9999999605365146,0.0
3,1.627335548400879,-0.9999999604358858,2.5852532328166758e-09,-0.9999999573577394,-0.9999999640053026,0.0,23.15090990241262,0.1,0.0015971660614013672,0.01449894905090332,0.049023926,0.011691844,-0.9999999602647396,0.0,-0.03999995828939663,0.0,4,0.001168966293334961,0.8229020006232852,0.8229020006232852,16,-0.9999999603746234,0.0
4,1.4150431156158447,-0.9999999617317148,1.7872619332234935e-09,-0.9999999591002962,-0.9999999640203687,0.0,35.80914326933617,0.1,0.0012950897216796875,0.014666318893432617,0.049007505,0.00998929,-0.9999999604114371,0.0,-0.03999995828939663,0.0,4,0.001249074935913086,0.8229020006232852,0.8229020006232852,20,-0.9999999602411248,0.0
5,1.7181789875030518,-0.9999999611698069,1.774480070812531e-09,-0.9999999592406457,-0.999999963035977,0.0,36.09163909233715,0.1,0.001552581787109375,0.015036821365356445,0.04969749,0.0054481872,-0.9999999604872741,0.0,-0.03999995828939663,0.0,4,0.0011713504791259766,0.8229020006232852,0.8229020006232852,24,-0.9999999601271252,0.0
6,1.4932899475097656,-0.9999999588684638,1.3144714158704144e-09,-0.9999999573733729,-0.999999960628053,0.0,51.21868942748361,0.1,0.0015864372253417969,0.01497030258178711,0.050518125,0.0021299212,-0.9999999603253931,0.0,-0.03999995828939663,0.0,4,0.0012204647064208984,0.8229020006232852,0.8229020006232852,28,-0.9999999600042312,0.0
7,1.6356208324432373,-0.9999999605806096,1.8431304769964957e-09,-0.9999999585452277,-0.9999999629388006,0.0,37.2798186247137,0.1,0.0013859272003173828,0.013719558715820312,0.04844299,0.0063369656,-0.9999999603509148,0.0,-0.03999995828939663,0.0,4,0.0010988712310791016,0.8229020006232852,0.8229020006232852,32,-0.9999999598925711,0.0
8,1.6839945316314697,-0.9999999583704591,2.0333718066470416e-09,-0.9999999563621496,-0.9999999617659414,0.0,32.26728880600565,0.1,0.0015950202941894531,0.014946937561035156,0.0519951,0.0018723154,-0.9999999601528692,0.0,-0.03999995828939663,0.0,4,0.0012679100036621094,0.8229020006232852,0.8229020006232852,36,-0.9999999597448156,0.0
9,1.5334527492523193,-0.9999999602095304,2.0019855048007725e-09,-0.9999999574916936,-0.9999999628850007,0.0,31.860158284623775,0.1,0.0014493465423583984,0.020350217819213867,0.048819244,0.008226739,-0.9999999601585354,0.0,-0.03999995828939663,0.0,4,0.0016198158264160156,0.8229020006232852,0.8229020006232852,40,-0.9999999595345536,0.0
