iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.0798900127410889,0.026160512924903526,0.013012229406765366,0.046784992950490316,0.013496857051934374,0.0,0.14451715366048906,0.1,0.012502670288085938,0.05317330360412598,0.05345396,0.9688092,0.026160512924903526,0.0,0.0005201076939527218,0.0,200,0.015119075775146484,45.693194343553444,5.668924815393668,200,0.02096399447439129,0.0
1,1.0410654544830322,0.027051955731983292,0.006647164969184024,0.03713796674295439,0.02039553013228258,0.0,0.14448973705755674,0.1,0.0028128623962402344,0.05294537544250488,0.047065873,0.58856404,0.026249657205611503,0.0,0.0005261241953426739,0.0,200,0.0137939453125,6.221749183499436,2.1163302813448284,400,0.02015292661793557,0.0
2,1.0705444812774658,0.014438791252384887,0.0078856494942676,0.027293549381881835,0.0077218752096787305,0.0,0.16446796122210247,0.1,0.0027229785919189453,0.0525665283203125,0.06592595,0.8642388,0.025068570610288842,0.0,0.00028756963211859575,0.0,200,0.013417959213256836,10.500196538216516,13.209456828080802,600,0.02000862192022791,0.0
3,0.9953572750091553,0.04955368527411434,0.03124283571891653,0.10189190110547426,0.01985149752650985,0.0,0.14813614754516755,0.1,0.0027136802673339844,0.05242586135864258,0.05287205,0.92316973,0.027517082076671393,0.0,0.0009881089055819292,0.0,200,0.013357162475585938,0.537491156495945,0.48348420472234394,800,0.029089199219315964,0.0
4,1.0688633918762207,0.05078380132619116,0.029785016590797755,0.09764202249482931,0.019445437854000224,0.0,0.14900351861473102,0.1,0.0026443004608154297,0.05782747268676758,0.04761616,0.9446632,0.02984375400162337,0.0,0.0010151934557292783,0.0,200,0.013578176498413086,0.49114888690753233,0.5149595133343275,1000,0.030074380128725195,0.0
5,1.1091163158416748,0.032633374692504005,0.015001154995842573,0.055954009376276564,0.019312776054833364,0.0,0.14523052073217513,0.1,0.0026404857635498047,0.052602291107177734,0.052397415,1.0348605,0.030122716070711434,0.0,0.0006392372185533136,0.0,200,0.013443708419799805,0.4078076118731435,0.3807118784398467,1200,0.041058652222847776,0.0
6,1.1257693767547607,0.03869317616609556,0.027141583208045997,0.07358660029168024,0.00925949655778517,0.0,0.1484219307968931,0.1,0.002641439437866211,0.05274033546447754,0.052315757,1.0430617,0.030979762080249846,0.0,0.0007706391525653048,0.0,200,0.013443231582641602,0.5817217898242713,0.5778783570990046,1400,0.046038014245338287,0.0
7,1.0340499877929688,0.025822980473127224,0.009738721262200278,0.042254623158171405,0.017986856407027633,0.0,0.14587602813430242,0.1,0.0026702880859375,0.05269026756286621,0.04982678,0.79271156,0.030464083919537584,0.0,0.0005012831431799632,0.0,200,0.013467788696289062,0.3369870201012324,0.31737608793848404,1600,0.05221499746407943,0.0
8,1.0862114429473877,0.07211468348105937,0.0790918029418958,0.20575078802999058,0.0083459838945706,0.0,0.1424471786961274,0.1,0.002679586410522461,0.053312063217163086,0.052033015,2.275666,0.034629143875689765,0.0,0.0014365881197919187,0.0,200,0.013330698013305664,0.8015119834304956,0.6934769948138245,1800,0.051716098064507686,0.0
9,1.0422065258026123,0.030348858441220598,0.025582604203179,0.07287684561246496,0.005050994519000722,0.0,0.15016587880756171,0.1,0.0027806758880615234,0.05287003517150879,0.052939616,1.0859728,0.03420111533224285,0.0,0.0005945993616995265,0.0,200,0.01349782943725586,0.6834594349934665,0.9041462759514965,2000,0.04255239915248633,0.0
