Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.03 -100000000.00 
   1  0.03  0.03  0.03 
   2  0.02  0.02  0.03 
   3  0.04  0.03  0.03 
   4  0.06  0.03  0.04 
   5  0.04  0.04  0.06 
   6  0.05  0.06  0.06 
   7  0.03  0.08  0.06 
   8  0.08  0.13  0.06 
   9  0.05  0.12  0.08 
  10  0.09  0.09  0.08 
  11  0.08  0.08  0.09 
  12  0.05  0.14  0.09 
  13  0.07  0.19  0.09 
  14  0.18  0.21  0.09 
  15  0.05  0.30  0.18 
  16  0.07  0.38  0.18 
  17  0.09  0.41  0.18 
  18  0.28  0.42  0.18 
  19  0.21  0.48  0.28 
  20  0.09  0.56  0.28 
  21  0.12  0.65  0.28 
  22  0.25  0.59  0.28 
  23  0.16  0.55  0.28 
  24  0.32  0.57  0.28 
  25  0.08  0.61  0.32 
  26  0.10  0.58  0.32 
  27  0.06  0.59  0.32 
  28  0.14  0.51  0.32 
  29  0.13  0.47  0.32 
  30  0.20  0.58  0.32 
  31  0.14  0.45  0.32 
  32  0.17  0.52  0.32 
  33  0.25  0.48  0.32 
  34  0.23  0.53  0.32 
  35  0.21  0.49  0.32 
  36  0.22  0.45  0.32 
  37  0.08  0.47  0.32 
  38  0.21  0.41  0.32 
  39  0.18  0.40  0.32 
  40  0.20  0.34  0.32 
  41  0.30  0.25  0.32 
  42  0.33  0.25  0.32 
  43  0.28  0.26  0.33 
  44  0.27  0.14  0.33 
  45  0.29  0.20  0.33 
  46  0.24  0.30  0.33 
  47  0.27  0.47  0.33 
  48  0.28  0.39  0.33 
  49  0.30  0.25  0.33 
  50  0.22  0.17  0.33 
  51  0.20  0.27  0.33 
  52  0.12  0.24  0.33 
  53  0.27  0.35  0.33 
  54  0.35  0.18  0.33 
  55  0.13  0.22  0.35 
  56  0.23  0.32  0.35 
  57  0.39  0.29  0.35 
  58  0.20  0.20  0.39 
  59  0.31  0.20  0.39 
  60  0.11  0.33  0.39 
  61  0.24  0.26  0.39 
  62  0.29  0.25  0.39 
  63  0.30  0.36  0.39 
  64  0.14  0.30  0.39 
  65  0.39  0.31  0.39 
  66  0.29  0.41  0.39 
  67  0.39  0.45  0.39 
  68  0.29  0.60  0.39 
  69  0.51  0.48  0.39 
  70  0.23  0.57  0.51 
  71  0.54  0.47  0.51 
  72  0.60  0.50  0.54 
  73  0.34  0.67  0.60 
  74  0.25  0.51  0.60 
  75  0.40  0.51  0.60 
  76  0.45  0.44  0.60 
  77  0.45  0.52  0.60 
  78  0.37  0.53  0.60 
  79  0.53  0.48  0.60 
  80  0.38  0.53  0.60 
  81  0.73  0.64  0.60 
  82  0.33  0.36  0.73 
  83  0.48  0.52  0.73 
  84  0.63  0.53  0.73 
  85  0.57  0.72  0.73 
  86  0.58  0.86  0.73 
  87  0.65  1.22  0.73 
  88  0.39  1.26  0.73 
  89  0.43  0.95  0.73 
  90  0.53  0.89  0.73 
  91  0.24  1.17  0.73 
  92  0.24  0.90  0.73 
  93  0.35  0.82  0.73 
  94  0.55  0.88  0.73 
  95  0.73  1.09  0.73 
  96  0.73  0.80  0.73 
  97  0.52  1.23  0.73 
  98  0.57  1.05  0.73 
  99  0.59  0.83  0.73 
 100  0.38  0.96  0.73 
 101  0.42  0.99  0.73 
 102  0.52  1.23  0.73 
 103  0.76  1.20  0.73 
 104  0.36  1.12  0.76 
 105  0.40  1.29  0.76 
 106  0.58  1.28  0.76 
 107  0.46  1.31  0.76 
 108  0.51  1.22  0.76 
 109  0.55  1.31  0.76 
 110  0.54  1.29  0.76 
 111  0.58  1.41  0.76 
 112  0.50  1.30  0.76 
 113  0.61  1.13  0.76 
 114  0.46  1.33  0.76 
 115  0.46  1.36  0.76 
 116  0.34  1.30  0.76 
 117  0.49  1.35  0.76 
 118  0.72  1.16  0.76 
 119  0.60  1.25  0.76 
 120  0.38  1.23  0.76 
 121  0.68  1.19  0.76 
 122  0.63  1.00  0.76 
 123  0.37  1.19  0.76 
 124  0.37  1.09  0.76 
 125  0.75  1.15  0.76 
 126  0.33  1.07  0.76 
 127  0.65  1.00  0.76 
 128  0.72  1.08  0.76 
 129  0.62  1.14  0.76 
 130  0.58  1.39  0.76 
 131  0.72  1.36  0.76 
 132  0.36  1.26  0.76 
 133  0.62  1.16  0.76 
 134  0.41  1.23  0.76 
 135  0.47  1.25  0.76 
 136  0.84  1.39  0.76 
 137  0.43  1.24  0.84 
 138  0.63  1.24  0.84 
