Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.05  0.04 -100000000.00 
   1  0.08  0.04  0.05 
   2  0.04  0.05  0.08 
   3  0.09  0.05  0.08 
   4  0.07  0.06  0.09 
   5  0.05  0.06  0.09 
   6  0.08  0.05  0.09 
   7  0.05  0.06  0.09 
   8  0.13  0.08  0.09 
   9  0.05  0.07  0.13 
  10  0.07  0.05  0.13 
  11  0.11  0.07  0.13 
  12  0.16  0.10  0.13 
  13  0.09  0.12  0.16 
  14  0.21  0.17  0.16 
  15  0.19  0.52  0.21 
  16  0.17  0.52  0.21 
  17  0.31  0.54  0.21 
  18  0.28  0.58  0.31 
  19  0.36  0.73  0.31 
  20  0.13  1.04  0.36 
  21  0.48  1.38  0.36 
  22  0.37  1.21  0.48 
  23  0.54  1.05  0.48 
  24  0.53  0.73  0.54 
  25  0.13  1.40  0.54 
  26  0.61  1.32  0.54 
  27  0.16  1.25  0.61 
  28  0.32  1.41  0.61 
  29  0.47  1.39  0.61 
  30  0.25  1.36  0.61 
  31  0.33  1.59  0.61 
  32  0.66  1.63  0.61 
  33  0.81  1.99  0.66 
  34  0.30  1.10  0.81 
  35  0.43  0.88  0.81 
  36  0.36  4.01  0.81 
  37  0.39  3.17  0.81 
  38  0.43  3.77  0.81 
  39  0.59  4.34  0.81 
  40  0.61  2.11  0.81 
  41  0.26  2.59  0.81 
  42  0.32  2.19  0.81 
  43  1.30  1.79  0.81 
  44  0.79  1.55  1.30 
  45  0.59  2.77  1.30 
  46  0.37  2.73  1.30 
  47  0.72  1.62  1.30 
  48  0.58  2.67  1.30 
  49  0.62  1.97  1.30 
  50  0.53  1.71  1.30 
  51  0.81  1.24  1.30 
  52  1.00  1.56  1.30 
  53  0.77  0.86  1.30 
  54  0.80  1.19  1.30 
  55  1.18  0.93  1.30 
  56  0.89  1.25  1.30 
  57  0.89  1.03  1.30 
  58  0.92  1.71  1.30 
  59  0.70  1.01  1.30 
  60  0.28  0.73  1.30 
  61  1.51  0.78  1.30 
  62  1.03  0.50  1.51 
  63  0.70  0.56  1.51 
  64  0.81  0.50  1.51 
  65  1.24  0.39  1.51 
  66  1.28  0.32  1.51 
  67  1.33  0.32  1.51 
  68  1.36  0.43  1.51 
  69  0.99  0.25  1.51 
  70  1.53  0.15  1.51 
  71  1.81  0.21  1.53 
  72  1.52  0.24  1.81 
  73  1.04  0.09  1.81 
  74  1.65  0.12  1.81 
  75  1.10  0.14  1.81 
  76  1.29  0.10  1.81 
  77  0.30  0.23  1.81 
  78  1.26  0.18  1.81 
  79  1.26  0.36  1.81 
  80  1.35  0.26  1.81 
  81  0.99  0.37  1.81 
  82  1.36  0.62  1.81 
  83  1.56  0.89  1.81 
  84  1.10  0.61  1.81 
  85  0.65  0.21  1.81 
  86  1.20  0.15  1.81 
  87  1.26  0.47  1.81 
  88  1.57  0.63  1.81 
  89  0.50  0.64  1.81 
  90  1.87  1.09  1.81 
  91  0.94  1.34  1.87 
  92  1.19  1.24  1.87 
  93  1.41  1.61  1.87 
  94  1.15  0.94  1.87 
  95  1.62  1.29  1.87 
  96  1.88  1.83  1.87 
  97  2.21  1.38  1.88 
  98  1.55  2.59  2.21 
  99  1.78  1.75  2.21 
 100  1.43  1.92  2.21 
 101  1.23  2.73  2.21 
 102  1.74  2.53  2.21 
 103  1.10  1.37  2.21 
 104  1.15  0.46  2.21 
 105  1.81  0.40  2.21 
 106  2.20  1.49  2.21 
 107  1.29  1.07  2.21 
 108  1.42  0.50  2.21 
 109  1.73  0.31  2.21 
 110  2.33  0.39  2.21 
 111  2.23  0.42  2.33 
 112  0.74  0.47  2.33 
 113  2.70  0.44  2.33 
 114  1.77  0.71  2.70 
 115  1.97  0.67  2.70 
 116  1.86  0.81  2.70 
 117  2.74  0.58  2.70 
 118  1.01  0.62  2.74 
 119  1.70  0.56  2.74 
 120  2.45  0.52  2.74 
 121  1.33  0.54  2.74 
 122  1.45  0.35  2.74 
 123  1.02  0.43  2.74 
 124  1.50  0.49  2.74 
 125  1.30  0.52  2.74 
 126  1.94  0.39  2.74 
 127  2.44  0.50  2.74 
 128  1.31  0.52  2.74 
 129  2.21  0.73  2.74 
 130  1.72  1.14  2.74 
 131  1.58  1.13  2.74 
 132  1.60  1.18  2.74 
 133  1.80  0.70  2.74 
 134  1.91  0.99  2.74 
 135  0.91  0.89  2.74 
 136  2.37  1.06  2.74 
 137  1.32  1.72  2.74 
 138  2.45  0.98  2.74 
 139  2.18  1.33  2.74 
 140  1.92  2.46  2.74 
 141  0.80  0.76  2.74 
 142  1.16  0.70  2.74 
 143  1.37  1.89  2.74 
 144  2.27  0.90  2.74 
 145  1.28  1.00  2.74 
 146  0.79  1.53  2.74 
 147  0.95  0.91  2.74 
 148  1.73  0.91  2.74 
 149  2.09  0.79  2.74 
 150  1.32  1.61  2.74 
 151  1.74  1.63  2.74 
 152  3.50  1.59  2.74 
 153  1.00  1.31  3.50 
 154  2.28  1.62  3.50 
 155  1.53  1.70  3.50 
 156  1.53  2.20  3.50 
 157  2.64  2.14  3.50 
 158  1.96  1.78  3.50 
 159  2.02  2.12  3.50 
 160  0.55  1.83  3.50 
 161  2.20  1.81  3.50 
 162  2.03  1.70  3.50 
 163  3.63  2.16  3.50 
 164  2.50  1.67  3.63 
 165  2.79  1.68  3.63 
 166  2.33  1.73  3.63 
 167  0.99  1.84  3.63 
 168  1.91  0.97  3.63 
 169  2.39  0.93  3.63 
 170  1.83  1.28  3.63 
 171  2.44  1.61  3.63 
 172  2.88  1.14  3.63 
 173  2.59  2.14  3.63 
 174  2.39  0.48  3.63 
 175  2.76  1.18  3.63 
 176  2.33  0.66  3.63 
 177  1.90  0.77  3.63 
