Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.01  0.01  0.01 
   2  0.01  0.01  0.01 
   3  0.02  0.01  0.01 
   4  0.02  0.01  0.02 
   5  0.02  0.01  0.02 
   6  0.02  0.02  0.02 
   7  0.01  0.03  0.02 
   8  0.05  0.05  0.02 
   9  0.02  0.06  0.05 
  10  0.09  0.05  0.05 
  11  0.05  0.05  0.09 
  12  0.03  0.07  0.09 
  13  0.04  0.09  0.09 
  14  0.24  0.11  0.09 
  15  0.03  0.14  0.24 
  16  0.05  0.30  0.24 
  17  0.04  0.28  0.24 
  18  0.17  0.25  0.24 
  19  0.08  0.23  0.24 
  20  0.14  0.29  0.24 
  21  0.05  0.34  0.24 
  22  0.33  0.50  0.24 
  23  0.05  0.44  0.33 
  24  0.32  0.44  0.33 
  25  0.03  0.45  0.33 
  26  0.07  0.54  0.33 
  27  0.04  0.55  0.33 
  28  0.06  0.51  0.33 
  29  0.24  0.51  0.33 
  30  0.24  0.35  0.33 
  31  0.05  0.47  0.33 
  32  0.07  0.42  0.33 
  33  0.22  0.49  0.33 
  34  0.09  0.51  0.33 
  35  0.13  0.56  0.33 
  36  0.10  0.52  0.33 
  37  0.05  0.37  0.33 
  38  0.22  0.18  0.33 
  39  0.11  0.24  0.33 
  40  0.13  0.40  0.33 
  41  0.13  0.39  0.33 
  42  0.10  0.29  0.33 
  43  0.25  0.36  0.33 
  44  0.45  0.32  0.33 
  45  0.14  0.28  0.45 
  46  0.15  0.35  0.45 
  47  0.23  0.37  0.45 
  48  0.16  0.37  0.45 
  49  0.25  0.58  0.45 
  50  0.14  0.73  0.45 
  51  0.25  0.69  0.45 
  52  0.28  0.58  0.45 
  53  0.50  0.47  0.45 
  54  0.48  0.45  0.50 
  55  0.27  0.52  0.50 
  56  0.13  0.50  0.50 
  57  0.45  0.54  0.50 
  58  0.15  0.40  0.50 
  59  0.17  0.34  0.50 
  60  0.10  0.29  0.50 
  61  0.50  0.44  0.50 
  62  0.42  0.73  0.50 
  63  0.38  0.60  0.50 
  64  0.21  0.69  0.50 
  65  0.36  0.44  0.50 
  66  0.59  0.53  0.50 
  67  0.63  0.51  0.59 
  68  0.31  0.57  0.63 
  69  0.81  0.47  0.63 
  70  0.36  0.36  0.81 
  71  0.89  0.54  0.81 
  72  1.23  0.50  0.89 
  73  0.35  0.44  1.23 
  74  0.75  0.37  1.23 
  75  0.67  0.50  1.23 
  76  0.90  0.38  1.23 
  77  0.35  0.46  1.23 
  78  0.67  0.62  1.23 
  79  0.57  0.91  1.23 
  80  0.84  0.59  1.23 
  81  1.25  0.59  1.23 
  82  0.40  2.20  1.25 
  83  0.64  2.50  1.25 
  84  0.75  2.20  1.25 
  85  1.57  2.11  1.25 
  86  0.81  2.13  1.57 
  87  0.53  3.93  1.57 
  88  0.53  3.33  1.57 
  89  0.88  3.25  1.57 
  90  0.95  3.39  1.57 
  91  0.59  3.12  1.57 
  92  0.86  3.72  1.57 
  93  1.19  3.04  1.57 
  94  0.98  3.45  1.57 
  95  0.81  2.49  1.57 
  96  2.37  2.27  1.57 
  97  1.06  3.16  2.37 
  98  2.04  2.22  2.37 
  99  1.25  1.84  2.37 
 100  0.55  2.69  2.37 
 101  1.36  2.97  2.37 
 102  0.95  2.00  2.37 
 103  1.58  2.55  2.37 
 104  1.28  2.21  2.37 
 105  0.74  2.55  2.37 
 106  1.33  2.85  2.37 
 107  1.42  2.10  2.37 
