iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.4218218326568604,3.153328505808643,0.01087831282259062,3.166850337164948,3.1364511975885594,0.0,0.15209894005346,0.1,0.10662221908569336,0.05712890625,0.05374464,1.6520613,3.153328505808643,0.0,0.04388936152090895,0.0,300,0.030719280242919922,0.9567199371234877,0.8442224480805214,300,3.1441482722734775,0.0
1,1.2869927883148193,3.164160068419843,0.023740226918764727,3.2050240729115407,3.1476378117076265,0.0,0.1588201859661027,0.1,0.0877218246459961,1.1914587020874023,0.047488667,1.3636074,3.154411662069763,0.0,0.0440431829565017,0.0,300,0.24292945861816406,0.842151351465973,0.7223597160585044,600,3.1475459870240665,0.0
2,1.5742418766021729,3.158377070600597,0.012481924028925683,3.179578725642148,3.148055305493752,0.0,0.15856033089907143,0.1,0.09514927864074707,0.12292814254760742,0.050662767,1.5240601,3.1548082029228466,0.0,0.043965275444346336,0.0,300,0.2864530086517334,0.7306829766250369,0.5964149481149047,900,3.148901754530797,0.0
3,1.4466471672058105,3.174221817368627,0.05691644082488539,3.272310589768679,3.134941592307345,0.0,0.15856380961610117,0.1,0.08668708801269531,1.2082257270812988,0.050683193,1.3664323,3.1567495643674244,0.0,0.044175960310861746,0.0,300,0.2612297534942627,0.5898669414179147,0.42741498909503445,1200,3.144620739485244,0.0
4,1.5622363090515137,3.1674214106494665,0.01065297648621957,3.1822872933985504,3.1554336088355894,0.0,0.1602262946126783,0.1,0.09351801872253418,0.6644325256347656,0.05139272,1.6404389,3.1578167489956286,0.0,0.04408282354409963,0.0,300,0.23021626472473145,0.4274650981861183,0.243244541224929,1500,3.1529001119217814,0.0
5,1.4581682682037354,3.1943270782091213,0.009622218965812763,3.2055424388359475,3.1802980350212713,0.0,0.1458194580167739,0.1,0.10075092315673828,1.16831636428833,0.055071887,4.022377,3.161467781916978,0.0,0.04442371218589605,0.0,300,0.2713966369628906,0.24185667012428477,0.11592092474559779,1800,3.155815953850708,0.0
6,1.4882941246032715,3.170505562953443,0.03835415784335875,3.2368224531035725,3.144781848402687,0.0,0.14595236297604727,0.1,0.0891873836517334,0.229231595993042,0.04812114,8.457447,3.162371560020625,0.0,0.0440879920754498,0.0,300,0.24593186378479004,0.12585827619819978,0.09630453657599826,2100,3.168737970236449,0.0
7,1.456024408340454,3.153784159473168,0.010175402012661946,3.170539066586842,3.1454036078904304,0.0,0.13410337871769895,0.1,0.09544563293457031,1.2904975414276123,0.04858094,20.240122,3.1615128199658793,0.0,0.04389923766523237,0.0,300,0.09710907936096191,0.08891833288041655,0.0833395108937214,2400,3.166464016677242,0.0
8,1.5552222728729248,3.2390817445686126,0.09485863612143763,3.3928533591017045,3.1595392887357034,0.0,0.13039321912466495,0.1,0.08578276634216309,0.8999989032745361,0.04951277,16.589006,3.1692697124261526,0.0,0.045030605268291314,0.0,300,0.21903157234191895,0.09034318440288819,0.07528119504148192,2700,3.1586440526438877,0.0
9,1.499427080154419,3.1764560412323304,0.03634842457647439,3.23685379716793,3.1399475163136694,0.0,0.14061706775646124,0.1,0.09162521362304688,1.4597666263580322,0.049624324,10.439611,3.1699883453067703,0.0,0.04418506666117548,0.0,300,0.2529010772705078,0.07907446778406671,0.06286178853588183,3000,3.165238478762886,0.0
10,1.4125699996948242,3.1621232075588344,0.009643186370338003,3.1775311951417335,3.150929783437427,0.0,0.14455891643869057,0.1,0.0827488899230957,1.4955384731292725,0.04874663,7.495862,3.1692018315319768,0.0,0.04401575648084248,0.0,300,0.2777566909790039,0.0678716983269628,0.05666563640391804,3300,3.148262893334975,0.0
11,1.5231778621673584,3.1725256150412204,0.02987763980869441,3.2235371348134825,3.1500852675488025,0.0,0.17872177256840166,0.1,0.09037280082702637,1.4510531425476074,0.051040463,2.9549983,3.1695342098829014,0.0,0.044135772257271236,0.0,300,0.11638212203979492,0.06170674601094047,0.05167740927396617,3600,3.143327677462421,0.0
12,1.4611351490020752,3.1664141939706787,0.023482953571525803,3.2042751147871367,3.1460301892855256,0.0,0.16075995547429198,0.1,0.08749604225158691,0.626420259475708,0.048339333,3.1095033,3.169222208291679,0.0,0.04406734057197407,0.0,300,0.26436829566955566,0.053171784729855745,0.043734164828584735,3900,3.1555871165937552,0.0
13,1.5218720436096191,3.190421707414764,0.03210272410237368,3.221237725231592,3.1430865138112454,0.0,0.16874881867482985,0.1,0.0879068374633789,1.0163447856903076,0.04971557,3.619663,3.171342158203988,0.0,0.04434682618779549,0.0,300,0.2533283233642578,0.04748273481100001,0.03983070153705404,4200,3.1645075679642445,0.0
14,1.4400007724761963,3.239769024580723,0.11656776715119936,3.4405543055290013,3.153871319647788,0.0,0.15093019035477442,0.1,0.0875236988067627,0.46788549423217773,0.052766837,3.9917204,3.1781848448416614,0.0,0.04503189274697446,0.0,300,0.23091363906860352,0.05133061434937065,0.044539934237157734,4500,3.181842482920102,0.0
15,1.733323574066162,3.1891705059828444,0.03767691585954017,3.247921636442653,3.1533111021069726,0.0,0.1212102139615795,0.1,0.08063149452209473,0.33001112937927246,0.047376014,20.54201,3.17928341095578,0.0,0.044366257367436907,0.0,300,0.2306830883026123,0.029674828322675352,0.02500762116872748,4800,3.231602671886792,0.0
16,1.4946281909942627,3.183029065460776,0.031520294709279355,3.236036782511531,3.153065195366374,0.0,0.15426590385473102,0.1,0.08730530738830566,0.5021817684173584,0.052177753,6.632755,3.17965797640628,0.0,0.044294613698694134,0.0,300,0.22855472564697266,0.02885675394498866,0.021367031214699107,5100,3.4412952614702568,0.0
17,1.5741114616394043,3.1813299442786285,0.02674190486561837,3.2082843584820324,3.1426275381400024,0.0,0.14985267883667044,0.1,0.08538579940795898,0.7575869560241699,0.0496294,8.569417,3.179825173193515,0.0,0.044267354377427404,0.0,300,0.18960857391357422,0.020621237063756015,0.015554659270625592,5400,3.565994846063981,0.0
18,1.4980030059814453,3.2535104270052493,0.06729810895882089,3.3569639045758666,3.1814177920264903,0.0,0.156228172990887,0.1,0.05703854560852051,0.7572431564331055,0.050924126,5.9115763,3.1871936985746885,0.0,0.04522307737615236,0.0,300,0.14209794998168945,0.018125712216258315,0.01332447337471106,5700,3.3075606621900087,0.0
