Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.02  0.02 -100000000.00 
   1  0.02  0.02  0.02 
   2  0.02  0.02  0.02 
   3  0.02  0.03  0.02 
   4  0.06  0.04  0.02 
   5  0.05  0.04  0.06 
   6  0.03  0.05  0.06 
   7  0.02  0.04  0.06 
   8  0.08  0.06  0.06 
   9  0.06  0.07  0.08 
  10  0.03  0.05  0.08 
  11  0.06  0.05  0.08 
  12  0.06  0.06  0.08 
  13  0.07  0.05  0.08 
  14  0.11  0.06  0.08 
  15  0.05  0.06  0.11 
  16  0.06  0.07  0.11 
  17  0.09  0.12  0.11 
  18  0.18  0.11  0.11 
  19  0.09  0.10  0.18 
  20  0.16  0.11  0.18 
  21  0.07  0.11  0.18 
  22  0.19  0.10  0.18 
  23  0.11  0.12  0.19 
  24  0.14  0.13  0.19 
  25  0.10  0.16  0.19 
  26  0.10  0.17  0.19 
  27  0.07  0.16  0.19 
  28  0.06  0.14  0.19 
  29  0.10  0.16  0.19 
  30  0.14  0.20  0.19 
  31  0.16  0.17  0.19 
  32  0.07  0.19  0.19 
  33  0.25  0.19  0.19 
  34  0.09  0.24  0.25 
  35  0.13  0.24  0.25 
  36  0.13  0.28  0.25 
  37  0.10  0.37  0.25 
  38  0.14  0.45  0.25 
  39  0.17  0.50  0.25 
  40  0.21  0.49  0.25 
  41  0.24  0.50  0.25 
  42  0.16  0.55  0.25 
  43  0.29  0.56  0.25 
  44  0.33  0.59  0.29 
  45  0.17  0.53  0.33 
  46  0.14  0.51  0.33 
  47  0.29  0.59  0.33 
  48  0.30  0.48  0.33 
  49  0.25  0.56  0.33 
  50  0.20  0.59  0.33 
  51  0.22  0.46  0.33 
  52  0.18  0.69  0.33 
  53  0.19  0.45  0.33 
  54  0.26  0.59  0.33 
  55  0.14  0.59  0.33 
  56  0.27  0.55  0.33 
  57  0.22  0.69  0.33 
  58  0.23  0.64  0.33 
  59  0.14  0.42  0.33 
  60  0.08  0.57  0.33 
  61  0.20  0.47  0.33 
  62  0.22  0.69  0.33 
  63  0.17  0.78  0.33 
  64  0.30  0.81  0.33 
  65  0.35  0.60  0.33 
  66  0.43  0.69  0.35 
  67  0.26  0.85  0.43 
  68  0.26  0.76  0.43 
  69  0.40  0.61  0.43 
  70  0.22  0.56  0.43 
  71  0.25  0.59  0.43 
  72  0.50  0.53  0.43 
  73  0.50  0.55  0.50 
  74  0.44  0.37  0.50 
  75  0.29  0.39  0.50 
  76  0.48  0.33  0.50 
  77  0.35  0.57  0.50 
  78  0.34  0.51  0.50 
  79  0.36  0.59  0.50 
  80  0.32  0.54  0.50 
  81  0.51  0.69  0.50 
  82  0.37  0.71  0.51 
  83  0.33  0.73  0.51 
  84  0.42  0.87  0.51 
  85  0.53  0.61  0.51 
  86  0.49  0.94  0.53 
  87  0.27  0.48  0.53 
  88  0.68  0.87  0.53 
  89  0.44  0.83  0.68 
  90  0.48  1.15  0.68 
  91  0.19  0.85  0.68 
  92  0.31  0.95  0.68 
  93  0.62  1.07  0.68 
  94  0.60  0.94  0.68 
  95  0.60  1.27  0.68 
  96  0.68  1.22  0.68 
  97  0.31  0.70  0.68 
  98  0.44  1.24  0.68 
  99  0.52  0.98  0.68 
 100  0.29  1.43  0.68 
 101  0.33  1.46  0.68 
 102  0.57  1.24  0.68 
 103  0.49  1.43  0.68 
 104  0.40  1.77  0.68 
 105  0.38  1.23  0.68 
 106  0.50  1.11  0.68 
 107  0.85  1.08  0.68 
 108  0.43  1.21  0.85 
 109  0.24  1.10  0.85 
 110  0.73  0.93  0.85 
 111  0.53  1.22  0.85 
 112  0.48  1.31  0.85 
 113  0.21  1.39  0.85 
 114  0.64  1.60  0.85 
 115  0.64  1.14  0.85 
 116  0.46  1.51  0.85 
 117  0.20  0.85  0.85 
 118  0.68  1.08  0.85 
 119  0.70  0.48  0.85 
 120  0.57  0.37  0.85 
 121  0.67  0.35  0.85 
 122  0.38  0.37  0.85 
 123  0.32  0.47  0.85 
 124  0.50  0.81  0.85 
 125  0.58  0.74  0.85 
 126  0.37  0.87  0.85 
 127  0.58  0.74  0.85 
 128  0.44  1.11  0.85 
 129  0.30  1.27  0.85 
 130  0.38  1.11  0.85 
 131  0.75  1.39  0.85 
 132  0.29  1.49  0.85 
 133  0.48  0.97  0.85 
 134  0.67  1.51  0.85 
 135  0.28  1.47  0.85 
 136  0.50  1.04  0.85 
 137  0.33  1.02  0.85 
 138  0.69  0.88  0.85 
 139  0.72  0.86  0.85 
 140  0.66  0.69  0.85 
 141  0.40  0.80  0.85 
 142  0.37  0.53  0.85 
 143  0.67  0.36  0.85 
 144  0.44  0.62  0.85 
 145  0.74  0.43  0.85 
 146  0.47  0.49  0.85 
 147  0.44  0.36  0.85 
 148  0.55  0.42  0.85 
 149  0.63  0.33  0.85 
 150  0.55  0.33  0.85 
 151  0.96  0.64  0.85 
 152  0.95  0.54  0.96 
 153  1.00  0.65  0.96 
 154  0.40  0.58  1.00 
 155  0.45  0.62  1.00 
 156  0.87  0.91  1.00 
 157  0.73  1.31  1.00 
 158  0.60  1.21  1.00 
