iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1365447044372559,0.00926608382847375,0.003228392882697127,0.014531413114918566,0.0061580227601025425,0.0,0.14706730794689468,0.1,0.03404688835144043,0.05309414863586426,0.055474985,0.8668241,0.00926608382847375,0.0,0.0001887821193303861,0.0,200,0.014670372009277344,36.670238310274925,10.910143592390867,200,0.007837221366242977,0.0
1,1.0168428421020508,0.010199618075242032,0.004272983245898307,0.0174917097217935,0.006684973521003253,0.0,0.14505300626310186,0.1,0.0027740001678466797,0.053125858306884766,0.048171725,0.844726,0.009359437253150579,0.0,0.00018412822963811547,0.0,200,0.015018463134765625,7.539654111934953,1.2438836938818774,400,0.008882525444479877,0.0
2,0.9928410053253174,0.009310539727086738,0.0018375026217570002,0.011777759329162541,0.0068966193200039345,0.0,0.1408942588031614,0.1,0.0026531219482421875,0.05188322067260742,0.050743803,1.0468292,0.009354547500544194,0.0,0.00018206218902216959,0.0,200,0.014514446258544922,1.6611823050252577,2.0428450141810415,600,0.00966572903659225,0.0
3,1.006498098373413,0.006066692931897437,0.0030084271148498733,0.010755932757030037,0.0026510180435352303,0.0,0.14070627411843895,0.1,0.002691030502319336,0.051752328872680664,0.05100985,1.0208184,0.00902576204367952,0.0,0.00011871585544938156,0.0,200,0.014295339584350586,4.805349411989792,1.949217764469197,800,0.009120042733260269,0.0
4,1.0003654956817627,0.016010968025159902,0.007978652565958633,0.029583637302664445,0.009459854340608299,0.0,0.146741417598728,0.1,0.002721071243286133,0.052047014236450195,0.047647957,1.1647286,0.009724282641827559,0.0,0.0003222692794372686,0.0,200,0.013857364654541016,0.9336357036216835,0.48943681682402934,1000,0.009694612068123656,0.0
5,1.0589237213134766,0.02102100868339771,0.012386548585289188,0.0419988700087877,0.010567977528914283,0.0,0.1491778974864397,0.1,0.0027320384979248047,0.05280327796936035,0.049015876,1.151564,0.010853955245984573,0.0,0.000409141590794211,0.0,200,0.013615846633911133,0.6824735408775771,0.5296753836463944,1200,0.008757790242525624,0.0
6,1.029097318649292,0.010345560405580552,0.0027203105101894867,0.013720049680305539,0.007226775085894815,0.0,0.14591523236150947,0.1,0.002678394317626953,0.05222129821777344,0.05046605,0.8222552,0.010803115761944171,0.0,0.00020662339882850274,0.0,200,0.013739347457885742,3.512531876870933,1.281598750143403,1400,0.009119328906890975,0.0
7,1.0273616313934326,0.01148873534286731,0.00877923752504182,0.025781733937027877,0.0025733188364711027,0.0,0.14407396250151208,0.1,0.0026335716247558594,0.05169510841369629,0.050616074,1.5723017,0.010871677720036485,0.0,0.00022919687464662225,0.0,200,0.014587879180908203,1.0783311746939568,0.8380275222195723,1600,0.009385372820066977,0.0
8,1.0947487354278564,0.020385356651098942,0.019404544326133925,0.05366812610947374,0.006596100857217816,0.0,0.1441992164066013,0.1,0.002596139907836914,0.051818132400512695,0.048995778,1.3547128,0.011823045613142732,0.0,0.00040674247723677736,0.0,200,0.01393747329711914,0.9586285695970967,0.6413737620886671,1800,0.010170576231689476,0.0
9,1.0991096496582031,0.02051451657091026,0.015572453092595374,0.047381959242047834,0.010374540406347207,0.0,0.1411997139131032,0.1,0.002565145492553711,0.05186653137207031,0.05124191,1.4567368,0.012692192708919485,0.0,0.00040772287081189504,0.0,200,0.013493776321411133,0.500291105230055,0.5626770299009485,2000,0.01224858714772062,0.0
