Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  2.25  3.17 -100000000.00 
   1  1.25  4.00  2.25 
   2  2.00  3.42  2.25 
   3  2.75  3.25  2.25 
   4  2.25  3.17  2.75 
   5  3.01  4.00  2.75 
   6  4.00  2.25  3.01 
   7  3.75  4.00  4.00 
   8  2.50  3.92  4.00 
   9  4.00  4.00  4.00 
  10  1.75  4.17  4.00 
  11  4.00  3.17  4.00 
  12  3.50  3.34  4.00 
  13  2.50  3.84  4.00 
  14  4.00  3.76  4.00 
  15  4.00  3.50  4.00 
  16  2.76  3.76  4.00 
  17  3.00  3.34  4.00 
  18  3.00  3.59  4.00 
  19  4.00  3.51  4.00 
  20  3.25  3.93  4.00 
  21  4.01  3.59  4.00 
  22  2.50  2.26  4.01 
  23  1.76  3.42  4.01 
  24  3.75  3.42  4.01 
  25  3.25  3.18  4.01 
  26  4.00  3.60  4.01 
  27  2.50  3.51  4.01 
  28  3.50  3.59  4.01 
  29  3.01  3.17  4.01 
  30  2.50  3.68  4.01 
  31  3.77  3.43  4.01 
  32  4.01  3.76  4.01 
  33  4.04  3.51  4.01 
  34  3.75  3.42  4.04 
  35  3.75  3.51  4.04 
  36  3.50  3.59  4.04 
  37  4.01  3.18  4.04 
  38  4.04  3.69  4.04 
  39  3.50  3.50  4.04 
  40  4.02  3.09  4.04 
  41  4.00  3.59  4.04 
  42  2.75  4.03  4.04 
  43  3.01  3.67  4.04 
  44  4.16  3.84  4.04 
  45  3.25  4.02  4.16 
  46  4.00  3.44  4.16 
  47  4.01  3.43  4.16 
  48  3.00  3.43  4.16 
  49  2.51  3.77  4.16 
  50  2.00  3.25  4.16 
  51  4.00  3.52  4.16 
  52  3.50  2.84  4.16 
  53  4.00  3.93  4.16 
  54  3.25  3.51  4.16 
  55  2.50  3.93  4.16 
  56  3.75  3.17  4.16 
  57  4.01  4.01  4.16 
  58  1.75  3.42  4.16 
  59  4.00  4.01  4.16 
  60  4.00  3.60  4.16 
  61  4.00  3.76  4.16 
  62  3.00  3.42  4.16 
  63  4.00  3.59  4.16 
  64  4.00  3.76  4.16 
  65  3.00  3.67  4.16 
  66  2.75  3.42  4.16 
  67  4.02  3.42  4.16 
  68  4.00  3.76  4.16 
  69  4.00  4.01  4.16 
  70  3.75  3.09  4.16 
  71  4.01  3.76  4.16 
  72  3.00  3.42  4.16 
  73  3.31  3.67  4.16 
  74  3.00  3.09  4.16 
  75  3.52  3.68  4.16 
  76  2.82  3.18  4.16 
  77  2.75  3.77  4.16 
  78  3.51  3.69  4.16 
  79  4.01  3.02  4.16 
  80  4.01  3.95  4.16 
  81  3.76  3.93  4.16 
  82  4.02  3.77  4.16 
  83  3.27  2.84  4.16 
  84  3.00  3.60  4.16 
  85  2.75  3.35  4.16 
  86  4.01  4.02  4.16 
  87  3.81  3.52  4.16 
  88  4.02  3.68  4.16 
  89  3.02  2.92  4.16 
  90  2.00  4.02  4.16 
  91  2.75  3.52  4.16 
  92  2.75  3.53  4.16 
  93  4.02  3.02  4.16 
  94  3.75  3.76  4.16 
  95  4.00  4.03  4.16 
  96  4.02  3.59  4.16 
  97  4.00  3.60  4.16 
  98  4.00  3.51  4.16 
  99  4.00  3.26  4.16 
 100  2.52  3.59  4.16 
 101  3.26  4.02  4.16 
 102  4.02  3.68  4.16 
 103  3.25  3.60  4.16 
 104  4.00  4.02  4.16 
 105  4.02  3.67  4.16 
 106  4.01  4.02  4.16 
 107  4.00  3.85  4.16 
 108  4.00  3.43  4.16 
 109  4.01  3.18  4.16 
