iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2745342254638672,0.015151986644054519,0.007379925450396334,0.02663453661062332,0.007579886405363321,0.0,0.14598185201938688,0.1,0.13750648498535156,1.3739099502563477,0.053273775,0.97691566,0.015151986644054519,0.0,0.00030258264045500497,0.0,200,0.08626103401184082,122.4291222973929,12.350492872084919,200,0.013823587701308723,0.0
1,1.1571972370147705,0.016816921342388,0.0051655088335274685,0.024913865589254184,0.011537898373923957,0.0,0.14146360293071578,0.1,0.023543119430541992,0.16546177864074707,0.04758833,0.59478855,0.015318480113887867,0.0,0.00032626968280856323,0.0,200,0.040636539459228516,11.144311313016992,5.462384085971211,400,0.01325391593266865,0.0
2,1.1773724555969238,0.008772808958473936,0.006221323835489359,0.01903094934557481,0.0036553071157987014,0.0,0.16603863161282892,0.1,0.0054302215576171875,0.06142592430114746,0.06515294,0.7996001,0.014663912998346474,0.0,0.00017367857510395822,0.0,200,0.05245542526245117,23.60762568897218,25.511304800552544,600,0.012786630683717692,0.0
3,1.2181625366210938,0.033032221711859766,0.020859681014184606,0.0681660831356149,0.013784831977881452,0.0,0.1443502916631183,0.1,0.003007173538208008,0.0746464729309082,0.05373825,0.9540894,0.016500743869697805,0.0,0.0006587780069092589,0.0,200,0.09235787391662598,0.7489185422621678,0.5071539837509706,800,0.018298889982225734,0.0
4,1.2247028350830078,0.03207117706459611,0.021919071962382537,0.06873633055019507,0.013493546116593074,0.0,0.14707254865274746,0.1,0.09621334075927734,0.7952263355255127,0.047907643,0.9607448,0.018057787189187637,0.0,0.0006409616465174665,0.0,200,0.09671783447265625,0.5722595208298923,0.6506178955648314,1000,0.022410655737701127,0.0
5,1.158390760421753,0.024486250527262613,0.012186019663109655,0.037410620732950796,0.012311296701302177,0.0,0.14872532501013278,0.1,0.10080957412719727,0.09268426895141602,0.05244356,0.90690035,0.018700633522995135,0.0,0.0004781145353374242,0.0,200,0.04881739616394043,0.5844082730480741,0.6678604319908021,1200,0.02879242768766048,0.0
6,1.2432663440704346,0.023192347927507972,0.01715567091497974,0.04064856698887541,0.004113094505344675,0.0,0.15105622509827715,0.1,0.03988766670227051,0.27750182151794434,0.052206106,0.89573455,0.01914980496344642,0.0,0.0004619272681187142,0.0,200,0.027179718017578125,0.7493683290619443,0.6808189057992723,1400,0.029193769382241958,0.0
7,1.2202472686767578,0.0165510454298865,0.006777387811518885,0.02735009048185758,0.010672052559770863,0.0,0.14757228772953043,0.1,0.004964590072631836,0.1127922534942627,0.04844511,0.7327551,0.018889929010090428,0.0,0.000319012250970849,0.0,200,0.05733442306518555,0.4492238839616209,0.377117094232382,1600,0.0317949177013171,0.0
8,1.2063984870910645,0.040199355436993364,0.04115720512000825,0.1068736339533131,0.003816304668667679,0.0,0.13932904517572503,0.1,0.00645136833190918,0.0551450252532959,0.052456893,2.256332,0.021020871652780725,0.0,0.0008027192540926464,0.0,200,0.04549264907836914,0.7512197952303497,0.6486243900545643,1800,0.04411675151032834,0.0
9,1.1722824573516846,0.021910737254125717,0.022046763245739252,0.059089664195320475,0.0015430431720586254,0.0,0.14796437275529029,0.1,0.005118846893310547,0.09251856803894043,0.05231606,1.1343876,0.021109858212915226,0.0,0.00043134221339791244,0.0,200,0.08850741386413574,0.6928724195208277,0.7791379065902598,2000,0.04231085674599571,0.0
