Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.02  0.01 -100000000.00 
   1  0.02  0.01  0.02 
   2  0.01  0.01  0.02 
   3  0.03  0.02  0.02 
   4  0.03  0.02  0.03 
   5  0.02  0.03  0.03 
   6  0.02  0.03  0.03 
   7  0.02  0.03  0.03 
   8  0.04  0.04  0.03 
   9  0.02  0.04  0.04 
  10  0.04  0.04  0.04 
  11  0.04  0.05  0.04 
  12  0.06  0.07  0.04 
  13  0.02  0.09  0.06 
  14  0.15  0.08  0.06 
  15  0.06  0.08  0.15 
  16  0.07  0.11  0.15 
  17  0.07  0.11  0.15 
  18  0.23  0.10  0.15 
  19  0.09  0.10  0.23 
  20  0.06  0.10  0.23 
  21  0.12  0.15  0.23 
  22  0.16  0.19  0.23 
  23  0.34  0.19  0.23 
  24  0.13  0.20  0.34 
  25  0.05  0.19  0.34 
  26  0.06  0.25  0.34 
  27  0.06  0.30  0.34 
  28  0.13  0.61  0.34 
  29  0.35  0.99  0.34 
  30  0.35  1.07  0.35 
  31  0.10  1.08  0.35 
  32  0.19  1.08  0.35 
  33  0.22  1.07  0.35 
  34  0.16  0.95  0.35 
  35  0.23  1.04  0.35 
  36  0.32  1.02  0.35 
  37  0.11  0.58  0.35 
  38  0.17  0.81  0.35 
  39  0.30  0.50  0.35 
  40  0.12  0.62  0.35 
  41  0.18  0.56  0.35 
  42  0.39  0.69  0.35 
  43  0.66  0.55  0.39 
  44  0.23  0.50  0.66 
  45  0.33  0.44  0.66 
  46  0.41  0.60  0.66 
  47  0.47  0.73  0.66 
  48  0.38  1.10  0.66 
  49  0.31  1.15  0.66 
  50  0.29  1.51  0.66 
  51  0.28  1.62  0.66 
  52  0.28  1.29  0.66 
  53  0.52  0.79  0.66 
  54  0.55  0.46  0.66 
  55  0.36  0.56  0.66 
  56  0.25  0.49  0.66 
  57  0.59  0.43  0.66 
  58  0.32  0.59  0.66 
  59  0.43  0.27  0.66 
  60  0.17  0.84  0.66 
  61  0.76  0.37  0.66 
  62  0.47  0.15  0.76 
  63  0.53  0.22  0.76 
  64  0.32  0.25  0.76 
  65  0.68  0.42  0.76 
  66  0.51  0.51  0.76 
  67  0.35  0.10  0.76 
  68  0.30  0.53  0.76 
  69  0.67  0.62  0.76 
  70  0.44  0.66  0.76 
  71  0.61  0.42  0.76 
  72  0.63  0.39  0.76 
  73  0.40  0.28  0.76 
  74  0.68  0.48  0.76 
  75  0.34  0.44  0.76 
  76  0.70  0.45  0.76 
  77  0.24  0.33  0.76 
  78  0.54  0.25  0.76 
  79  0.58  0.29  0.76 
  80  0.68  0.87  0.76 
  81  0.67  0.78  0.76 
  82  0.57  0.67  0.76 
  83  0.54  0.66  0.76 
  84  0.82  0.76  0.76 
  85  0.38  0.74  0.82 
  86  0.65  0.66  0.82 
  87  0.47  0.65  0.82 
  88  0.67  0.60  0.82 
  89  0.49  0.91  0.82 
  90  0.74  0.91  0.82 
  91  0.49  1.11  0.82 
  92  1.13  1.10  0.82 
  93  0.31  0.68  1.13 
  94  0.64  0.58  1.13 
  95  0.52  0.31  1.13 
  96  0.87  0.34  1.13 
  97  0.77  0.25  1.13 
  98  0.72  0.13  1.13 
  99  0.39  0.04  1.13 
 100  0.42  0.15  1.13 
 101  0.56  0.11  1.13 
 102  0.60  0.21  1.13 
 103  0.59  0.93  1.13 
 104  0.82  0.58  1.13 
 105  0.82  0.05  1.13 
 106  0.93  0.04  1.13 
 107  0.41  0.26  1.13 
 108  0.61  0.07  1.13 
 109  0.68  0.03  1.13 
 110  0.95  0.03  1.13 
 111  0.96  0.05  1.13 
 112  0.40  0.03  1.13 
 113  0.84  0.04  1.13 
 114  1.40  0.14  1.13 
 115  0.58  0.12  1.40 
 116  0.80  0.03  1.40 
 117  0.57  0.03  1.40 
 118  0.65  0.02  1.40 
 119  0.57  0.02  1.40 
 120  1.08  0.05  1.40 
 121  0.71  0.03  1.40 
 122  0.77  0.06  1.40 
 123  0.76  0.16  1.40 
 124  0.83  0.14  1.40 
 125  0.54  0.19  1.40 
 126  0.77  0.18  1.40 
 127  1.07  0.45  1.40 
 128  0.65  0.56  1.40 
 129  1.03  0.55  1.40 
 130  1.05  0.53  1.40 
 131  0.64  0.42  1.40 
 132  0.72  0.54  1.40 
 133  0.84  0.46  1.40 
 134  0.76  0.36  1.40 
 135  0.35  0.09  1.40 
 136  0.45  0.17  1.40 
 137  0.41  0.37  1.40 
 138  1.10  0.33  1.40 
 139  0.82  0.44  1.40 
 140  0.74  0.33  1.40 
 141  0.67  0.46  1.40 
 142  0.44  0.66  1.40 
 143  0.73  0.51  1.40 
 144  1.00  0.13  1.40 
 145  1.13  0.18  1.40 
 146  0.63  0.20  1.40 
 147  0.27  0.14  1.40 
 148  0.92  0.23  1.40 
 149  0.88  0.35  1.40 
 150  0.48  0.22  1.40 
 151  0.49  0.60  1.40 
 152  0.55  1.06  1.40 
 153  0.72  0.89  1.40 
 154  0.62  0.92  1.40 
 155  0.86  0.91  1.40 
 156  0.56  1.13  1.40 
 157  1.16  1.01  1.40 
 158  0.34  1.19  1.40 
 159  0.87  1.17  1.40 
 160  1.28  0.97  1.40 
 161  0.75  0.54  1.40 
 162  0.34  0.20  1.40 
 163  0.96  0.37  1.40 
 164  1.23  0.45  1.40 
 165  1.41  0.50  1.40 
 166  0.59  0.49  1.41 
 167  0.84  0.43  1.41 
 168  0.51  0.39  1.41 
 169  1.14  1.19  1.41 
 170  0.62  0.87  1.41 
 171  0.73  0.45  1.41 
 172  0.69  0.73  1.41 
 173  0.80  0.62  1.41 
 174  0.34  0.56  1.41 
 175  0.98  0.80  1.41 
 176  0.60  2.21  1.41 
 177  0.76  1.74  1.41 
 178  0.87  1.12  1.41 
 179  1.21  1.70  1.41 
 180  0.76  0.66  1.41 
 181  0.78  0.76  1.41 
 182  0.83  1.27  1.41 
 183  0.90  1.46  1.41 
 184  0.49  0.76  1.41 
 185  0.89  1.05  1.41 
 186  0.90  1.13  1.41 
 187  1.14  0.71  1.41 
 188  0.70  1.78  1.41 
 189  0.58  0.99  1.41 
 190  0.80  1.18  1.41 
 191  0.88  1.52  1.41 
 192  0.41  1.43  1.41 
 193  1.03  1.61  1.41 
 194  0.88  1.59  1.41 
 195  0.78  0.75  1.41 
 196  0.84  1.07  1.41 
 197  0.70  1.47  1.41 
 198  0.72  0.63  1.41 
 199  0.69  1.33  1.41 
 200  0.62  1.21  1.41 
 201  1.11  0.51  1.41 
 202  0.57  0.25  1.41 
 203  0.91  0.39  1.41 
 204  0.49  0.33  1.41 
 205  0.94  0.31  1.41 
 206  0.72  0.44  1.41 
 207  0.90  0.75  1.41 
 208  0.63  1.79  1.41 
 209  0.49  1.78  1.41 
 210  0.76  1.19  1.41 
 211  0.93  0.91  1.41 
 212  0.55  1.15  1.41 
 213  0.83  0.57  1.41 
 214  1.00  0.52  1.41 
 215  0.69  0.54  1.41 
 216  1.12  0.30  1.41 
 217  0.28  0.64  1.41 
 218  0.86  0.75  1.41 
 219  0.74  0.53  1.41 
 220  0.87  0.74  1.41 
 221  0.82  1.12  1.41 
 222  1.08  1.01  1.41 
 223  0.79  1.27  1.41 
 224  0.78  1.04  1.41 
 225  0.58  0.93  1.41 
 226  1.18  1.11  1.41 
 227  0.59  0.07  1.41 
 228  0.65  1.59  1.41 
 229  0.36  1.24  1.41 
 230  0.62  0.30  1.41 
 231  1.17  0.04  1.41 
 232  0.72  0.04  1.41 
 233  0.86  0.07  1.41 
 234  1.00  0.05  1.41 
 235  0.96  0.07  1.41 
 236  1.03  0.04  1.41 
 237  0.82  0.01  1.41 
 238  0.59  0.03  1.41 
 239  1.54  0.06  1.41 
 240  1.16  0.03  1.54 
 241  0.62  0.04  1.54 
 242  0.81  0.03  1.54 
 243  1.33  0.03  1.54 
 244  0.85  0.04  1.54 
 245  0.97  0.06  1.54 
 246  0.89  0.02  1.54 
 247  0.92  0.03  1.54 
 248  0.70  0.08  1.54 
 249  1.03  0.03  1.54 
 250  1.19  0.02  1.54 
 251  0.68  0.03  1.54 
 252  1.04  0.33  1.54 
 253  1.15  0.02  1.54 
 254  0.57  1.29  1.54 
 255  0.80  1.01  1.54 
 256  1.27  1.48  1.54 
 257  0.66  0.98  1.54 
 258  0.81  1.37  1.54 
 259  1.07  1.50  1.54 
 260  1.10  1.12  1.54 
 261  0.89  1.08  1.54 
 262  0.98  0.95  1.54 
 263  0.85  0.35  1.54 
 264  1.16  0.88  1.54 
 265  1.24  0.87  1.54 
 266  1.35  1.76  1.54 
 267  0.74  0.05  1.54 
 268  0.97  0.67  1.54 
 269  0.94  1.10  1.54 
 270  1.11  1.34  1.54 
 271  1.36  1.12  1.54 
 272  1.24  1.48  1.54 
 273  0.50  1.44  1.54 
 274  1.00  1.81  1.54 
 275  0.68  1.78  1.54 
 276  1.11  1.81  1.54 
 277  0.83  1.21  1.54 
 278  0.99  1.00  1.54 
 279  0.64  1.12  1.54 
 280  1.59  1.10  1.54 
 281  1.23  1.50  1.59 
 282  0.96  1.27  1.59 
 283  0.96  1.73  1.59 
 284  1.80  1.48  1.59 
 285  1.50  1.24  1.80 
 286  0.74  0.79  1.80 
 287  1.33  1.10  1.80 
 288  0.92  1.02  1.80 
 289  0.79  1.11  1.80 
 290  1.06  0.76  1.80 
 291  1.01  1.90  1.80 
 292  1.24  1.74  1.80 
 293  1.31  1.57  1.80 
 294  0.94  1.21  1.80 
 295  1.36  1.39  1.80 
 296  1.30  1.38  1.80 
 297  1.87  1.33  1.80 
 298  0.66  1.32  1.87 
