iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.265841007232666,0.05340351443768453,0.011559838928820508,0.06544667113242836,0.035848680260353226,0.0,0.14405430166668368,0.1,0.05751156806945801,0.05638551712036133,0.04926968,1.1342342,0.05340351443768453,0.0,0.0010495707862864575,0.0,200,0.03681230545043945,3.750803554563589,0.9043173440244329,200,0.046132363233618946,0.0
1,1.033700704574585,0.04087158695038,0.013802032287899573,0.061458701636959184,0.026026676979592715,0.0,0.14273224344281527,0.1,0.0028023719787597656,0.053069353103637695,0.051739782,1.2427973,0.052150321688954074,0.0,0.0007739491927042965,0.0,200,0.014340639114379883,1.5311607374683938,0.43479743122798953,400,0.03882887388894747,0.0
2,1.0151629447937012,0.029856512233442496,0.012023429413682271,0.047806114875370884,0.014307243349232047,0.0,0.16142447354512793,0.1,0.002701997756958008,0.05218362808227539,0.05407483,0.9771498,0.04992094074340292,0.0,0.0005947987496943782,0.0,200,0.014119625091552734,1.3802757092321574,0.7245048372033484,600,0.03253660026264272,0.0
3,0.9875533580780029,0.05410151709683346,0.0263004714089852,0.09622428888097255,0.023777559820900376,0.0,0.1521198753379502,0.1,0.002800464630126953,0.052548885345458984,0.04900913,0.983495,0.050338998378745975,0.0,0.0010816744800936186,0.0,200,0.015223979949951172,0.8802465511190127,0.6749731303256392,800,0.040529404263477085,0.0
4,1.10239577293396,0.07608823313254297,0.023300091571068982,0.11499503807008188,0.054381622798916555,0.0,0.1565911522190161,0.1,0.002696514129638672,0.052268028259277344,0.048888654,0.90412354,0.052913921854125676,0.0,0.0015127171753916454,0.0,200,0.014697551727294922,0.6748972822943321,0.26303230840760433,1000,0.045615774231169054,0.0
5,1.112339735031128,0.05704322007072203,0.014453843432953653,0.07566253116911645,0.03774485266815826,0.0,0.14639606082307458,0.1,0.0026276111602783203,0.05262112617492676,0.04938532,1.0107641,0.05332685167578531,0.0,0.0011213883333928754,0.0,200,0.014388799667358398,0.27714884167708664,0.4935670672739719,1200,0.050922377711378815,0.0
6,1.1232118606567383,0.06296776948883659,0.04085067968158466,0.12349119679429488,0.019157426074517314,0.0,0.15589130272449148,0.1,0.003309011459350586,0.0674288272857666,0.048943922,0.9384584,0.05429094345709044,0.0,0.0012750871401655118,0.0,200,0.015747785568237305,0.5734007678457775,0.48291523902257716,1400,0.07438262522379725,0.0
7,1.2126400470733643,0.04797323206396159,0.02453856010423874,0.08820704632577221,0.02641453040030964,0.0,0.15056499622118324,0.1,0.0028696060180664062,0.05378890037536621,0.048345346,0.91679496,0.05365917231777756,0.0,0.000964151904185276,0.0,200,0.015192270278930664,0.6097757907676302,0.35406279555595077,1600,0.10814010793412344,0.0
8,1.0632455348968506,0.08284123058099772,0.0908417584608624,0.23988203265646568,0.02440250403503708,0.0,0.14658335632244748,0.1,0.0026628971099853516,0.05601763725280762,0.051552963,1.6398101,0.05657737814409958,0.0,0.001658785906268753,0.0,200,0.01531362533569336,0.6901643901173314,0.6995868672341005,1800,0.19995298942410464,0.0
9,1.1206614971160889,0.0780611944216147,0.04039124768450056,0.12626211853390207,0.028304260881289425,0.0,0.14816984996339472,0.1,0.0026531219482421875,0.05238461494445801,0.051176157,1.0520996,0.058725759771851085,0.0,0.0015498241032998283,0.0,200,0.014223098754882812,0.4658034932629578,0.34721877710539883,2000,0.1971604518080927,0.0
