Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.04 -100000000.00 
   1  0.04  0.04  0.04 
   2  0.03  0.03  0.04 
   3  0.07  0.04  0.04 
   4  0.06  0.05  0.07 
   5  0.05  0.05  0.07 
   6  0.04  0.06  0.07 
   7  0.05  0.08  0.07 
   8  0.10  0.10  0.07 
   9  0.06  0.10  0.10 
  10  0.11  0.10  0.10 
  11  0.08  0.08  0.11 
  12  0.10  0.10  0.11 
  13  0.05  0.12  0.11 
  14  0.21  0.12  0.11 
  15  0.10  0.14  0.21 
  16  0.11  0.14  0.21 
  17  0.16  0.16  0.21 
  18  0.21  0.16  0.21 
  19  0.14  0.19  0.21 
  20  0.18  0.21  0.21 
  21  0.23  0.34  0.21 
  22  0.36  0.41  0.23 
  23  0.41  0.43  0.36 
  24  0.21  0.35  0.41 
  25  0.08  0.54  0.41 
  26  0.09  0.68  0.41 
  27  0.22  0.80  0.41 
  28  0.15  0.58  0.41 
  29  0.26  0.75  0.41 
  30  0.44  0.69  0.41 
  31  0.16  0.57  0.44 
  32  0.22  0.83  0.44 
  33  0.51  0.96  0.44 
  34  0.26  0.76  0.51 
  35  0.28  0.77  0.51 
  36  0.40  0.57  0.51 
  37  0.18  0.47  0.51 
  38  0.34  1.43  0.51 
  39  0.43  1.65  0.51 
  40  0.34  1.08  0.51 
  41  0.27  1.07  0.51 
  42  0.48  1.09  0.51 
  43  1.01  1.44  0.51 
  44  0.34  1.00  1.01 
  45  0.39  0.82  1.01 
  46  0.34  0.86  1.01 
  47  0.21  0.81  1.01 
  48  0.53  1.83  1.01 
  49  0.76  2.04  1.01 
  50  0.67  2.78  1.01 
  51  0.51  1.62  1.01 
  52  0.61  2.39  1.01 
  53  0.59  0.40  1.01 
  54  0.62  0.49  1.01 
  55  0.65  2.57  1.01 
  56  0.70  0.84  1.01 
  57  0.48  1.30  1.01 
  58  0.51  1.34  1.01 
  59  0.61  0.31  1.01 
  60  0.36  0.54  1.01 
  61  0.90  0.62  1.01 
  62  0.43  0.44  1.01 
  63  0.37  1.54  1.01 
  64  0.23  1.60  1.01 
  65  0.47  1.89  1.01 
  66  0.61  1.16  1.01 
  67  0.37  1.28  1.01 
  68  0.80  1.40  1.01 
  69  0.47  0.87  1.01 
  70  0.53  2.13  1.01 
  71  0.66  1.82  1.01 
  72  0.83  2.52  1.01 
  73  0.33  1.50  1.01 
  74  0.78  1.70  1.01 
  75  0.29  1.64  1.01 
  76  0.51  1.53  1.01 
  77  0.61  1.40  1.01 
  78  0.80  1.37  1.01 
  79  0.57  1.84  1.01 
  80  0.55  1.65  1.01 
  81  0.65  2.18  1.01 
  82  0.69  2.34  1.01 
  83  0.51  1.94  1.01 
  84  1.14  2.16  1.01 
  85  0.46  1.78  1.14 
  86  0.62  1.70  1.14 
  87  0.56  1.43  1.14 
  88  0.35  1.40  1.14 
  89  0.69  0.77  1.14 
  90  1.06  1.19  1.14 
  91  0.77  0.75  1.14 
  92  0.92  0.67  1.14 
  93  0.65  0.60  1.14 
  94  0.70  0.75  1.14 
  95  0.46  0.56  1.14 
  96  0.62  0.66  1.14 
  97  0.94  0.75  1.14 
  98  1.01  1.01  1.14 
  99  0.78  1.39  1.14 
 100  0.45  1.85  1.14 
 101  0.70  1.20  1.14 
 102  1.09  0.87  1.14 
 103  1.32  0.62  1.14 
 104  0.49  1.45  1.32 
 105  0.93  1.58  1.32 
 106  0.95  1.41  1.32 
 107  1.01  1.95  1.32 
 108  0.87  1.77  1.32 
 109  1.00  2.22  1.32 
 110  0.67  2.14  1.32 
 111  1.01  1.83  1.32 
 112  0.41  1.51  1.32 
 113  1.38  1.30  1.32 
 114  1.04  1.29  1.38 
 115  0.54  1.19  1.38 
 116  0.81  1.24  1.38 
 117  1.04  0.92  1.38 
 118  0.59  1.19  1.38 
 119  1.27  1.52  1.38 
 120  1.01  0.94  1.38 
 121  1.14  0.18  1.38 
 122  0.79  0.17  1.38 
 123  1.56  0.16  1.38 
 124  1.12  0.21  1.56 
 125  0.77  0.17  1.56 
 126  1.11  0.24  1.56 
 127  1.93  1.32  1.56 
 128  0.79  1.02  1.93 
 129  1.57  1.29  1.93 
 130  0.77  2.06  1.93 
 131  1.11  0.25  1.93 
 132  0.40  0.28  1.93 
 133  1.04  0.51  1.93 
 134  0.87  0.81  1.93 
 135  0.75  1.59  1.93 
 136  1.65  1.32  1.93 
 137  1.04  0.81  1.93 
 138  2.09  1.92  1.93 
 139  1.41  2.32  2.09 
 140  0.98  2.33  2.09 
 141  0.76  0.52  2.09 
 142  0.86  1.49  2.09 
 143  1.38  0.50  2.09 
 144  1.16  0.86  2.09 
 145  1.29  1.20  2.09 
 146  0.53  0.10  2.09 
 147  1.13  0.25  2.09 
 148  1.07  0.27  2.09 
 149  1.30  1.49  2.09 
 150  0.63  1.36  2.09 
 151  2.08  1.27  2.09 
 152  1.64  1.03  2.09 
 153  1.09  0.72  2.09 
 154  1.44  0.30  2.09 
 155  1.16  0.43  2.09 
 156  1.18  0.87  2.09 
 157  2.45  0.24  2.09 
 158  0.67  0.21  2.45 
 159  1.67  0.21  2.45 
 160  1.64  0.23  2.45 
 161  2.09  0.14  2.45 
 162  1.58  0.06  2.45 
 163  2.62  0.11  2.45 
 164  1.90  0.12  2.62 
 165  1.84  0.15  2.62 
 166  0.91  0.20  2.62 
 167  0.66  0.26  2.62 
 168  1.39  0.27  2.62 
 169  2.53  0.29  2.62 
 170  0.73  0.52  2.62 
 171  1.79  0.29  2.62 
 172  1.48  0.29  2.62 
 173  1.19  0.13  2.62 
 174  0.96  0.15  2.62 
 175  1.56  0.15  2.62 
 176  2.31  0.19  2.62 
 177  1.18  0.15  2.62 
 178  0.92  0.19  2.62 
 179  2.61  0.18  2.62 
 180  1.45  0.13  2.62 
 181  1.19  0.13  2.62 
 182  1.13  0.42  2.62 
 183  1.64  0.26  2.62 
 184  1.16  0.28  2.62 
 185  1.19  1.08  2.62 
 186  1.57  0.44  2.62 
 187  2.16  0.46  2.62 
 188  1.47  0.40  2.62 
 189  1.12  0.20  2.62 
 190  0.80  0.65  2.62 
 191  0.87  0.77  2.62 
 192  1.35  0.61  2.62 
 193  1.10  1.12  2.62 
 194  1.99  0.73  2.62 
 195  1.27  0.85  2.62 
 196  1.38  0.27  2.62 
 197  1.36  0.33  2.62 
 198  0.64  0.37  2.62 
 199  2.12  1.08  2.62 
 200  0.90  0.39  2.62 
 201  2.02  0.28  2.62 
 202  0.90  0.52  2.62 
 203  1.77  0.56  2.62 
 204  1.06  0.28  2.62 
 205  1.85  0.25  2.62 
 206  1.69  0.72  2.62 
 207  1.45  3.28  2.62 
 208  0.44  1.34  2.62 
 209  1.66  2.83  2.62 
 210  1.36  1.73  2.62 
 211  1.04  0.24  2.62 
 212  0.86  0.19  2.62 
 213  1.07  0.19  2.62 
 214  0.80  0.45  2.62 
 215  1.24  1.10  2.62 
 216  1.60  0.72  2.62 
 217  1.45  0.55  2.62 
