Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.04  0.02 -100000000.00 
   1  0.03  0.02  0.04 
   2  0.02  0.02  0.04 
   3  0.08  0.04  0.04 
   4  0.07  0.04  0.08 
   5  0.04  0.07  0.08 
   6  0.04  0.10  0.08 
   7  0.03  0.20  0.08 
   8  0.18  0.18  0.08 
   9  0.05  0.12  0.18 
  10  0.09  0.13  0.18 
  11  0.10  0.19  0.18 
  12  0.21  0.23  0.18 
  13  0.07  0.20  0.21 
  14  0.14  0.17  0.21 
  15  0.06  0.05  0.21 
  16  0.12  0.22  0.21 
  17  0.17  0.08  0.21 
  18  0.14  0.08  0.21 
  19  0.15  0.18  0.21 
  20  0.09  0.19  0.21 
  21  0.16  0.63  0.21 
  22  0.23  0.33  0.21 
  23  0.29  0.29  0.23 
  24  0.14  0.27  0.29 
  25  0.09  0.54  0.29 
  26  0.16  1.09  0.29 
  27  0.12  1.05  0.29 
  28  0.19  0.88  0.29 
  29  0.25  0.70  0.29 
  30  0.29  0.96  0.29 
  31  0.14  0.81  0.29 
  32  0.19  0.91  0.29 
  33  0.20  1.03  0.29 
  34  0.25  0.96  0.29 
  35  0.17  0.83  0.29 
  36  0.13  0.57  0.29 
  37  0.12  0.35  0.29 
  38  0.32  0.32  0.29 
  39  0.41  0.36  0.32 
  40  0.22  0.69  0.41 
  41  0.49  0.38  0.41 
  42  0.40  0.58  0.49 
  43  0.31  0.87  0.49 
  44  0.47  0.87  0.49 
  45  0.52  1.61  0.49 
  46  0.20  1.75  0.52 
  47  0.45  1.88  0.52 
  48  0.30  1.08  0.52 
  49  0.43  2.06  0.52 
  50  0.44  1.94  0.52 
  51  0.40  1.12  0.52 
  52  0.77  0.63  0.52 
  53  0.32  0.54  0.77 
  54  0.59  1.08  0.77 
  55  0.40  1.17  0.77 
  56  0.24  0.67  0.77 
  57  0.47  0.60  0.77 
  58  0.51  1.10  0.77 
  59  0.38  0.72  0.77 
  60  0.31  0.53  0.77 
  61  0.64  0.45  0.77 
  62  0.63  0.49  0.77 
  63  0.52  0.47  0.77 
  64  0.40  0.48  0.77 
  65  0.40  0.53  0.77 
  66  0.88  0.51  0.77 
  67  0.29  0.43  0.88 
  68  0.32  0.26  0.88 
  69  0.38  0.24  0.88 
  70  0.58  0.19  0.88 
  71  0.58  0.16  0.88 
  72  0.55  0.13  0.88 
  73  0.46  0.14  0.88 
  74  0.53  0.15  0.88 
