iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1717529296875,0.11464314300848634,0.04840029770090078,0.19685643747478374,0.07327596333427044,0.0,0.14129674622458852,0.1,0.06624627113342285,0.05493593215942383,0.051578075,0.9802285,0.11464314300848634,0.0,0.0025238204474033023,0.0,200,0.018609046936035156,4.7267510313136505,1.551704312228435,200,0.1314609707822362,0.0
1,1.0878100395202637,0.1450068511108462,0.034148589037113056,0.2021492643975035,0.11180970467878978,0.0,0.15080399630799926,0.1,0.0029611587524414062,0.05653023719787598,0.05543231,0.84535277,0.11767951381872234,0.0,0.0028107639073014935,0.0,200,0.029950857162475586,1.5078722257164208,0.2534659358819876,400,0.12413880941978721,0.0
2,1.1498322486877441,0.11093062298396286,0.05498806808375067,0.20051798330388712,0.054130682751976265,0.0,0.1518544998958737,0.1,0.003048419952392578,0.059439897537231445,0.05294531,1.0046756,0.1170046247352464,0.0,0.0022217775024950697,0.0,200,0.01481938362121582,0.2947651667553996,0.717526732409705,600,0.12764310185598413,0.0
3,1.1503565311431885,0.15185902746177965,0.05034902056858114,0.23319470765773292,0.10372976460728557,0.0,0.13668357344030357,0.1,0.002880573272705078,0.05663776397705078,0.05181295,0.7722733,0.12049006500789973,0.0,0.0030317067066445553,0.0,200,0.014158487319946289,0.37853211524024377,0.3412796670055845,800,0.13241636495770917,0.0
4,1.1526753902435303,0.11630391908439155,0.03608452438735858,0.1582905982279972,0.06229357680332968,0.0,0.1375159452368652,0.1,0.0030257701873779297,0.05528092384338379,0.051384386,0.96096987,0.12007145041554892,0.0,0.0023123369684577002,0.0,200,0.014678955078125,0.5850693820878422,0.2837281523501264,1000,0.1282367286200076,0.0
5,1.1978857517242432,0.10634064371410434,0.03414558578698539,0.15957976501933435,0.07456209666632281,0.0,0.14224676904213363,0.1,0.0028257369995117188,0.05454611778259277,0.053181704,1.2134677,0.11869836974540446,0.0,0.0021383675230182727,0.0,200,0.014393329620361328,0.3378167540006948,0.2401149016624323,1200,0.1275722413671703,0.0
6,1.196413278579712,0.13131430206886333,0.018794112113608756,0.1577766458732134,0.11213444343412352,0.0,0.14549025338936553,0.1,0.0028183460235595703,0.05476856231689453,0.053088535,1.2639343,0.11995996297775036,0.0,0.0026212331141211155,0.0,200,0.014472007751464844,0.2811847092644282,0.3410715286638492,1400,0.17967245257717815,0.0
7,1.1626181602478027,0.13216920127582055,0.018632887914053892,0.15768219166243336,0.11121136502079462,0.0,0.1377519384459763,0.1,0.003084897994995117,0.06250858306884766,0.047937155,2.6397595,0.12118088680755737,0.0,0.00275969542844008,0.0,200,0.01425933837890625,0.28119065698489715,0.22927948596734768,1600,0.177276632870793,0.0
8,1.1971080303192139,0.21284978067674812,0.14972420142431944,0.4515259098069837,0.08451752204667026,0.0,0.1405630187819871,0.1,0.0028264522552490234,0.06306767463684082,0.04905885,1.4432431,0.13034777619447646,0.0,0.004257362336218273,0.0,200,0.016594886779785156,0.6820460979493588,0.5443506717353258,1800,0.21229774821236716,0.0
9,1.5478639602661133,0.16223416545786684,0.09442666235295494,0.3239267501830151,0.09055608877157173,0.0,0.14406857956559488,0.1,0.0028281211853027344,0.0546572208404541,0.05200132,1.3674328,0.1335364151208155,0.0,0.003666970001479107,0.0,200,0.013958930969238281,0.43946682448953134,0.4664540829300807,2000,0.2917070257555676,0.0
10,1.144148349761963,0.1858284870248244,0.11087189506473098,0.37609803974963085,0.09795424959451442,0.0,0.14015792154775653,0.1,0.003063678741455078,0.056444644927978516,0.049238227,1.5260965,0.1387656223112164,0.0,0.0037180385060404447,0.0,200,0.02355670928955078,0.3631003275337237,0.3764746838982303,2200,0.3328108575597857,0.0
11,1.1981301307678223,0.16195055471644115,0.04050297048266347,0.20947320800788247,0.10562339098338268,0.0,0.13622278453958594,0.1,0.002951383590698242,0.1388237476348877,0.04801261,1.1929022,0.1410841155517389,0.0,0.003162653336156819,0.0,200,0.026991844177246094,0.2989569035668206,0.20806716370215134,2400,0.3146074153818479,0.0
12,1.1563537120819092,0.2760177289259434,0.1326705723278963,0.4817773176686315,0.11564209100190971,0.0,0.1414451330548307,0.1,0.0032324790954589844,0.05639791488647461,0.049921155,1.5045788,0.15457747688915935,0.0,0.005512272171261864,0.0,200,0.026398420333862305,0.3930280662879492,0.37207268958285294,2600,0.20400715255048937,0.0
