iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1703112125396729,-1.987460772807618,1.5286134728814838e-07,-1.987460540670256,-1.9874609390220814,0.0,0.5637770862219943,0.1,0.03332114219665527,0.010986089706420898,0.0499869,0.2510969,-1.987460772807618,0.0,-0.026443585251592367,0.0,4,0.0016331672668457031,1.0805706248696632,1.0805706248696632,4,-1.9874607324546745,0.0
1,1.1535241603851318,-1.987460606626214,1.9711320901986638e-07,-1.9874603538051778,-1.987460826519765,0.0,0.34446156612090856,0.1,0.0019004344940185547,0.018493175506591797,0.05022019,0.5101524,-1.9874607561894777,0.0,-0.026443585251592367,0.0,4,0.0015256404876708984,1.0805705138777364,1.0805705138777364,8,-1.987460718071051,0.0
2,1.2086236476898193,-1.9874608036408168,1.579152478689658e-07,-1.9874605901926305,-1.9874610356170268,0.0,0.46842978860969137,0.1,0.0017299652099609375,0.022287368774414062,0.05140862,0.23814756,-1.9874607609346118,0.0,-0.026443585251592367,0.0,4,0.002577543258666992,1.080570559647365,1.080570559647365,12,-1.9874607078663191,0.0
3,1.2039103507995605,-1.9874607763498056,1.348896561936246e-07,-1.9874606396986667,-1.987460950602841,0.0,0.5603959115557716,0.1,0.0017693042755126953,0.02259063720703125,0.04971972,0.36904836,-1.9874607624761311,0.0,-0.026443585251592367,0.0,4,0.001806497573852539,1.0805706248696632,1.0805706248696632,16,-1.9874606979277913,0.0
4,1.2110915184020996,-1.98746070345799,1.7665102850736769e-07,-1.9874605415425537,-1.9874609721261263,0.0,0.48992935346396205,0.1,0.001707315444946289,0.02582573890686035,0.05027181,0.28586656,-1.9874607565743172,0.0,-0.026443585251592367,0.0,4,0.0016388893127441406,1.0805707553142836,1.0805707553142836,20,-1.9874606823289271,0.0
5,1.296522855758667,-1.9874608352719985,1.3075047016361377e-07,-1.987460610716959,-1.987460937745337,0.0,0.4662132560304763,0.1,0.0015752315521240234,0.02359771728515625,0.048180282,1.6323361,-1.9874607644440854,0.0,-0.026443585251592367,0.0,4,0.001779794692993164,1.080570559647365,1.080570559647365,24,-1.9874606738611762,0.0
6,1.2823200225830078,-1.987460601013681,1.4172059121107339e-07,-1.9874604055335512,-1.9874607512782436,0.0,0.6424107207587011,0.1,0.0018048286437988281,0.026146888732910156,0.050614357,0.20034195,-1.9874607481010451,0.0,-0.026443585251592367,0.0,4,0.0019865036010742188,1.080570644322359,1.080570644322359,28,-1.9874606570322415,0.0
7,1.1916706562042236,-1.9874606409734454,1.1142996252121441e-07,-1.9874605164783932,-1.9874607959552408,0.0,0.7175871072904306,0.1,0.001631021499633789,0.026343584060668945,0.049277306,0.26574093,-1.9874607373882853,0.0,-0.026443585251592367,0.0,4,0.0016045570373535156,1.08057063459601,1.08057063459601,32,-1.9874606461475812,0.0
8,1.2839324474334717,-1.9874606567989148,1.7279059241377904e-07,-1.9874604754636929,-1.9874609063875541,0.0,0.5305973475042741,0.1,0.001851797103881836,0.03050994873046875,0.050955653,0.25447592,-1.9874607293293485,0.0,-0.026443585251592367,0.0,4,0.0015726089477539062,1.08057063459601,1.08057063459601,36,-1.9874606320796453,0.0
9,1.1195971965789795,-1.9874606276731699,1.1789802331647167e-07,-1.987460477311147,-1.9874607819809293,0.0,0.595677444945667,0.1,0.0015976428985595703,0.02254176139831543,0.04837179,0.44177315,-1.9874607191637306,0.0,-0.026443585251592367,0.0,4,0.0015308856964111328,1.0805706998183247,1.0805706998183247,40,-1.9874606206180365,0.0
