Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.02  0.01  0.01 
   2  0.01  0.01  0.02 
   3  0.01  0.02  0.02 
   4  0.03  0.02  0.02 
   5  0.04  0.02  0.03 
   6  0.02  0.03  0.04 
   7  0.01  0.03  0.04 
   8  0.05  0.03  0.04 
   9  0.05  0.04  0.05 
  10  0.01  0.04  0.05 
  11  0.06  0.04  0.05 
  12  0.04  0.05  0.06 
  13  0.05  0.05  0.06 
  14  0.09  0.06  0.06 
  15  0.02  0.05  0.09 
  16  0.04  0.07  0.09 
  17  0.06  0.09  0.09 
  18  0.07  0.11  0.09 
  19  0.08  0.10  0.09 
  20  0.06  0.11  0.09 
  21  0.03  0.13  0.09 
  22  0.09  0.22  0.09 
  23  0.04  0.19  0.09 
  24  0.14  0.19  0.09 
  25  0.04  0.16  0.14 
  26  0.08  0.14  0.14 
  27  0.03  0.14  0.14 
  28  0.03  0.17  0.14 
  29  0.08  0.14  0.14 
  30  0.08  0.18  0.14 
  31  0.10  0.17  0.14 
  32  0.05  0.16  0.14 
  33  0.10  0.13  0.14 
  34  0.05  0.15  0.14 
  35  0.08  0.16  0.14 
  36  0.11  0.15  0.14 
  37  0.05  0.12  0.14 
  38  0.11  0.18  0.14 
  39  0.08  0.17  0.14 
  40  0.11  0.22  0.14 
  41  0.11  0.20  0.14 
  42  0.07  0.26  0.14 
  43  0.17  0.22  0.14 
  44  0.20  0.19  0.17 
  45  0.10  0.21  0.20 
  46  0.17  0.19  0.20 
  47  0.14  0.27  0.20 
  48  0.21  0.19  0.20 
  49  0.16  0.19  0.21 
  50  0.16  0.18  0.21 
  51  0.10  0.22  0.21 
  52  0.12  0.21  0.21 
  53  0.16  0.19  0.21 
  54  0.21  0.17  0.21 
  55  0.08  0.22  0.21 
  56  0.19  0.16  0.21 
  57  0.07  0.24  0.21 
  58  0.12  0.15  0.21 
  59  0.13  0.13  0.21 
  60  0.09  0.20  0.21 
  61  0.20  0.21  0.21 
  62  0.27  0.23  0.21 
  63  0.18  0.17  0.27 
  64  0.12  0.25  0.27 
  65  0.29  0.25  0.27 
  66  0.23  0.15  0.29 
  67  0.11  0.42  0.29 
  68  0.19  0.48  0.29 
  69  0.41  0.40  0.29 
  70  0.13  0.31  0.41 
  71  0.23  0.28  0.41 
  72  0.26  0.23  0.41 
  73  0.26  0.27  0.41 
  74  0.23  0.25  0.41 
  75  0.18  0.27  0.41 
  76  0.57  0.28  0.41 
  77  0.19  0.27  0.57 
  78  0.14  0.27  0.57 
  79  0.43  0.26  0.57 
  80  0.25  0.30  0.57 
  81  0.31  0.25  0.57 
  82  0.28  0.27  0.57 
  83  0.43  0.25  0.57 
  84  0.47  0.29  0.57 
  85  0.20  0.21  0.57 
  86  0.31  0.25  0.57 
  87  0.27  0.24  0.57 
  88  0.37  0.74  0.57 
  89  0.28  0.30  0.57 
  90  0.55  0.57  0.57 
