iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2544844150543213,4.717516854430453,0.04502397278137424,4.768206720550811,4.664212393954585,0.0,0.16028071260754223,0.1,0.030989408493041992,0.05734753608703613,0.05214986,0.6818571,4.717516854430453,0.0,0.06438723192049708,0.0,300,0.017072439193725586,0.9369344312317573,0.8221499251724395,300,4.664330901764972,0.0
1,1.2529051303863525,4.690148118043346,0.02605935788607548,4.716860001999511,4.663886482029756,0.0,0.1605224748477119,0.1,0.0029485225677490234,0.05755949020385742,0.051732596,0.8714332,4.714779980791743,0.0,0.06403071440760312,0.0,300,0.017634868621826172,0.8192542779691424,0.6562500453088219,600,4.666719984945189,0.0
2,1.1877024173736572,4.657117476905205,0.03145041964101482,4.697216943411695,4.610218117787304,0.0,0.1632157406538633,0.1,0.0029594898223876953,0.05694985389709473,0.050782517,0.7061894,4.70901373040309,0.0,0.06358043860461936,0.0,300,0.017421722412109375,0.657102153594171,0.43524501432160556,900,4.67011922960552,0.0
3,1.2455568313598633,4.782788643192767,0.1867051673877921,5.103740786771129,4.650764729844435,0.0,0.15822058943509087,0.1,0.0028150081634521484,0.05695080757141113,0.051746134,0.7156381,4.716391221682058,0.0,0.0652656094844542,0.0,300,0.017429590225219727,0.4542472739448448,0.22745557681739495,1200,4.667703685408074,0.0
4,1.3095591068267822,4.709953503799908,0.036271413901733995,4.758452898355899,4.6704294783286,0.0,0.16666406951016832,0.1,0.0028755664825439453,0.06189107894897461,0.054276366,0.8394735,4.715747449893843,0.0,0.0642681803021234,0.0,300,0.017365694046020508,0.22163527704916486,0.17900306140523772,1500,4.670237773204435,0.0
5,1.197162389755249,4.627193231425718,0.04880232270157304,4.664451539500296,4.54344991444021,0.0,0.15308538913650493,0.1,0.002868175506591797,0.056681156158447266,0.053912107,1.2931015,4.706892028047031,0.0,0.06317023047571729,0.0,300,0.017260313034057617,0.17617507660902146,0.15623683765165053,1800,4.672028149086898,0.0
6,1.2969717979431152,4.688858278749564,0.05897054634436677,4.790075287913469,4.645251831860456,0.0,0.16469034263876256,0.1,0.0029082298278808594,0.05657601356506348,0.050352745,0.7657436,4.705088653117285,0.0,0.06400555225603612,0.0,300,0.017618417739868164,0.16382530952053606,0.11215313961033137,2100,4.733615753747608,0.0
7,1.2010936737060547,4.722216400769676,0.0499111651066748,4.7851657213459395,4.671634844218079,0.0,0.13843286733976082,0.1,0.002862691879272461,0.05596041679382324,0.050316803,1.557692,4.706801427882524,0.0,0.06444382160099862,0.0,300,0.016620397567749023,0.10511453318481638,0.09694239488564906,2400,4.682250385039317,0.0
8,1.3010766506195068,4.657774524733545,0.051436931872445815,4.724790297728057,4.5810550060409305,0.0,0.16362308271251846,0.1,0.0028352737426757812,0.05587434768676758,0.05221994,0.9499641,4.701898737567626,0.0,0.06358463144826276,0.0,300,0.016454696655273438,0.10248258234482244,0.09049286286649216,2700,4.692747520158298,0.0
9,1.3147263526916504,4.665279302021606,0.1725429322824124,4.860550268751223,4.387376469577633,0.0,0.15263528941175522,0.1,0.0028502941131591797,0.0566556453704834,0.050207887,1.5427805,4.698236794013025,0.0,0.06368062636758981,0.0,300,0.017494678497314453,0.0885264418269635,0.07990294020737015,3000,4.693036105208144,0.0
10,1.2868843078613281,4.710491798239123,0.052928013636405175,4.7880637006455204,4.659656116855846,0.0,0.15134267238852553,0.1,0.0027625560760498047,0.055908918380737305,0.050908457,1.7457786,4.699462294435635,0.0,0.0642888958661685,0.0,300,0.01671886444091797,0.07805552808269475,0.07215348055175284,3300,4.684956653009002,0.0
11,1.292487382888794,4.797826239140539,0.1129394742943201,4.938283306820252,4.677720577872811,0.0,0.16341826095305761,0.1,0.0028791427612304688,0.056136131286621094,0.050322074,1.1372052,4.7092986889061255,0.0,0.06544183024255411,0.0,300,0.01710820198059082,0.07002559082122752,0.06372245295729327,3600,4.689494637929925,0.0
12,1.2440333366394043,4.646178278298937,0.09303129254054246,4.7871445000204815,4.532258468117532,0.0,0.15857236481215353,0.1,0.002944469451904297,0.05673789978027344,0.049118586,1.2006805,4.702986647845407,0.0,0.06341557017736948,0.0,300,0.01702570915222168,0.06918930405003286,0.06348862175840586,3900,4.697912242943135,0.0
13,1.1774334907531738,4.706667390616076,0.04498993335093518,4.783337170719862,4.671552868646048,0.0,0.15480978084107394,0.1,0.0028693675994873047,0.06202840805053711,0.052492306,1.6376209,4.703354722122474,0.0,0.06423737708681783,0.0,300,0.017134904861450195,0.06982409963291514,0.06238785665193478,4200,4.582960196417141,0.0
14,1.2034201622009277,4.64706379453411,0.15673549018701113,4.8675678654424495,4.4682290440636185,0.0,0.14508413771270798,0.1,0.0028209686279296875,0.05558490753173828,0.050654817,2.4665546,4.697725629363637,0.0,0.063403559593974,0.0,300,0.017533063888549805,0.05906254148940838,0.054841662965756044,4500,4.472920561634155,0.0
15,1.1910526752471924,4.738120790225281,0.04453627059056653,4.787087473805745,4.683991243585272,0.0,0.1499371033356376,0.1,0.0029687881469726562,0.05867886543273926,0.05214842,2.7576098,4.7017651454498015,0.0,0.06466627869927324,0.0,300,0.017397642135620117,0.06094640288679628,0.05378789186815161,4800,4.451889618208418,0.0
16,1.2177510261535645,4.55611232560176,0.11497969479786778,4.7307518430955575,4.4080589960587355,0.0,0.14605102151310254,0.1,0.0030143260955810547,0.05657529830932617,0.05046552,2.9733582,4.687199863464997,0.0,0.062233963006537135,0.0,300,0.017239809036254883,0.058007108455592364,0.05252516289881194,5100,4.660489626443118,0.0
17,1.1975250244140625,4.696073243333779,0.0609323808196094,4.7950232966714355,4.6303197501836335,0.0,0.14906139795387913,0.1,0.0028324127197265625,0.0556790828704834,0.050786532,2.3562253,4.688087201451875,0.0,0.06408768173939582,0.0,300,0.016210317611694336,0.04964223626188813,0.044851173342074356,5400,4.714491219065422,0.0
18,1.215968132019043,4.602548133280679,0.05191061025052624,4.671860820335667,4.530906745718563,0.0,0.1527923957683881,0.1,0.0028307437896728516,0.05725884437561035,0.05001817,2.4066129,4.679533294634756,0.0,0.0628421489824014,0.0,300,0.017089366912841797,0.045464188528798105,0.039513799412766136,5700,4.8049950415206775,0.0
