iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.0948548316955566,0.05541073550439706,0.01121557808030403,0.06696020712029954,0.03724097351767683,0.0,0.14735217060563852,0.1,0.03255486488342285,0.05304408073425293,0.051127467,0.8692322,0.05541073550439706,0.0,0.0010709357167209236,0.0,200,0.014886140823364258,15.206887199362676,2.5696543663351186,200,0.06306151847437044,0.0
1,1.0299818515777588,0.05101003079865077,0.014519846361243276,0.07086405388954954,0.033600861169014576,0.0,0.1379627229184952,0.1,0.0028014183044433594,0.05292868614196777,0.050131526,1.0450648,0.05497066503382243,0.0,0.001004448206488825,0.0,200,0.013612508773803711,2.9077851259552445,0.870000520158064,400,0.06281617827841109,0.0
2,1.013397455215454,0.05378609798990294,0.010156277172293766,0.06207968095039467,0.03668760795590825,0.0,0.15181157197392106,0.1,0.002715587615966797,0.05316352844238281,0.056179285,0.86673445,0.05485220832943049,0.0,0.0010772143125214557,0.0,200,0.01460409164428711,0.48374211553351953,1.090959637936344,600,0.05557307470826394,0.0
3,1.0743229389190674,0.07956804253560835,0.03898126286931344,0.1455178224763256,0.04558044558892727,0.0,0.14001327014746895,0.1,0.002640247344970703,0.05316758155822754,0.05154995,0.97073454,0.05732379175004828,0.0,0.001563868898881499,0.0,200,0.015930891036987305,0.5525350970054271,0.42665304389278025,800,0.05331038201380534,0.0
4,1.0858867168426514,0.0789051425879278,0.017491374335708965,0.09710165533948209,0.05367878659058984,0.0,0.14301158512353312,0.1,0.0027930736541748047,0.053872108459472656,0.05003691,0.7921014,0.059481926833836234,0.0,0.001590620276909132,0.0,200,0.01378321647644043,0.21915744546420515,0.23219970146486096,1000,0.06616960238246654,0.0
5,1.1252095699310303,0.05664244572907959,0.025768198548991674,0.09802211128728312,0.027365564976527326,0.0,0.1379784901534343,0.1,0.002738475799560547,0.0553126335144043,0.050617024,0.9806359,0.059197978723360564,0.0,0.0011289368298119204,0.0,200,0.01383352279663086,0.39783247980369163,0.38795458715894315,1200,0.05846387062557889,0.0
6,1.1091647148132324,0.057100983111412124,0.023304350404766392,0.08524649319209228,0.03318230569212686,0.0,0.14678683569699258,0.1,0.0027170181274414062,0.05276131629943848,0.05698041,0.96424544,0.05898827916216572,0.0,0.0011498361541028425,0.0,200,0.013898611068725586,0.28291914501385174,0.2958457549856349,1400,0.06400740318674754,0.0
7,1.0980818271636963,0.085055141823562,0.013218757740310016,0.10405629009851762,0.06849318432281602,0.0,0.13915496970856933,0.1,0.002750873565673828,0.05339455604553223,0.051273834,0.955468,0.06159496542830535,0.0,0.0017434934934908585,0.0,200,0.013591766357421875,0.3665185541465727,0.25289528524109933,1600,0.0886639229392057,0.0
8,1.2021639347076416,0.11030524645255038,0.06172439440845462,0.17491857489415882,0.047771285509568696,0.0,0.1344717915917444,0.1,0.0026662349700927734,0.05320167541503906,0.05179206,1.2837068,0.06646599353072986,0.0,0.002204778617250634,0.0,200,0.013751506805419922,0.5120823180959129,0.3501134718992056,1800,0.08877039133273538,0.0
9,1.2058594226837158,0.07947681684734183,0.018773639375942227,0.10868613988964375,0.056405434729533195,0.0,0.13806545100026446,0.1,0.0029218196868896484,0.053437232971191406,0.049692072,1.174199,0.06776707586239106,0.0,0.001558287477553968,0.0,200,0.013689041137695312,0.2406369898067434,0.41105222645069794,2000,0.0820143341554011,0.0
10,1.0854449272155762,0.0890683137406971,0.05631443486297326,0.17773114815484753,0.028492932450125748,0.0,0.13072064133895675,0.1,0.004229307174682617,0.053462982177734375,0.050286237,1.4345658,0.06989719965022166,0.0,0.001783529608088076,0.0,200,0.013803958892822266,0.5759674920337793,0.476630264650036,2200,0.08600764831337881,0.0
11,1.0965657234191895,0.054239267601983915,0.012115850307361415,0.07224318723109613,0.0381915230671722,0.0,0.13442548266055654,0.1,0.0029485225677490234,0.05820322036743164,0.04940394,1.104702,0.06833140644539788,0.0,0.0010941224746367582,0.0,200,0.014574050903320312,0.5628375849747973,0.1595086033112817,2400,0.08951498774801742,0.0
12,1.150846004486084,0.10146770381829354,0.016659525960131944,0.12482165517332962,0.07827852615952383,0.0,0.13472513346982998,0.1,0.002814054489135742,0.05387234687805176,0.050057366,0.89150095,0.07164503618268746,0.0,0.001963732333672652,0.0,200,0.013677120208740234,0.32935238532742217,0.3550337834587038,2600,0.09765824313424737,0.0
13,1.0310368537902832,0.046100630909460996,0.00431911319975604,0.05267447089605223,0.041066519548796226,0.0,0.14453848767823524,0.1,0.002833127975463867,0.0550994873046875,0.05166423,1.1164492,0.06909059565536481,0.0,0.0009568992601570057,0.0,200,0.013403654098510742,0.17493725891517273,0.22080137045808806,2800,0.10455069778030407,0.0
14,1.0657765865325928,0.09666072254545227,0.059938221062297944,0.19706250211786236,0.04285601349323355,0.0,0.12592853708437202,0.1,0.0027310848236083984,0.05308413505554199,0.049106885,1.961595,0.07184760834437355,0.0,0.0019860822251726515,0.0,200,0.013908863067626953,0.5017492216219898,0.4513434646881814,3000,0.0987645584995569,0.0
