iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1991465091705322,0.036833610582121874,0.01162058123944164,0.05039524973757549,0.019323851535187102,0.0,0.13864836752336943,0.1,0.038062334060668945,0.051512956619262695,0.049404077,1.8386401,0.036833610582121874,0.0,0.0007416630947154378,0.0,200,0.04172539710998535,5.111892945506321,1.5031282568961821,200,0.05027654732021735,0.0
1,1.0751757621765137,0.04602126734530888,0.010370302906252788,0.0635668107807733,0.03661255468767716,0.0,0.14357053213954132,0.1,0.08793830871582031,1.3820788860321045,0.053495117,1.2426627,0.03775237625844057,0.0,0.0008973946494872207,0.0,200,0.2889866828918457,0.6866249703757149,0.2056970004740403,400,0.050394399487916484,0.0
2,1.3637583255767822,0.03356452006171299,0.010683655363002182,0.048045928025407275,0.021223185792265835,0.0,0.1587459107916235,0.1,0.062137603759765625,0.05125904083251953,0.05170539,0.98709196,0.037333590638767816,0.0,0.000671277227658987,0.0,200,0.0491335391998291,0.5776849156176876,0.5321295723852018,600,0.047710918159973324,0.0
3,1.2429625988006592,0.06053004892691402,0.03488629725551205,0.1164145037908992,0.022730607248592646,0.0,0.14770410871966833,0.1,0.0820314884185791,0.36042213439941406,0.05229643,1.09549,0.03965323646758244,0.0,0.0011835409606819388,0.0,200,0.0419003963470459,0.8223639464968173,0.5057660563706577,800,0.06176282046866364,0.0
4,1.2787253856658936,0.07361645605282766,0.02977418574156528,0.1167372273518874,0.03538986975380011,0.0,0.14892632231128394,0.1,0.06240224838256836,0.059606075286865234,0.049570072,0.955702,0.043049558426106964,0.0,0.0014689855020683816,0.0,200,0.10854935646057129,0.45052397265346295,0.3203413737721003,1000,0.0638346599759385,0.0
5,1.3903424739837646,0.07198490993941052,0.022573695489178817,0.10144591707000826,0.03822156297643209,0.0,0.14483001045008226,0.1,0.030188798904418945,0.05265212059020996,0.050238065,0.9073994,0.045943093577437324,0.0,0.0014112278127582812,0.0,200,0.10185813903808594,0.30258860183210873,0.3533736115760044,1200,0.09478524903597078,0.0
6,1.2615783214569092,0.06404098452163284,0.03923432943802998,0.10997853790928389,0.022504804244500298,0.0,0.14810515573671038,0.1,0.03424811363220215,0.04976010322570801,0.05016008,0.94376403,0.04775288267185688,0.0,0.0012812273765404377,0.0,200,0.12958240509033203,0.6487648365515067,0.43228983352407196,1400,0.12461660960844911,0.0
7,1.3244729042053223,0.0857730044164567,0.0824701209028924,0.22836417214841268,0.031021278374507737,0.0,0.15496746716843104,0.1,0.002839803695678711,0.06029558181762695,0.05039133,1.2258373,0.05155489484631687,0.0,0.0017020385341031332,0.0,200,0.03203558921813965,0.6050104087845741,0.5948232863639985,1600,0.17787672464679594,0.0
8,1.303002119064331,0.13204732542189232,0.1694390527181508,0.42512090443547784,0.02024046109520361,0.0,0.14733952503808162,0.1,0.006061553955078125,0.053647756576538086,0.050423935,1.3805962,0.059604137903874414,0.0,0.0026533801158480984,0.0,200,0.15572452545166016,0.7831699947902794,0.6970079639827635,1800,0.2684908461322299,0.0
9,1.2719740867614746,0.09161133673383713,0.039157170102385605,0.13415343757320855,0.05035273574263871,0.0,0.14866018276074433,0.1,0.029812097549438477,0.052941083908081055,0.052271266,0.98620576,0.06280485778687069,0.0,0.0018241976166549286,0.0,200,0.04097104072570801,0.33223670522169185,0.4219097896484238,2000,0.31382476764650397,0.0
