iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.610222578048706,-194.87093736329587,33.28686196413852,-150.83512493818304,-228.36699300528187,0.0,1.3657717310586974,0.1,0.04728102684020996,0.06247568130493164,0.09118389,0.059862584,-194.87093736329587,-0.9732006981178276,-0.9732006981178276,0.0,800,0.06530165672302246,0.9992205189047348,0.9810497505801092,800,-176.93309206363264,0.0
1,0.4944431781768799,-182.80100484399142,24.511136314372216,-143.3340575180596,-209.76947028223452,0.0,1.8365950736658443,0.1,0.0030274391174316406,0.06135106086730957,0.057124168,0.050697003,-193.66394411136542,-0.9141667323746286,-0.9141667323746286,0.0,800,0.043862342834472656,0.9791237170693837,0.9351863537462066,1600,-184.5624265460002,0.0
2,0.5129468441009521,-145.25609342738682,100.721991851168,23.359168322193828,-242.7761793055065,0.0,2.468057300890817,0.1,0.0030732154846191406,0.0625917911529541,0.053318318,0.052585974,-188.82315904296757,-0.91030648528159,-0.7253064852815899,0.0,800,0.04562830924987793,0.9497574476602682,0.8774509221139148,2400,-155.15546554836973,0.0
3,0.5293169021606445,-22.650451504827977,113.4050740960411,70.68323273812193,-208.31444597865925,0.0,1.285050516619438,0.1,0.0030221939086914062,0.06081199645996094,0.051417157,0.092502184,-172.20588828915362,-0.8073540395866425,-0.11235403958664272,0.0,800,0.045349836349487305,0.9165465783431103,0.8638814471682533,3200,-156.9660897443333,0.0
4,0.537513256072998,-227.14872083935444,35.477505492595455,-192.96427364370436,-277.54383936994515,0.0,1.740457516416434,0.1,0.056490182876586914,0.345426082611084,0.052209903,0.061760105,-177.7001715441737,-1.1341614802095423,-1.1341614802095423,0.0,800,0.04536104202270508,0.7779302063425534,0.5675929819401175,4000,-173.87780672503177,0.0
5,0.5724384784698486,-92.1839283317525,217.26490572599212,280.0625026303273,-257.99420637425584,25.0,1.376697065712446,0.1,0.034929752349853516,0.060292720794677734,0.05052408,0.068248935,-169.1485472229316,-1.0682224241614968,-0.45822242416149706,25.0,800,0.04490518569946289,0.7409644664879182,0.6374718224418492,4800,-170.61228146390704,0.0
6,0.5771043300628662,-90.98381940208779,153.5400335112057,160.9624331565743,-251.82222186138358,0.0,1.8165326269452502,0.1,0.0034275054931640625,0.06027078628540039,0.05032962,0.054854047,-161.33207444084724,-0.8590856405920744,-0.45408564059207435,0.0,800,0.045469045639038086,0.6220318357880952,0.623166333748691,5600,-174.54074549476783,0.0
7,0.5879607200622559,-214.03989023008006,28.140362122888963,-170.6734335036945,-249.44152390991516,0.0,1.5861170980044712,0.1,0.010282278060913086,0.06343412399291992,0.05177897,0.0745463,-166.6028560197705,-1.0684893903795438,-1.0684893903795438,0.0,800,0.044261932373046875,0.32139887745290174,0.2523568192141309,6400,-177.3644583328294,0.0
8,0.5890922546386719,-126.94713186531588,118.79651187225221,77.58236026521479,-213.92550342465285,0.0,1.9819123954220876,0.1,0.05333304405212402,0.08625316619873047,0.053122662,0.048984,-162.63728360432506,-0.9232596381781082,-0.6332596381781084,0.0,800,0.044557809829711914,0.3858150102241961,0.3776124181816741,7200,-180.80833993036768,0.0
9,0.5935981273651123,-190.18187922196512,28.6886942633034,-160.04763104460153,-236.73317528580858,0.0,1.6241921527276617,0.1,0.05338549613952637,0.06828069686889648,0.050563302,0.0612385,-165.39174316608907,-0.9493583530895652,-0.9493583530895652,0.0,800,0.0832054615020752,0.23112496125983675,0.218010266320045,8000,-185.407020402037,0.0
