iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.0809502601623535,-336.86377298973287,35.10348670847797,-296.4447707361374,-386.5831664465914,0.0,0.1386203715306339,0.1,0.03540611267089844,0.04877495765686035,0.05378327,2.5648477,-336.86377298973287,-2.597606571681109,-2.093214727357733,0.0,131,0.014425992965698242,0.9996587911058477,0.9993819638495022,131,-531.9671988345879,0.0
1,0.9928197860717773,-339.7114470093816,29.46790932524404,-312.0910033727839,-387.8067208977541,0.0,0.19955427841394843,0.1,0.002458810806274414,0.05084872245788574,0.04946107,1.0845791,-337.14854039169774,-2.502519989146889,-2.1121355000966497,0.0,132,0.017425537109375,0.9993711182391893,0.9990929329344348,263,-541.1220258361078,0.0
2,0.9846177101135254,-330.3232717968673,15.65065572967845,-303.32151936495785,-340.90328449145113,0.0,0.21227818108765203,0.1,0.0024170875549316406,0.05217432975769043,0.050715532,0.9634022,-336.4660135322147,-2.5350701401065914,-2.0502388931578213,0.0,127,0.008243322372436523,0.9990927483415152,0.9990927483415152,390,-546.031236840732,0.0
3,1.038771390914917,-314.3391344931955,31.19186400036997,-287.94412641831923,-365.19119963936635,0.0,0.1950307790216669,0.1,0.002379179000854492,0.04871630668640137,0.050022654,0.85658437,-334.2533256283128,-2.2862466381767166,-1.9486171274374042,0.0,124,0.0031867027282714844,0.9990275545459345,0.9990275545459345,514,-528.859668093677,0.0
4,1.0114452838897705,-361.1702683351532,38.9315894830678,-309.70873035384705,-419.2597890956654,0.0,0.20536521382324568,0.1,0.0023870468139648438,0.052870750427246094,0.05144021,0.77748215,-336.9450198989968,-2.7996820196838557,-2.254738662056312,0.0,134,0.011264801025390625,0.999130184689537,0.9988678412529766,648,-537.6146480899835,0.0
5,1.0344183444976807,-364.98048977238994,37.40916436099661,-311.850384400005,-412.93909851608646,0.0,0.21936331075815338,0.1,0.0024118423461914062,0.049207448959350586,0.04993929,0.67823493,-339.7485668863361,-3.225128077932623,-2.2775566329448784,0.0,132,0.010083913803100586,0.9989478221601614,0.9986858369796904,780,-500.1529908709851,0.0
6,1.0635652542114258,-340.54128498707666,49.411035605906065,-275.59808949482016,-405.7940445946034,0.0,0.21982936270205108,0.1,0.0024199485778808594,0.05086994171142578,0.050901353,0.6678112,-339.82783869641014,-2.033886936105265,-2.124028135799196,0.0,133,0.011473417282104492,0.9986038194195235,0.9983070109990413,913,-582.0611505334668,0.0
7,1.0375285148620605,-335.23441519629785,9.446268477759366,-322.3276900940524,-346.42699554692194,0.0,0.20031653049374643,0.1,0.0023598670959472656,0.05589699745178223,0.049085304,0.95980227,-339.3684963463989,-2.803041543864846,-2.080534970208066,0.0,119,0.0072214603424072266,0.9982080488897231,0.9982080488897231,1032,-828.2343979141868,0.0
8,1.1125333309173584,-371.9334462536537,48.09111054938818,-324.89170841753185,-452.13389220498556,0.0,0.2032218307607661,0.1,0.002467632293701172,0.049733877182006836,0.048674103,0.92376345,-342.62499133712436,-2.886741567131063,-2.323208492551218,0.0,133,0.013533830642700195,0.9984274100578865,0.9981247942960824,1165,-843.9047082212993,0.0
9,1.066673755645752,-306.6989775612843,34.299059893459415,-265.9481100410825,-352.56376044058015,0.0,0.19151880007479274,0.1,0.0023593902587890625,0.048571109771728516,0.04989093,0.84776914,-339.03238995954035,-2.3534024889827014,-1.8977571416395136,0.0,120,0.0030820369720458984,0.9977550194470326,0.9977550194470326,1285,-618.9907942873633,0.0
10,1.0724058151245117,-310.57402019806904,21.60717943173908,-276.522021109053,-336.150233631268,0.0,0.1924003150610216,0.1,0.002390146255493164,0.054230451583862305,0.050282016,0.8956514,-336.1865529833932,-2.5868967642846976,-1.920242408506986,0.0,118,0.0044214725494384766,0.9977353663959143,0.9977353663959143,1403,-676.2580735701277,0.0
11,1.0947189331054688,-370.323324236826,36.24537828060558,-348.1528079485807,-433.08540688797984,0.0,0.19250694950012556,0.1,0.002452850341796875,0.050486087799072266,0.05016316,1.4247531,-339.60023010873647,-2.747277770614991,-2.3109480256043704,0.0,132,0.010314464569091797,0.9981144479013018,0.9977632629556533,1535,-686.5367847109734,0.0
12,1.0955803394317627,-335.15189097129127,26.610683796578453,-297.985400668415,-367.636443620742,0.0,0.18878680174967002,0.1,0.002452850341796875,0.04991507530212402,0.049861833,1.1041424,-339.15539619499197,-2.8374802587331787,-2.0794781189787463,0.0,122,0.005284309387207031,0.997487682528944,0.997487682528944,1657,-806.8475517315316,0.0
13,1.2314376831054688,-632.0848505066836,579.1609188888306,-273.1825901865644,-1634.8085487405829,0.0,0.26360801481203266,0.1,0.0025510787963867188,0.05570244789123535,0.049319386,0.40201667,-368.4483416261611,-2.411099442378317,-4.062304663301933,0.0,185,0.010131120681762695,0.9992544380195375,0.999121462598437,1842,-835.3919875625062,0.0
14,1.0907166004180908,-317.9477319462943,20.05076802861921,-283.8755741270425,-332.95022651501273,0.0,0.16787596963063373,0.1,0.002408742904663086,0.049196720123291016,0.04803672,5.877664,-363.39828065817443,-2.3243001231462896,-1.9705515633162547,0.0,125,0.002865314483642578,0.9969699344632275,0.9969699344632275,1967,-928.8405817824608,0.0
15,1.0490820407867432,-334.64432127681073,30.024320016733,-292.644190382287,-377.5547087830706,0.0,0.18843225902870978,0.1,0.002596616744995117,0.05038809776306152,0.050644137,0.9202345,-360.52288472003806,-2.4784529326515776,-2.0806693575497333,0.0,122,0.005396127700805664,0.9970874967738271,0.9970874967738271,2089,-839.3703030837141,0.0
16,1.0419273376464844,-328.9558525558049,12.584488582782523,-310.36715659500686,-341.75360987991047,0.0,0.19822264758623484,0.1,0.0025103092193603516,0.049083709716796875,0.050421223,0.79634416,-357.36618150361477,-2.5198004831228134,-2.0468427712758057,0.0,121,0.005997657775878906,0.996999511799379,0.996999511799379,2210,-1154.8489328673923,0.0
17,1.1017231941223145,-309.3176087012897,40.197724763082874,-246.9159694385143,-353.45726128856455,0.0,0.2081274266750454,0.1,0.0026230812072753906,0.048250675201416016,0.04852175,0.6484672,-352.56132422338226,-2.3561715498313722,-1.9138585832606227,0.0,125,0.0038802623748779297,0.9969517621293801,0.9969517621293801,2335,-1091.6413464846544,0.0
18,1.0900194644927979,-338.85679635995723,43.81613474197135,-301.4476545847287,-413.3771576498996,0.0,0.2089095392726723,0.1,0.0025501251220703125,0.04831218719482422,0.051761266,0.7083709,-351.19087143703973,-2.512344018380712,-2.1123252361640446,0.0,123,0.0052623748779296875,0.997196531312355,0.997196531312355,2458,-965.1756456388656,0.0
19,1.1114799976348877,-313.1866943280517,20.469269870408702,-283.97325756279486,-340.9686288625701,0.0,0.20517309771432843,0.1,0.002534151077270508,0.04820537567138672,0.0488412,0.74833566,-347.39045372614095,-2.1730982127537852,-1.9397394274021698,0.0,121,0.00558018684387207,0.9968753717311122,0.9968753717311122,2579,-922.8874991301336,0.0
20,1.1276600360870361,-319.86740298404044,46.53416376934847,-276.2969111204158,-393.18206971070725,0.0,0.196944436792955,0.1,0.002364635467529297,0.049349069595336914,0.050119475,0.81049657,-344.6381486519309,-2.3270260295325844,-1.9848877292260774,0.0,125,0.004871368408203125,0.9969564785076325,0.9969564785076325,2704,-916.149088247225,0.0
