iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.7888498306274414,-1777.1586805339568,473.74627447336434,-987.4359860259353,-2248.522809228234,0.0,0.13622285686167254,0.1,0.040427446365356445,0.06460714340209961,0.05863625,1.3585666,-1777.1586805339568,-3.324816925979599,-11.699400664627055,0.0,253,0.04428577423095703,0.9998532988313151,0.9997292890986893,253,-4772.72839984764,0.0
1,0.7495863437652588,-1895.6368846180067,133.6179866070233,-1786.283344678491,-2119.508639958332,0.0,0.2647424933649436,0.1,0.034024953842163086,0.06394791603088379,0.050017323,0.4409948,-1789.0065009423618,-3.096242268248821,-12.47637486975768,0.0,261,0.06871962547302246,0.9997293840730802,0.9994966670511483,514,-4786.745867402658,0.0
2,0.8626594543457031,-1901.2712630216784,580.9361934483364,-947.4647526754284,-2478.4771301998708,0.0,0.27391027027012943,0.1,0.0033996105194091797,0.06277990341186523,0.049709007,0.39320424,-1800.2329771502934,-3.5218014053920674,-12.532187927108211,0.0,275,0.027378082275390625,0.9995369891503714,0.9992109341645607,789,-4751.455006195006,0.0
3,0.8363652229309082,-2088.5571285907936,411.98592738779143,-1409.565554872962,-2514.263853062755,0.0,0.2640053995650647,0.1,0.0037317276000976562,0.062010765075683594,0.051474504,0.40526563,-1829.0653922943436,-3.4152330705624934,-13.734454519042734,0.0,250,0.059519290924072266,0.9992588554352629,0.9989529747948992,1039,-4707.67646757739,0.0
4,0.8161940574645996,-1726.6317430225208,193.0382203288768,-1450.097191481367,-1994.7290490184682,0.0,0.24414741529916092,0.1,0.005028486251831055,0.06190919876098633,0.050306458,0.47186482,-1818.8220273671614,-2.9535065229217228,-11.352099586477426,0.0,241,0.02981281280517578,0.9987090360394643,0.9981911212585386,1280,-4687.218312207532,0.0
5,0.9235410690307617,-2371.155048118707,374.08534375531445,-1765.9424987567559,-2774.354154847562,0.0,0.2836411387169766,0.1,0.003650188446044922,0.06356453895568848,0.050097972,0.40434337,-1874.055329442316,-3.456367492671649,-15.628579329246087,0.0,299,0.03479957580566406,0.9986475813757236,0.9977831437559973,1579,-4728.928304876954,0.0
6,0.9155430793762207,-1858.9669784658772,500.2394415649069,-1355.3438088784944,-2687.360043806014,0.0,0.27895341471144935,0.1,0.012265920639038086,0.06261253356933594,0.04935743,0.379285,-1872.5464943446723,-3.035929303040705,-12.247298498966131,0.0,272,0.08910107612609863,0.9973233743504589,0.9957289740668218,1851,-4663.45990014539,0.0
7,0.8982462882995605,-1836.806658313908,294.1797177144947,-1501.4756843622572,-2186.8252767499325,0.0,0.2606311342912216,0.1,0.003486156463623047,0.06244468688964844,0.04876989,0.424976,-1868.972510741596,-3.2728203199429298,-12.09555598639979,0.0,264,0.06025886535644531,0.9954699910680903,0.9929856179480274,2115,-4634.172957307935,0.0
8,1.0404279232025146,-2309.4311831752566,320.3641429675142,-1774.181518557185,-2599.166188824466,0.0,0.2556659450032124,0.1,0.0032329559326171875,0.06135082244873047,0.05094046,0.44474375,-1913.018377984962,-3.79827486187967,-15.199947946836701,0.0,270,0.024555206298828125,0.9944242526529792,0.9915384239408717,2385,-4638.320200409469,0.0
9,0.9621109962463379,-2090.823138644714,217.82346581612077,-1753.8135480691647,-2362.102241343052,0.0,0.2846347312424603,0.1,0.003606081008911133,0.0663294792175293,0.04947434,0.42075858,-1930.7988540509373,-3.206583281406419,-13.776923921333005,0.0,286,0.08099198341369629,0.9904862766823211,0.9859862371932299,2671,-4648.181669417973,0.0
10,0.9709014892578125,-1989.5209562531695,406.5928021418344,-1341.9996314364396,-2460.9341250626817,0.0,0.2486019860453711,0.1,0.00537109375,0.08893656730651855,0.05020833,0.4313823,-1936.6710642711607,-2.948827612848432,-13.102760365732394,0.0,272,0.0226290225982666,0.9859454757220671,0.9799545915024466,2943,-4645.237446213657,0.0
11,0.9172108173370361,-2057.2357136561404,236.32244594832466,-1687.2301630335255,-2299.5816442751106,0.0,0.2473019760015377,0.1,0.005719423294067383,0.0899660587310791,0.050479636,0.46956664,-1948.7275292096588,-3.804215959829378,-13.53020952970423,0.0,256,0.061017513275146484,0.9801610627063198,0.9723618759672017,3199,-4627.5496549372465,0.0
12,0.9534759521484375,-2380.2812982988744,476.75728975446236,-1679.3014977131993,-3005.1146042009514,0.0,0.2799605470898266,0.1,0.0037920475006103516,0.06424808502197266,0.049739275,0.41179508,-1991.8829061185802,-3.4426238502461985,-15.670791148966442,0.0,275,0.02081918716430664,0.9764897989004365,0.9677526164861459,3474,-4598.930670524036,0.0
13,1.0524368286132812,-2328.3830848318835,215.45254949217366,-2051.9179106956617,-2653.1393180957007,0.0,0.2740204440879341,0.1,0.00619196891784668,0.0647432804107666,0.049837187,0.43848753,-2025.5329239899106,-3.468589300834065,-15.339275250978124,0.0,288,0.049512386322021484,0.9660772268241219,0.9543470070798141,3762,-4549.641924862185,0.0
14,0.9323179721832275,-2038.9748748918348,201.71911770224466,-1790.827376540704,-2279.3185769683055,0.0,0.2671586343849808,0.1,0.0035581588745117188,0.06230783462524414,0.049443144,0.42365465,-2026.877119080103,-3.2966189817239004,-13.42426425345701,0.0,274,0.03928947448730469,0.9472493379167672,0.9310957316507984,4036,-4547.455786269368,0.0
15,0.8943502902984619,-1774.8271250070343,231.8975813902673,-1467.9779976345174,-2103.344742168316,0.0,0.24470835178751965,0.1,0.0054187774658203125,0.06316113471984863,0.04947305,0.45420697,-2001.6721196727963,-2.9627090148108657,-11.692641504594524,0.0,271,0.02069854736328125,0.9217556740368134,0.9007020560039277,4307,-4547.455786269368,0.0
