iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.4715018272399902,162.59203765186973,222.16316033006814,493.40620227266385,-120.62120496106185,75.0,0.7570506247388911,0.1,0.034459590911865234,0.04973769187927246,0.04952295,0.12501171,162.59203765186973,-0.6982896608524433,1.582744753620092,75.0,400,0.19713497161865234,1.0003686290206801,0.9982977889593607,400,84.74507814100197,41.666666666666664
1,1.3018288612365723,46.32339575917845,246.5937494962864,472.865651519216,-114.0131611511816,25.0,0.8444270023666466,0.1,0.002559185028076172,0.04962635040283203,0.04937332,0.15498087,150.9651734626006,-0.6521492779752173,0.4385747964936609,25.0,400,0.09181952476501465,0.9993103926162075,0.9985740023301388,800,152.62576868522174,50.0
2,1.2471003532409668,194.4768725471917,213.43848088533016,519.6426373502301,-34.8231326044679,75.0,1.136882922375045,0.1,0.0023469924926757812,0.04753994941711426,0.052675042,0.08977866,155.31634337105973,-0.38368312520632497,1.9198036658211768,75.0,400,0.04834103584289551,0.9955204680038261,0.9916372517895867,1200,227.06324041737784,58.333333333333336
3,1.3197777271270752,213.6752121884772,337.8137605342949,667.5881464006651,-125.26708485681445,50.0,0.9154005472701187,0.1,0.0025787353515625,0.06960177421569824,0.049013007,0.11214618,161.15223025280147,-0.5681129994103912,2.1026172639060063,50.0,400,0.02142477035522461,0.9952024187700393,0.9910241803364986,1600,272.9007524646531,66.66666666666667
4,1.2915711402893066,101.65131409413283,212.18194112866203,449.9383365932855,-121.71036110188028,75.0,0.909464958792158,0.1,0.0024547576904296875,0.04883694648742676,0.052046712,0.11492858,155.20213863693462,-0.5183530528779801,0.9692095103586837,75.0,400,0.06028318405151367,0.9856409303925215,0.9767057571578049,2000,54.425603453336116,25.0
5,1.320971965789795,117.10954686481963,179.63809405278357,362.6345155060444,-60.43432553936714,100.0,0.828232045898663,0.1,0.002496480941772461,0.049561262130737305,0.049477734,0.12372259,151.3928794597231,-0.7532278885084855,1.1289863945372587,100.0,400,0.048436880111694336,0.9794027926092808,0.9687864937316464,2400,96.59795382023911,58.333333333333336
6,1.4034366607666016,-63.42691641942669,79.8112611483951,55.17101161270404,-159.6018743087237,50.0,0.9326260457219919,0.1,0.0026264190673828125,0.049387216567993164,0.047674317,0.11081434,129.9108998718081,-0.9913353799479423,-0.6306871661211297,50.0,400,0.06575274467468262,1.1014176175561599,1.106395112565725,2800,80.2243639177255,75.0
7,1.326561450958252,88.01382858669922,125.4932945303782,209.5498513499572,-94.06747166919673,75.0,0.9098986479038681,0.1,0.0024385452270507812,0.07129478454589844,0.052903872,0.11306968,125.72119274329722,-0.5189033318426892,0.8667356149055303,75.0,400,0.044071197509765625,0.9528507348507693,0.950535484002603,3200,272.26050180270465,66.66666666666667
8,1.32999849319458,119.98704072751539,168.55674544500005,353.4287672933912,-71.28947523861757,50.0,0.970902041584759,0.1,0.0025129318237304688,0.048766374588012695,0.05206597,0.10627344,125.14777754171904,-0.47694032041594625,1.1763431479532542,50.0,400,0.1107628345489502,0.9574486758677586,0.9467324526033323,3600,424.49359605999956,75.0
9,1.3776764869689941,186.70093733321798,30.42133320164904,207.60633924420142,134.43405057116848,100.0,0.9636365074074116,0.1,0.0024688243865966797,0.043315887451171875,0.052455902,0.104252525,131.30309352086894,-0.38572788144269443,1.8410898092899894,100.0,400,0.21877717971801758,0.9000321497382039,0.8575989541959962,4000,261.3784894366583,41.666666666666664
10,1.341125726699829,259.69861164704776,178.68930382254942,497.2843289134405,14.732831804492255,100.0,0.8730523942987454,0.1,0.0025026798248291016,0.04831242561340332,0.046264824,0.12276347,144.14264533348683,-0.4313828185701719,2.57040287418383,100.0,400,0.20977497100830078,0.9275197213758065,0.8899883458091283,4400,724.1961488273105,100.0
11,1.3488044738769531,362.69295519409195,62.91829463754638,417.9237166851394,261.0635798507078,100.0,0.8290253865139794,0.1,0.0700531005859375,0.0489962100982666,0.051016416,0.116963595,165.99767631954734,-0.3221743681741611,3.5797831990952624,100.0,400,0.4349501132965088,0.8779850437746605,0.8171133191401994,4800,665.6316692146798,100.0
12,1.3567111492156982,295.1526517184001,66.71850329958848,371.9872992269287,204.0429588112093,100.0,0.8038559006562008,0.1,0.002523183822631836,0.0699455738067627,0.053243347,0.12288547,178.91317385943262,-0.31502597335335,2.946755784632165,100.0,400,0.07734990119934082,0.770594873564663,0.6839582029739478,5200,477.6037541548954,58.333333333333336
13,1.342015027999878,213.76115673290553,125.26668288450603,429.807513273318,132.1580751392524,100.0,0.9436085810529098,0.1,0.0024573802947998047,0.04882025718688965,0.04719904,0.104749784,182.39797214677992,-0.37064956220309153,2.1222246488254477,100.0,400,0.2035207748413086,0.6916598576779376,0.6140372158084836,5600,691.2188897878206,100.0
14,1.340559959411621,259.2748722515411,134.57685272178205,404.8738313548269,98.71102082216917,100.0,0.907217670885018,0.1,0.0026183128356933594,0.048754215240478516,0.052932143,0.10812801,190.08566215725605,-0.30959439102684744,2.5551694843862904,100.0,400,0.36175537109375,0.6168723567692397,0.5479966817917409,6000,727.2183683646905,100.0
15,1.3378050327301025,371.2693744845013,185.98486539170688,657.5860959046303,166.13203151462608,100.0,0.8329147011283867,0.1,0.01004481315612793,0.04868197441101074,0.062621094,0.122972295,208.20403338998057,-0.31503910277854646,3.6658051032231747,100.0,400,0.5540676116943359,0.6816609994498636,0.614909057020333,6400,734.952112200334,100.0
16,1.3180561065673828,469.4718442846432,187.13694505442098,777.0294344766993,270.6069141251015,100.0,0.7437014877163679,0.1,0.0024912357330322266,0.04860281944274902,0.050767746,0.14975944,234.33081447944681,-0.20894254870232232,4.62601523706835,100.0,400,0.05039858818054199,0.6354502616770049,0.5602552923483234,6800,667.4483163557608,91.66666666666667
17,1.4287652969360352,372.772879658744,187.86934199243765,685.511393844255,187.74156943610095,100.0,0.8066120704965379,0.1,0.0024857521057128906,0.04865312576293945,0.04922249,0.13654381,248.17502099737652,-0.24500773794195357,3.6795202977751904,100.0,400,0.03478431701660156,0.508183421098635,0.4461455072414957,7200,507.8412740975493,58.333333333333336
18,1.3360931873321533,362.12778075779954,95.01787607292931,498.0056012125464,235.41913819174033,100.0,0.8819450352720792,0.1,0.002528667449951172,0.048935890197753906,0.052798107,0.12132693,259.5702969734188,-0.23200567706730157,3.5526206195087795,100.0,400,0.05071139335632324,0.33473429349712913,0.295593194599491,7600,521.387961863955,75.0
19,1.3183043003082275,323.47948658524683,159.15133120511067,582.4943175973258,150.34660606971553,100.0,0.7617267606109859,0.1,0.0026667118072509766,0.05533337593078613,0.054888383,0.15483248,265.9612159346016,-0.2864981251677515,3.186995171871705,100.0,400,0.33391618728637695,0.4132975637417117,0.4114783793083849,8000,374.82506813423885,50.0
20,1.356870412826538,233.12806731884297,123.10668409822263,401.70768351374375,87.56213558406526,100.0,0.8945151154757475,0.1,0.0026879310607910156,0.048435211181640625,0.049654614,0.12597437,262.67790107302574,-0.3161343594471335,2.294873633970139,100.0,400,0.3636031150817871,0.5575877815490886,0.5312908544553308,8400,337.9052801577438,50.0
21,1.361081600189209,530.9653798030007,224.94775574799976,723.1173018018358,155.55280869804758,100.0,0.8700440008680298,0.1,0.002515077590942383,0.047824859619140625,0.053710643,0.11610115,289.50664894602323,-0.21755462014676966,5.220696522928632,100.0,400,0.28681182861328125,0.4667258205643451,0.4434030637060151,8800,301.4217828402007,41.666666666666664
22,1.4441485404968262,338.6304060791615,130.25693483577555,490.7025924115977,142.51014959311004,100.0,0.76137764958869,0.1,0.002476930618286133,0.04739546775817871,0.04940367,0.11522354,294.4190246593371,-0.2600632768730784,3.3600207003711544,100.0,400,0.09939169883728027,0.34426111771082496,0.3396370482971432,9200,207.7408043551092,33.333333333333336
23,1.3495492935180664,584.1736015088678,116.33174540039599,667.7190406630598,383.4555941097841,100.0,0.8947172961307364,0.1,0.05168724060058594,0.06686735153198242,0.048869804,0.10150151,323.39448234429017,-0.15670495964283077,5.783866730427222,100.0,400,0.23653531074523926,0.36532767689961904,0.3303800933899994,9600,326.27903933786735,41.666666666666664
24,1.3799076080322266,410.07097464832657,187.664116462503,593.7219596483307,96.6078801769302,100.0,0.9103045747963545,0.1,0.002710580825805664,0.049607038497924805,0.05005079,0.09997828,332.0621315746938,-0.24980211392186208,4.032275438883393,100.0,400,0.33568620681762695,0.30014902515298114,0.2915826941105808,10000,342.749378516952,50.0
25,1.3679733276367188,346.35483752314013,106.04142167020835,467.3950835714585,216.7097247671293,100.0,0.8249216181720864,0.1,0.0024542808532714844,0.04982876777648926,0.05076869,0.11631182,333.49140216953845,-0.24286450093242476,3.4047596021678688,100.0,400,0.03716468811035156,0.2945076591607933,0.2940704858823069,10400,366.58262843374,50.0
26,1.3844974040985107,359.9589706723541,28.712445623069133,392.1251057761691,319.9539484888085,100.0,0.8333105434251133,0.1,0.0028574466705322266,0.05071735382080078,0.049709063,0.11668113,336.13815901982,-0.25678103649230644,3.5418062337389684,100.0,400,0.024474620819091797,0.4570934645679927,0.40824545980515403,10800,360.19811864414504,50.0
27,1.4290106296539307,257.6245464340341,137.45735264827036,464.5680025760139,104.45732321491764,100.0,1.016091725065657,0.1,0.002317190170288086,0.049967288970947266,0.05340712,0.09238177,328.2867977612415,-0.28557623918979685,2.5389329966605887,100.0,400,0.3130311965942383,0.6672925216955614,0.5326930284483498,11200,260.0343112916948,25.0
28,1.4229376316070557,549.5952555762601,185.18504592144112,758.1173086694838,276.97560161608493,100.0,0.8396660159775025,0.1,0.23813128471374512,0.050972938537597656,0.051359773,0.11278778,350.41764354274335,-0.20665087117775732,5.427441539102855,100.0,400,0.3246171474456787,0.37197319885914815,0.3663796997149663,11600,262.1997842977969,50.0
29,1.375427484512329,320.56713433378854,254.9698306556681,744.93659588181,96.3273557243783,100.0,0.9242413144925766,0.1,0.002500295639038086,0.047196388244628906,0.05420036,0.10983899,347.43259262184785,-0.2670299675362034,3.1891019196589676,100.0,400,0.09386491775512695,0.5040347977638696,0.5083627660097225,12000,321.1909133484391,58.333333333333336
30,1.40864896774292,520.3819182147083,149.98841054359085,663.7951378273159,284.9390081265948,100.0,0.9672053079030503,0.1,0.0024566650390625,0.049334049224853516,0.05628995,0.103974305,364.7275251811339,-0.21409732078088545,5.135451149529709,100.0,400,0.5049543380737305,0.34170009739467627,0.32786147288156964,12400,378.1033034106586,58.333333333333336
31,1.3154163360595703,255.96196123877658,225.39695887196245,640.4136713478736,69.35279251464767,100.0,0.8319656549587984,0.1,0.0052111148834228516,0.07812023162841797,0.053486623,0.12201706,353.8509687868982,-0.29086537235320986,2.5330357818677145,100.0,400,0.07223844528198242,0.6096862674882992,0.6039564713547491,12800,331.7758763446854,50.0
32,1.3300459384918213,402.2302211988997,137.31450212609224,553.6640277095648,188.68859132868698,100.0,1.051080243429249,0.1,0.0026214122772216797,0.06896018981933594,0.052880783,0.097668625,358.6888940280984,-0.25297341857020816,3.9543895631699466,100.0,400,0.6764192581176758,0.3049301767903143,0.3006977602785613,13200,322.43295960083145,50.0
33,1.3116021156311035,480.8403372995219,214.23483934060602,691.4900401531959,165.1808178557599,100.0,1.1654171854596371,0.1,0.0021996498107910156,0.04230761528015137,0.051031794,0.08029905,370.90403835524074,-0.22082505502736716,4.7501027299817,100.0,400,0.13194036483764648,0.3486874471936046,0.3405096526972209,13600,201.5085023128702,41.666666666666664
