iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.5183398723602295,-130.40707476358813,16.42802468842036,-109.77161588103628,-146.9255572611019,0.0,0.7416485581037895,0.1,0.039264678955078125,0.047284841537475586,0.052127127,0.13571744,-130.40707476358813,-1.1659660360710005,-1.2995583966394595,0.0,400,0.02353191375732422,0.9992464999492834,0.9917662929344558,400,-117.19894207477493,0.0
1,0.41072940826416016,-107.81182699589013,26.1207351468939,-67.5663241049138,-139.26540105171094,0.0,0.9108646364448365,0.1,0.0023877620697021484,0.04698991775512695,0.046734843,0.11365298,-128.14754998681835,-0.995500783890509,-1.0733763492289743,0.0,400,0.02264571189880371,0.990617143275907,0.9801927319305858,800,-119.96071995412923,0.0
2,0.42465829849243164,-124.21452317254688,26.048127006848475,-80.60973800477274,-146.19343526345278,0.0,0.8923612797275754,0.1,0.0024797916412353516,0.04710125923156738,0.062603384,0.11129032,-127.7542473053912,-1.142494425970772,-1.2373337502029398,0.0,400,0.02239680290222168,0.9825591201301249,0.9677796107665726,1200,-138.1212203168016,0.0
3,0.4311695098876953,-127.31105394409862,16.86444134839042,-99.57127610542895,-145.07763073216526,0.0,0.7742043531020812,0.1,0.0024204254150390625,0.05014300346374512,0.051691156,0.13703848,-127.70992796926195,-1.1724443139235579,-1.2682840673836309,0.0,400,0.03580331802368164,0.9680701331474221,0.9441475787636574,1600,-136.4429110237463,0.0
4,0.4501185417175293,-145.4894565868758,10.44587225117895,-127.77786863189199,-154.35562110661505,0.0,1.0247841798692987,0.1,0.002457141876220703,0.04715323448181152,0.05637577,0.096443914,-129.48788083102335,-1.2812003385059918,-1.4498857205162845,0.0,400,0.021221637725830078,0.948577565230049,0.9140218749161708,2000,-141.1992761285035,0.0
5,0.4568459987640381,-139.7023420790427,12.845328103753218,-119.63442923927241,-155.24312714235094,0.0,0.8925715395288164,0.1,0.0024373531341552734,0.04781222343444824,0.052302483,0.117609225,-130.5093269558253,-1.2200772035276597,-1.3931500826887833,0.0,400,0.02007269859313965,0.911315271272948,0.8595601905140695,2400,-142.14955530515314,0.0
6,0.45487189292907715,-126.31039883368894,11.826036565016542,-116.2106704471163,-146.09750210831086,0.0,0.7775664821302767,0.1,0.002377033233642578,0.04678750038146973,0.054611474,0.1236907,-130.08943414361164,-1.1173745335307785,-1.259172016022216,0.0,400,0.034157514572143555,0.8491780602049622,0.7760889518024794,2800,-126.63329881401206,0.0
7,0.46939754486083984,-132.49571988096992,14.401432786909112,-116.24698382336878,-153.10795333614635,0.0,0.8413862212469981,0.1,0.002395153045654297,0.04692339897155762,0.04314868,0.10684123,-130.3300627173475,-1.1665730197137862,-1.3202877516522835,0.0,400,0.020763397216796875,0.7910601712953071,0.7048585054908627,3200,-119.75054936628753,0.0
8,0.4680614471435547,-125.16610582904264,14.904881794553265,-108.56244080625324,-148.47514126827213,0.0,0.8111038187988584,0.1,0.002493619918823242,0.04761481285095215,0.049407367,0.12754054,-129.813667028517,-1.095273139580127,-1.2477087879516153,0.0,400,0.020078659057617188,0.6890390709204692,0.5866937052287229,3600,-119.25677921891794,0.0
9,0.4809291362762451,-128.2348508445549,17.968066591437854,-108.48249497194075,-154.92957132532104,0.0,0.9682912423672232,0.1,0.002431631088256836,0.04716849327087402,0.05490614,0.10627718,-129.65578541012079,-1.157517676338403,-1.2783164948499302,0.0,400,0.060271263122558594,0.5962065483709597,0.48878221121458665,4000,-116.14470108042354,0.0
