iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.8551638126373291,-234.83450937892422,26.725281515757125,-199.64824379400278,-261.3453745691344,0.0,0.09921722795612035,0.1,0.01233983039855957,0.04150223731994629,0.051899366,5.6876426,-234.83450937892422,-0.08541445872706767,-2.5976105521196144,0.0,92,0.0035872459411621094,1.0010763197027555,1.0010763197027555,92,-322.96263387734217,0.0
1,0.860431432723999,-236.68686826751292,50.444832511835635,-184.2861548642249,-293.9653585747573,0.0,0.1567975667319539,0.1,0.002042055130004883,0.041191816329956055,0.052091375,1.0288398,-235.0197452677831,-0.0877860621817658,-2.6236098941558765,0.0,94,0.002262592315673828,1.0010257176304005,1.0010257176304005,186,-311.531572096984,0.0
2,0.8149087429046631,-249.28450339771783,17.73100202612671,-235.0109948799269,-279.67967556216814,0.0,0.14212222490361376,0.1,0.0019960403442382812,0.043581247329711914,0.046143226,1.7297114,-236.44622108077658,-0.09715445229226524,-2.774853542943462,0.0,89,0.002200603485107422,1.0010048893102308,1.0010048893102308,275,-296.2564713058149,0.0
3,0.8433837890625,-245.72572646896816,24.720017482892032,-204.7263392648636,-268.28528852440536,0.0,0.1452604804637967,0.1,0.0019576549530029297,0.04225468635559082,0.05323911,1.5949708,-237.37417161959576,-0.08483094592905985,-2.7475200135667444,0.0,99,0.002207040786743164,1.0010529099047878,1.0010529099047878,374,-326.71977318774435,0.0
4,0.8536238670349121,-256.3335331758303,42.2630650294949,-189.7075392872236,-306.6485071057782,0.0,0.1507994257343602,0.1,0.0020284652709960938,0.04097318649291992,0.054324266,1.1102201,-239.27010777521923,-0.09722922302747104,-2.8788523901015206,0.0,90,0.0021042823791503906,1.0009882929455165,1.0009882929455165,464,-313.3582649111128,0.0
5,0.8280336856842041,-269.89987581636854,16.166625206622683,-245.61599695731678,-288.54827459217404,0.0,0.13810891775896078,0.1,0.001941680908203125,0.04192781448364258,0.052586474,1.9901147,-242.33308457933416,-0.10323130040201932,-3.0604153918956625,0.0,89,0.002252817153930664,1.0009678301278448,1.0009678301278448,553,-332.2652576326518,0.0
6,0.8923006057739258,-225.16202346794296,32.575156945982755,-184.734016139285,-270.55935209259707,0.0,0.15111539519099154,0.1,0.07488369941711426,0.22770237922668457,0.048792392,0.93281335,-240.61597846819504,-0.0871181564198345,-2.489009392817054,0.0,96,0.003072500228881836,1.0011085260569694,1.0011085260569694,649,-348.96384402346877,8.333333333333334
7,0.8762917518615723,-263.1031697706668,28.384811659756483,-222.22972238631743,-302.3859254896601,0.0,0.14668955418784185,0.1,0.0020313262939453125,0.04185199737548828,0.048310023,1.4171555,-242.86469759844223,-0.1025452431533135,-2.9592489896999763,0.0,89,0.0020875930786132812,1.0009661951329627,1.0009661951329627,738,-352.62937384937317,8.333333333333334
8,0.8802480697631836,-239.6718659862958,22.52264050218006,-201.57891096124462,-258.6292118059557,0.0,0.1519307900720279,0.1,0.0019609928131103516,0.041965484619140625,0.051547244,1.4043064,-242.5454144372276,-0.09169740312941288,-2.667461995294989,0.0,89,0.002045869827270508,1.0010670290275907,1.0010670290275907,827,-332.0977684574759,8.333333333333334
9,0.8509879112243652,-237.24470067651208,43.66031850288741,-167.6497402928325,-276.12197811590755,0.0,0.14570436141375215,0.1,0.0020241737365722656,0.04500699043273926,0.04969036,1.1349392,-242.01534306115605,-0.09165955671601023,-2.6554076674465428,0.0,91,0.002410888671875,1.0010626298485288,1.0010626298485288,918,-315.25692751748244,8.333333333333334
10,0.8779892921447754,-254.8072499660218,46.702303475919244,-181.31435019482393,-306.8883967606892,0.0,0.15471056492482718,0.1,0.0019578933715820312,0.04236769676208496,0.050128743,1.0303091,-243.29453375164263,-0.09461462310343904,-2.860004705277109,0.0,93,0.002206563949584961,1.0009663396052688,1.0009663396052688,1011,-304.5489140863412,8.333333333333334
11,0.8670792579650879,-238.02779586503146,27.55800913138896,-206.7423113523323,-280.117979121298,0.0,0.1369736840774216,0.1,0.002034902572631836,0.041883230209350586,0.048162926,2.9668112,-242.7678599629815,-0.09401005751240524,-2.635672688470409,0.0,88,0.0020706653594970703,1.0010524369295049,1.0010524369295049,1099,-301.7838514312034,8.333333333333334
12,0.8764116764068604,-231.54608750399294,26.797811746594054,-185.35754628434717,-250.24960951556346,0.0,0.14839898667620943,0.1,0.0019466876983642578,0.04320168495178223,0.050112832,1.5139661,-241.64568271708265,-0.08643927683229528,-2.5565257480713477,0.0,92,0.0021812915802001953,1.0010991154499689,1.0010991154499689,1191,-290.2445302191164,8.333333333333334
13,0.8699376583099365,-258.7178644843981,29.442453431900535,-211.51704273450684,-290.0161452240995,0.0,0.15599492690900424,0.1,0.002034425735473633,0.04200625419616699,0.05170224,1.6956865,-243.35290089381422,-0.09705560441207242,-2.901113298810756,0.0,92,0.002058267593383789,1.0009900629937163,1.0009900629937163,1283,-292.9557819050308,8.333333333333334
14,0.8882930278778076,-241.5985735118502,14.305475657549131,-226.72665729404048,-261.3644130775973,0.0,0.1556805880802183,0.1,0.0019850730895996094,0.04577183723449707,0.051305998,1.4403934,-243.17746815561782,-0.08625577586409837,-2.689821941981569,0.0,98,0.0020995140075683594,1.0010375591155942,1.0010375591155942,1381,-286.9733842696318,8.333333333333334
15,0.8806967735290527,-234.0876930025408,36.58500118549347,-193.99111558926074,-280.8783529661126,0.0,0.14352199283965703,0.1,0.0019087791442871094,0.04406023025512695,0.048979037,1.7078097,-242.26849064031012,-0.09792098670664119,-2.6003449931218547,0.0,85,0.002193450927734375,1.0010527719840874,1.0010527719840874,1466,-287.5124612056497,8.333333333333334
16,0.8799312114715576,-263.2864313586515,49.089917259500176,-201.91095119506292,-335.047307622537,0.0,0.14403556079522298,0.1,0.0019364356994628906,0.04098033905029297,0.049743816,1.34887,-244.37028471214427,-0.10002807221633113,-2.976461852031494,0.0,91,0.002048015594482422,1.0009587355172453,1.0009587355172453,1557,-281.8802521106047,8.333333333333334
17,0.8887805938720703,-254.59677216484963,7.968392951288772,-246.6192243826878,-267.4168084599461,0.0,0.15583774981585194,0.1,0.0020380020141601562,0.04076433181762695,0.05020203,1.3027219,-245.3929334574148,-0.09151930362772462,-2.858064844505752,0.0,94,0.0021305084228515625,1.0010314829418918,1.0010314829418918,1651,-308.01757775982145,8.333333333333334
18,0.8453707695007324,-259.1863388504865,18.156810195576316,-232.85458983989272,-281.022312814262,0.0,0.15390636311401715,0.1,0.0020933151245117188,0.041628122329711914,0.04955754,1.196292,-246.772273996722,-0.10008837849544049,-2.936938026596626,0.0,88,0.002239704132080078,1.0010105678955756,1.0010105678955756,1739,-299.67425730557665,8.333333333333334
