iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.3113737106323242,-381.06355117601765,5.945765708508422,-374.6813311747386,-390.7307208185989,0.0,0.22332445984251087,0.1,0.0224301815032959,0.05296921730041504,0.0589287,1.115249,-381.06355117601765,-3.7364455358148376,-3.7994639167380333,0.0,400,0.026857852935791016,0.9992341012126015,0.9965996554232772,400,-365.12585762561724,0.0
1,1.2260494232177734,-399.10172613405246,13.613599232298576,-377.173065530877,-413.1431368930072,0.0,0.3547635371197638,0.1,0.0026946067810058594,0.05930614471435547,0.05196648,0.33558136,-382.86736867182117,-3.9153866524836114,-3.9780971939884147,0.0,400,0.029425859451293945,0.996768244506564,0.9919772172767425,800,-361.11018547456314,0.0
2,1.282449722290039,-396.1702731087483,8.380579399864496,-383.19980584794513,-406.54299280116953,0.0,0.3576157873058209,0.1,0.002590656280517578,0.05088233947753906,0.050990883,0.39618692,-384.1976591155139,-3.8855853514816836,-3.949122526748738,0.0,400,0.02581334114074707,0.9919297020193825,0.9810745512828503,1200,-359.4382309670779,0.0
3,1.2595350742340088,-398.1723050372732,7.420996204738742,-386.6771492654416,-405.65138368461055,0.0,0.3444761960795556,0.1,0.0025637149810791016,0.05083870887756348,0.050898388,0.37311932,-385.5951237076898,-3.904519034658145,-3.968669764233665,0.0,400,0.02960515022277832,0.9811407428930178,0.959466863911434,1600,-359.933682736644,0.0
4,1.2810907363891602,-394.59339920627747,11.322444543825538,-377.51652371887036,-407.0291995141143,0.0,0.3213687318727771,0.1,0.0024514198303222656,0.05743694305419922,0.05086948,0.4087181,-386.4949512575486,-3.8700989059570285,-3.932986146005886,0.0,400,0.024923324584960938,0.9594809599107346,0.9212530304763661,2000,-359.8782105843448,0.0
5,1.301506757736206,-394.320055270334,10.556643743098077,-382.55896739492965,-405.99158597506585,0.0,0.3478250284902455,0.1,0.003304719924926758,0.05827927589416504,0.05062534,0.35713997,-387.2774616588272,-3.869291409177575,-3.9315401005452824,0.0,400,0.02883601188659668,0.9211839178086383,0.8602588123615102,2400,-359.61594584917833,0.0
6,1.277635097503662,-388.09140140734263,10.954410500836817,-375.8964396905693,-405.56184128687386,0.0,0.3513572548828688,0.1,0.002500772476196289,0.06046438217163086,0.04870409,0.35103577,-387.35885563367873,-3.805563642811096,-3.868787280830523,0.0,400,0.02347850799560547,0.8591533817678259,0.7718367975546515,2800,-356.5400614698162,0.0
7,1.3073511123657227,-402.2261944481085,5.396165384876836,-396.89039601890624,-410.80190158824536,0.0,0.3802042129250611,0.1,0.003468036651611328,0.05891132354736328,0.050245263,0.2997393,-388.84558951512173,-3.9465972448966333,-4.009884181444325,0.0,400,0.029442548751831055,0.7749194786422975,0.662633766813151,3200,-334.22421113833354,0.0
8,1.292426586151123,-393.96191460088875,12.220447944858375,-373.2741726777101,-404.8415599333973,0.0,0.34082296620933356,0.1,0.0025739669799804688,0.05307435989379883,0.0501845,0.34466943,-389.3572220236984,-3.8633297404214053,-3.9273043709726054,0.0,400,0.03687644004821777,0.6628048943625745,0.5375722202103915,3600,-345.6474957529922,0.0
9,1.3719139099121094,-389.90191195543105,7.908702116950311,-376.9060856194797,-397.50469369101046,0.0,0.3496635688856411,0.1,0.00440526008605957,0.058670997619628906,0.04982634,0.35405838,-389.41169101687166,-3.8219964761346223,-3.8862208596455026,0.0,400,0.027009248733520508,0.5315024810124381,0.41328147551140415,4000,-373.61498301747696,0.0
