iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2553253173828125,-437.6270368068016,16.967455819949222,-408.72085940571367,-452.21004476062615,75.0,0.1366954226224523,0.1,0.03457164764404297,0.062835693359375,0.07198972,1.2733313,-437.6270368068016,-0.17474920532371024,-2.533168352555464,75.0,355,0.020879268646240234,1.0000818098869766,0.998875654648031,355,36.81718814572435,100.0
1,0.9661486148834229,-437.12034897495795,6.28378113868746,-428.3440315209194,-444.0583886485467,75.0,0.2892491781130846,0.1,0.003135204315185547,0.06177687644958496,0.05027945,0.4161681,-437.57636802361725,-0.17356840932542847,-2.5301604119787093,75.0,351,0.02119135856628418,0.9988747656863136,0.9971703264428144,706,32.514718898980895,100.0
2,0.9789116382598877,-436.21868529885194,15.377658735851671,-418.3230288742435,-457.369983394562,75.0,0.2602923088460451,0.1,0.0035698413848876953,0.06333231925964355,0.04986381,0.48940817,-437.4405997511407,-0.17512463412277202,-2.5253476423231715,75.0,356,0.027954578399658203,0.9971873037273115,0.9940456893992834,1062,20.143890074702753,100.0
3,0.9966869354248047,-445.7813270086513,10.879430915390108,-430.2150469608459,-456.45374264405035,100.0,0.27314925520711175,0.1,0.0034542083740234375,0.06677627563476562,0.04944384,0.4998059,-438.2746724768918,-0.16763878609974991,-2.587339459702034,100.0,362,0.021004676818847656,0.9941587844450301,0.9885833696324837,1424,25.272435235895944,100.0
4,0.9918563365936279,-441.03085960702646,13.580412334966832,-418.7854743561164,-453.96208788059613,100.0,0.2629573306438365,0.1,0.0033812522888183594,0.06296467781066895,0.049938746,0.46701714,-438.55029118990524,-0.17105364722587488,-2.556624802410491,100.0,358,0.022133827209472656,0.9884208806339132,0.9788647233595416,1782,20.78442405036677,100.0
5,1.0221354961395264,-429.7725291174689,9.033393346298508,-419.03272154417533,-441.79955477314974,100.0,0.2606773141347808,0.1,0.004266977310180664,0.06490254402160645,0.049889967,0.61182225,-437.6725149826616,-0.1724985908905693,-2.4821376741132437,100.0,349,0.022061824798583984,0.9786743296800443,0.9633460890330865,2131,24.107123896927803,100.0
6,1.04864501953125,-437.6303219624665,9.379811948232158,-425.1242348348883,-449.60610029597194,100.0,0.2671873709520585,0.1,0.0032744407653808594,0.07338547706604004,0.049958717,0.48523423,-437.66829568064213,-0.1714768676990592,-2.5352379125532187,100.0,357,0.021841049194335938,0.963508861598079,0.9404209793348098,2488,36.52572178762288,100.0
7,1.061204433441162,-450.85579830685754,5.82932052873998,-446.1651117070543,-460.79475201093214,50.0,0.2744851380167302,0.1,0.003545522689819336,0.06529116630554199,0.05029834,0.4575104,-438.98704594326364,-0.17581255873210708,-2.622268564963697,50.0,361,0.02115941047668457,0.9412683917545887,0.9082616053991552,2849,31.902233466286955,100.0
8,1.0538244247436523,-437.97107219819355,8.417431771848959,-424.9139490901097,-448.2584734624811,100.0,0.26194148293688363,0.1,0.0030336380004882812,0.06340765953063965,0.049919866,0.47415859,-438.8854485687566,-0.17380219795301977,-2.5383321873144022,100.0,354,0.021733999252319336,0.9068236964930556,0.8610840910064083,3203,29.031413710211936,100.0
9,1.0549538135528564,-443.3257045750006,14.344048723681992,-421.6595820165759,-461.94836775882675,50.0,0.26888604501291025,0.1,0.0033752918243408203,0.06499147415161133,0.049562942,0.48177075,-439.32947416938106,-0.17159025861870997,-2.5725804625482445,50.0,357,0.021634578704833984,0.8620417353144938,0.8028403501292749,3560,27.38407223342968,100.0
