iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.39853429794311523,-134.8788611349674,11.59448167074023,-123.23415440142315,-147.0433732769245,0.0,0.756706222163777,0.1,0.011939048767089844,0.04490208625793457,0.05030993,0.12952027,-134.8788611349674,-1.1999770332809074,-1.3442510564784633,0.0,400,0.022013187408447266,1.0004900941731902,0.9929908334139965,400,-128.18516234914864,0.0
1,0.3842604160308838,-95.91282234602082,28.09175569927803,-53.066432530585864,-131.2984704526326,0.0,1.0812894381707452,0.1,0.002232074737548828,0.045336246490478516,0.04969333,0.0895878,-130.98225725607273,-0.9685747071592785,-0.9544174565108925,0.0,400,0.02282428741455078,0.9912931922935434,0.9813299835815852,800,-118.25550714509649,0.0
2,0.35381150245666504,-128.03348504075947,18.896915365701975,-97.68126997472099,-144.46176343116,0.0,0.8937188768571704,0.1,0.0022029876708984375,0.04715561866760254,0.056603327,0.112255484,-130.6873800345414,-1.1110862696587231,-1.276358718494976,0.0,400,0.02254796028137207,0.9844982761840766,0.9714746451979523,1200,-121.94790332491378,0.0
3,0.37035393714904785,-120.11596380033758,29.588394991211295,-75.47225492920755,-147.37097360676438,0.0,0.9374044237868627,0.1,0.002326488494873047,0.04462575912475586,0.05170652,0.10475326,-129.630238411121,-1.1090121496068601,-1.1968615726605099,0.0,400,0.02311253547668457,0.970397062584505,0.9487902648153581,1600,-123.75348428581809,0.0
4,0.36542201042175293,-103.39983085162962,20.02652641344213,-73.4996423954467,-126.12343372252936,0.0,0.8515799559799806,0.1,0.002168893814086914,0.048069000244140625,0.054291688,0.1371005,-127.00719765517186,-1.0194666550606968,-1.0299797288322865,0.0,400,0.023041486740112305,0.9419919813756769,0.9056460369599245,2000,-98.56706004865622,0.0
5,0.3637819290161133,-82.24452759847321,54.68200817978437,0.46944754253765053,-152.5319374231424,0.0,0.8865210581647531,0.1,0.0021784305572509766,0.049681663513183594,0.045801744,0.11594942,-122.53093064950201,-0.9699257967597624,-0.8203310239921859,0.0,400,0.02307724952697754,0.9190323655246646,0.8800858943792977,2400,-85.15256497942904,0.0
6,0.40856456756591797,-95.42816912720966,37.763030132953105,-38.91490672016493,-135.45659809504406,0.0,1.1919021610102982,0.1,0.002145528793334961,0.0447230339050293,0.053785108,0.093571246,-119.82065449727278,-0.959311426586752,-0.9630856781010737,0.0,400,0.022864341735839844,0.8682059665137455,0.8114679591581203,2800,-89.15230105093679,0.0
7,0.41112661361694336,-128.86829419755497,18.09960065252584,-100.20796719493369,-148.87987774464506,0.0,0.7646746269802751,0.1,0.002078533172607422,0.045361995697021484,0.050277382,0.123474315,-120.72541846730101,-1.1543384738881008,-1.2845119932796125,0.0,400,0.02306365966796875,0.8241556595530136,0.7436946733521707,3200,-72.87720405858646,0.0
8,0.4179954528808594,-80.53872522136491,7.414007358705046,-74.26739786820573,-92.93306028724237,0.0,0.805433777876071,0.1,0.0022513866424560547,0.04794430732727051,0.050463367,0.119753145,-116.7067491427074,-0.8568865299793065,-0.8040073959928697,0.0,400,0.023066282272338867,0.6077369999393628,0.4889808694451069,3600,-76.40217275943384,0.0
9,0.3844592571258545,-118.23082828025048,16.252717007954665,-100.24420322125805,-143.11702035611168,0.0,0.9309610261339891,0.1,0.0021495819091796875,0.04378485679626465,0.06040187,0.11261719,-116.85915705646171,-1.0616245696309874,-1.1790714701186953,0.0,400,0.02249884605407715,0.6379731817787769,0.53204728921349,4000,-74.25520764880834,0.0
