iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.6163485050201416,-20.485010112027666,8.7496193698627,-7.255530402920009,-29.826313594743063,0.0,0.6758674938561859,0.1,0.07641148567199707,0.7171280384063721,0.0496965,0.17318206,-20.485010112027666,-0.24224416884536473,-0.20224416884536472,0.0,400,0.04206395149230957,1.0130588316827014,0.9750360618404497,400,-22.83789069664841,0.0
1,0.4031360149383545,-16.572932544745743,6.313983255102371,-8.377262570477722,-25.35244428287069,0.0,0.8707874268900416,0.1,0.0025653839111328125,0.05112051963806152,0.053408775,0.13061005,-20.093802355299474,-0.18344373499941652,-0.16344373499941656,0.0,400,0.0244598388671875,0.9663307183019144,0.9180756847448814,800,-21.93259647985435,0.0
2,0.46118712425231934,-15.839852449250408,13.689350706319662,7.540873550457954,-27.31336459748948,0.0,0.844688757897419,0.1,0.002560138702392578,0.05148124694824219,0.047712784,0.12788424,-19.66840736469457,-0.19652114710781896,-0.15652114710781895,0.0,400,0.029999732971191406,0.9596663285491536,0.9292991195411111,1200,-17.621061780259534,0.0
3,0.4458317756652832,-15.115330713873842,8.948919524786536,-2.464198811355453,-26.946028930645916,0.0,0.7242526569290766,0.1,0.002532482147216797,0.051470041275024414,0.046793,0.1345684,-19.213099699612496,-0.1691872765857816,-0.1491872765857816,0.0,400,0.024115324020385742,0.8778217663568522,0.8022357112778818,1600,-18.012793318168193,0.0
4,0.4903578758239746,-16.952324904711716,7.504230154944229,-8.976002952935492,-29.284376006403743,0.0,0.9186584893521529,0.1,0.002590179443359375,0.051253557205200195,0.053638328,0.10655245,-18.987022220122416,-0.16800470708969778,-0.16800470708969778,0.0,400,0.02465677261352539,0.777768106933811,0.6598190863870838,2000,-24.737033200808327,0.0
5,0.47171616554260254,-16.099747078719776,5.141562223589156,-10.548280459867964,-21.854660607393466,0.0,0.8609543638667976,0.1,0.002586841583251953,0.05117177963256836,0.059674658,0.12329152,-18.698294705982153,-0.15965559930585183,-0.15965559930585183,0.0,400,0.024271726608276367,0.6334712183747875,0.49231820349475447,2400,-24.042288785905907,0.0
6,0.4731154441833496,-31.73601469566943,19.174926310922647,-12.791466818160115,-63.66685968516238,0.0,0.887595432202823,0.1,0.04867696762084961,0.2012615203857422,0.045394935,0.08442013,-20.00206670495088,-0.2032559735585112,-0.19028588738336405,0.0,372,0.06177997589111328,0.8037210603064475,0.7288117687471666,2772,-23.875879862153187,0.0
7,0.47841715812683105,-21.77018421802638,2.5211902918483875,-18.25675924756819,-25.38606077965996,0.0,0.7927068905587326,0.1,0.014559745788574219,0.051904916763305664,0.051589485,0.13026838,-20.17887845625843,-0.21561452601785716,-0.21561452601785716,0.0,400,0.03440570831298828,0.39240294965319805,0.2684150454580211,3172,-24.25112061152882,0.0
8,0.5152938365936279,-19.112349764608716,45.27597970107717,50.868588334889914,-75.79132627877462,0.0,1.005779811005283,0.1,0.002426624298095703,0.05048108100891113,0.052456252,0.09432902,-20.07222558709346,-0.2172061578988283,-0.0741630805068032,0.0,383,0.025653362274169922,0.9080529550153963,0.9005083053682897,3555,-24.957204886999108,0.0
9,0.5120358467102051,-20.884839354952945,6.047566230499086,-12.919099907194557,-29.598629046264,0.0,0.9050531794151873,0.1,0.002550840377807617,0.05022144317626953,0.057152785,0.10946484,-20.15348696387941,-0.20694776365811363,-0.20694776365811363,0.0,400,0.03244614601135254,0.27701976448453736,0.2788513653414593,3955,-22.42194997257513,0.0
10,0.49982714653015137,-26.334797547464618,5.572245637264963,-16.994943586388626,-31.637441211233487,0.0,0.9601226162612305,0.1,0.002514362335205078,0.06580233573913574,0.051302284,0.10459733,-20.77161802223793,-0.26093325131842177,-0.26093325131842177,0.0,400,0.04052400588989258,0.2740582717350438,0.2650128805967263,4355,-24.866315483730514,0.0
11,0.512803316116333,-17.056467151625114,7.310697673223748,-11.066429908308187,-29.155632390036022,0.0,0.7891424197213454,0.1,0.0025086402893066406,0.05011630058288574,0.053611107,0.12279907,-20.40010293517665,-0.16911133167239717,-0.16911133167239717,0.0,400,0.0339505672454834,0.45622898594290584,0.39892061829987485,4755,-24.185225918135895,0.0
12,0.5146539211273193,-29.26614938060877,16.53772911702344,-14.647476008668564,-56.034161598203745,0.0,0.5340060358631974,0.1,0.002594470977783203,0.048995256423950195,0.054864123,0.1715436,-21.286707579719863,-0.21586226289837182,-0.16522361824283005,0.0,322,0.03062891960144043,0.5102370811253156,0.5108016339057988,5077,-24.768263917465386,0.0
13,0.7085905075073242,-16.10031437767788,5.968513269294446,-6.6954629021779635,-22.111752177559918,0.0,0.9247314339283959,0.1,0.002576112747192383,0.04990410804748535,0.048932876,0.107896544,-20.768068259515665,-0.1595920273858027,-0.1595920273858027,0.0,400,0.060652732849121094,0.3990413480762814,0.3514627422695558,5477,-24.69693722853079,0.0
14,0.5579750537872314,-18.179708092201555,6.345450777378303,-8.932439185913655,-24.763610399448957,0.0,0.7736699344464681,0.1,0.0026154518127441406,0.051912546157836914,0.04896939,0.12452477,-20.509232242784257,-0.18020952666057705,-0.18020952666057705,0.0,400,0.08177471160888672,0.2911137181748697,0.2781328382027901,5877,-13.319622640738565,0.0
15,0.4640355110168457,-13.881215563727103,6.187067531277225,-7.957139683841143,-24.2313696424215,0.0,0.903173969266963,0.1,0.014367341995239258,0.05237388610839844,0.050922904,0.10050173,-19.846430574878543,-0.1376807946199541,-0.1376807946199541,0.0,400,0.031118154525756836,0.41756864749627376,0.3539170341019393,6277,-10.18080049903819,0.0
16,0.48998212814331055,-16.462750461301496,9.134337309501326,-1.2123754590411264,-24.963879336289274,0.0,0.8121312736494524,0.1,0.0026509761810302734,0.05045318603515625,0.05228003,0.11906825,-19.508062563520838,-0.17349078450921554,-0.16349078450921556,0.0,400,0.02506566047668457,0.4480559603946609,0.44037148493746525,6677,-11.038623468337372,0.0
17,0.47223758697509766,-7.158139068883029,9.838292573180404,9.451635824805193,-16.135240619709933,0.0,0.9238653717046845,0.1,0.0025632381439208984,0.05107855796813965,0.046516713,0.09817017,-18.273070214057057,-0.11077712612640035,-0.07077712612640034,0.0,400,0.02830672264099121,0.9980831434383696,0.8734605978209151,7077,-18.167796876812393,0.0
18,0.5113580226898193,-14.601255740087197,5.006522480786916,-6.322380967766552,-19.584945470167778,0.0,0.891419162622948,0.1,0.002615690231323242,0.057492971420288086,0.049336087,0.11268681,-17.905888766660073,-0.14471688455507878,-0.14471688455507878,0.0,400,0.0387873649597168,0.29884024744570814,0.3146452040673429,7477,-19.436743075193526,0.0
19,0.45110487937927246,-14.908669080455951,4.309017298673814,-9.050377378667017,-19.170650707911765,0.0,0.7729844088120158,0.1,0.0026907920837402344,0.05040121078491211,0.058858994,0.17347576,-17.606166798039663,-0.14763598846472847,-0.14763598846472847,0.0,400,0.0315248966217041,0.30628681890487774,0.28827530883858327,7877,-19.167085553485038,0.0
20,0.5217018127441406,9.572261400260706,47.1870636116114,91.27741577930526,-19.5451146704129,0.0,0.812132630552527,0.1,0.0025479793548583984,0.05106806755065918,0.054455247,0.13522495,-14.888323978209625,-0.15222374232386232,0.0977762576761377,0.0,400,0.03315877914428711,1.0880475994524461,1.057240047492343,8277,-19.33216620327003,0.0
21,0.5303902626037598,-16.125710534650466,3.383884313260871,-11.47567631931019,-20.68545597197004,0.0,0.8256013067050749,0.1,0.002519369125366211,0.05221056938171387,0.050204203,0.136177,-15.01206263385371,-0.15956174350472743,-0.15956174350472743,0.0,400,0.0824277400970459,0.39669765081856295,0.44874428652687826,8677,-19.58599144645621,0.0
22,0.4836711883544922,-15.312557459798334,3.4552842655071117,-10.64383460674486,-18.687819713039374,0.0,0.6699979477240563,0.1,0.0025415420532226562,0.050029754638671875,0.048559774,0.19208452,-15.042112116448173,-0.1516646767152403,-0.1516646767152403,0.0,400,0.025392532348632812,0.423276987893328,0.3703219459899811,9077,-19.333456463112864,0.0
23,0.49125027656555176,-18.548868188133614,3.7875246477208746,-14.827760927722359,-23.367146147767993,0.0,0.8429641464525786,0.1,0.0025751590728759766,0.051522254943847656,0.05102972,0.10781139,-15.392787723616717,-0.18358904611118346,-0.18358904611118346,0.0,400,0.16510939598083496,0.437300046483498,0.3604101457292829,9477,-19.558787865543472,0.0
24,0.5392811298370361,-6.651185672809502,10.782704814961347,11.034874081456518,-16.272448522005373,0.0,0.9651988076308251,0.1,0.04808855056762695,0.2211289405822754,0.05258441,0.118816346,-14.518627518535997,-0.10556445548735845,-0.06556445548735844,0.0,400,0.030967235565185547,1.0175130797026302,1.043166631517309,9877,-19.99753526032526,0.0
25,0.5801162719726562,-15.803334428101717,2.2857604838962136,-14.029185283188427,-19.72471880273965,0.0,0.8673096287925471,0.1,0.0025892257690429688,0.05492973327636719,0.047048368,0.11747142,-14.647098209492569,-0.15693874644384223,-0.15693874644384223,0.0,400,0.030987977981567383,0.2845444684099966,0.27765574658845205,10277,-19.103714652809085,0.0
26,0.5188815593719482,-14.775523739560864,3.7875316123762595,-9.5839617064367,-18.44922360743496,0.0,0.8784014105875921,0.1,0.04879331588745117,0.08356618881225586,0.051668234,0.11772114,-14.6599407624994,-0.14666828157485828,-0.14666828157485828,0.0,400,0.025470495223999023,0.2699319024675308,0.2578560607814506,10677,-21.29248730921278,0.0
27,0.5424869060516357,-15.102176107058376,3.1851729650419065,-11.408077521070238,-18.505762280856594,0.0,0.8264111566560295,0.1,0.0025856494903564453,0.05151081085205078,0.047611322,0.13973041,-14.704164296955298,-0.14947838880103304,-0.14947838880103304,0.0,400,0.040537118911743164,0.24666110072114228,0.23068314645442248,11077,-20.018320658741086,0.0
28,0.5551795959472656,-14.998655297764621,6.360109994426873,-4.670067147998354,-20.701364156627886,0.0,0.8745904205821534,0.1,0.002567291259765625,0.05009126663208008,0.05392728,0.11350315,-14.733613397036232,-0.14880541320938398,-0.14880541320938398,0.0,400,0.04251527786254883,0.327960138073908,0.3256819885186392,11477,-20.44772514243775,0.0
29,0.4692420959472656,-13.392417275104627,4.430570045970103,-6.3404448004555265,-18.022147643090697,0.0,0.7697052715739525,0.1,0.0025932788848876953,0.051589250564575195,0.051007442,0.15586804,-14.599493784843073,-0.1329571260867208,-0.1329571260867208,0.0,400,0.024668216705322266,0.31206485164683073,0.2980363459287678,11877,-21.06531022768604,0.0
30,0.4761927127838135,-18.588205487646135,7.054385756485711,-9.695812365918561,-29.321196478905918,0.0,0.8129058931340559,0.1,0.0026311874389648438,0.05167126655578613,0.04635298,0.11569181,-14.99836495512338,-0.18429929266687334,-0.18429929266687334,0.0,400,0.02437734603881836,0.3177280182272764,0.30538286589028346,12277,-20.88954260912619,0.0
31,0.5051202774047852,3.953975485134074,33.896704802039565,62.35371988511187,-19.33395937384785,0.0,1.021554071518285,0.1,0.0026438236236572266,0.0686483383178711,0.04361435,0.09693532,-13.103130911097635,-0.12950523382749066,0.04049476617250929,0.0,400,0.026233911514282227,1.2192785358076783,1.1246968885482294,12677,-19.335201636209437,0.0
32,0.5120010375976562,-12.87336401198014,5.331547065894663,-4.540549758855168,-19.02137113299114,0.0,0.7107666577567746,0.1,0.002554655075073242,0.05217409133911133,0.05117322,0.15087914,-13.080154221185886,-0.14741673346760834,-0.12741673346760835,0.0,400,0.024126768112182617,0.3031062623194079,0.409816308914748,13077,-15.652007877407293,0.0
33,0.5314228534698486,-11.65016180882311,6.0062490900905985,-5.931936925802702,-20.218129656308847,0.0,1.081992091567273,0.1,0.0025818347930908203,0.5947039127349854,0.049671788,0.09391394,-12.937154979949609,-0.11527337455070279,-0.11527337455070279,0.0,400,0.24240970611572266,0.4350944912570041,0.42710457317331674,13477,-17.490080239553723,0.0
34,0.5491361618041992,-14.188835899073355,4.120705001896765,-7.586887189239312,-18.345548956392214,0.0,0.9228388815817774,0.1,0.05139613151550293,0.7276444435119629,0.051553562,0.11181682,-13.062323071861982,-0.14071732366879483,-0.14071732366879483,0.0,400,0.12932538986206055,0.39524966736852174,0.33892676435075586,13877,-16.501312545511592,0.0
