iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.1375792026519775,-540.5419594857246,11.675848329738969,-521.2916065551024,-550.804707574861,0.125,0.09655774431793643,0.1,0.03004002571105957,0.04161572456359863,0.050911102,1.3708484,-540.5419594857246,-0.10987380113489886,-0.1925063157373336,0.125,0.06075657184583702,66,0.00430607795715332,1.0002726924669678,1.0002726924669678,66,-571.4888042197051,0.49999999999999994
1,0.9490060806274414,-536.607550189424,7.591460077032819,-525.9263057005853,-547.3024363125024,0.375,0.1379488699972355,0.1,0.0020873546600341797,0.04561781883239746,0.049571116,0.8123064,-540.1485185560946,-0.11246702259569363,-0.17329851392562629,0.375,0.060273622290718185,74,0.0026781558990478516,1.00027551558673,1.00027551558673,140,-578.2842441380966,0.49999999999999994
2,0.9917161464691162,-537.5835627358205,5.969129328487894,-528.5058829497239,-544.4607850702615,0.375,0.1286189658997843,0.1,0.0020923614501953125,0.04282116889953613,0.05242879,0.77553415,-539.8920229740672,-0.12498246665694135,-0.17673882930054224,0.375,0.05983615006474341,69,0.002368450164794922,1.000273277803283,1.000273277803283,209,-584.5916240428891,0.49999999999999994
3,0.9809892177581787,-538.2664420935929,6.29038908656866,-527.7966813721865,-543.2550918293218,0.375,0.1317962397059671,0.1,0.0021386146545410156,0.04326176643371582,0.047307912,0.8292341,-539.7294648860197,-0.10360418124570454,-0.1817264850585013,0.375,0.05733359667393145,74,0.0023550987243652344,1.0002764340760355,1.0002764340760355,283,-593.2407326373835,0.49999999999999994
4,0.9950013160705566,-537.4587570013836,7.790010777284412,-525.3961386277073,-546.6410634029347,0.375,0.1288125063656442,0.1,0.001840353012084961,0.04307961463928223,0.05285994,0.91671413,-539.5023940975561,-0.12435781571497567,-0.17566441128911411,0.375,0.060284661345297925,70,0.0022988319396972656,1.0002712436452863,1.0002712436452863,353,-583.7051722389652,0.49999999999999994
5,1.003760576248169,-533.2064436961443,9.034807719438456,-524.092169880028,-545.3994159263277,0.5,0.12985456063911213,0.1,0.003253936767578125,0.04291081428527832,0.052110843,0.9444682,-538.8727990574149,-0.1049774291843538,-0.15771219482240934,0.5,0.05973257531237075,72,0.002474069595336914,1.000275563609154,1.000275563609154,425,-571.4073396401341,0.49999999999999994
6,1.021021842956543,-529.7469449380256,3.810502050879478,-525.7612748709715,-534.3560856616434,0.5,0.13234448984751812,0.1,0.0021147727966308594,0.042672157287597656,0.047885567,0.81061584,-537.960213645476,-0.10416158891417562,-0.1396735389527586,0.5,0.05993888089345407,68,0.002381563186645508,1.0002720921438086,1.0002720921438086,493,-569.8474167173771,0.49999999999999994
7,1.0396642684936523,-533.9072879397355,4.993586866410349,-526.5604942252475,-540.2324819755117,0.5,0.1387353540574693,0.1,0.002238035202026367,0.04262208938598633,0.04969623,1.1208036,-537.5549210749019,-0.10587538418531604,-0.1598532153848502,0.5,0.061125353149595926,79,0.0023152828216552734,1.0002730528030837,1.0002730528030837,572,-562.1314409810998,0.49999999999999994
8,1.0427567958831787,-530.0205127046506,2.8278278730649564,-527.155814311751,-534.6614074628092,0.5,0.13753312275465937,0.1,0.0021495819091796875,0.05012822151184082,0.05003839,0.8508797,-536.8014802378768,-0.10373095752673464,-0.14201649646770526,0.5,0.058768987457680874,74,0.0026857852935791016,1.0002760724631576,1.0002760724631576,646,-596.7640745334625,0.49999999999999994
9,1.0503666400909424,-537.406140613595,3.0559217104243475,-534.3564334714974,-541.2472248987183,0.375,0.1327831796263261,0.1,0.0022270679473876953,0.04297471046447754,0.05096515,0.7796797,-536.8619462754486,-0.09491235625815331,-0.17861911043447526,0.375,0.06121846416010009,72,0.0025005340576171875,1.000274747310222,1.000274747310222,718,-580.3751524370123,0.49999999999999994
10,1.03218674659729,-531.2232753466122,1.8518218583912611,-528.2266178674003,-533.1424892027289,0.5,0.13182998977708554,0.1,0.0021605491638183594,0.0429539680480957,0.049990322,0.8451712,-536.2980791825651,-0.10792419980381353,-0.1467876227216648,0.5,0.06049448476555163,72,0.0023593902587890625,1.0002760525893075,1.0002760525893075,790,-561.3729198178941,0.49999999999999994
11,1.0559539794921875,-527.3834980369919,6.696277931077052,-519.7112028609874,-537.8475034648716,0.5,0.1409282865049544,0.1,0.0020911693572998047,0.042589426040649414,0.054288395,0.73384064,-535.4066210680078,-0.10766147373651719,-0.12701747869968125,0.5,0.0604921874055209,69,0.0022215843200683594,1.000275464044028,1.000275464044028,859,-564.1895050992771,0.49999999999999994
12,1.0772132873535156,-532.2849781481751,12.787246501097371,-515.1966826378922,-547.5872303407517,0.375,0.1362879210546084,0.1,0.002091646194458008,0.06250238418579102,0.049972344,0.7049558,-535.0944567760246,-0.09785530021825349,-0.15352853152748927,0.375,0.05925295125187472,68,0.0025627613067626953,1.000275578176947,1.000275578176947,927,-557.1753770549733,0.49999999999999994
13,1.0726516246795654,-539.088221838053,3.696011648346363,-534.1308863548991,-544.5484972413501,0.5,0.15027119334132757,0.1,0.002126932144165039,0.044431209564208984,0.050891567,0.7529775,-535.4938332822275,-0.10895051470323047,-0.18744556580656418,0.5,0.059956200053526,86,0.002263307571411133,1.0002745133935675,1.0002745133935675,1013,-569.428303712317,0.49999999999999994
14,1.0603690147399902,-536.5253992140221,6.446290172131355,-529.4521681496041,-546.7663367499563,0.375,0.1413885066315562,0.1,0.0021104812622070312,0.04358673095703125,0.050559867,0.89632434,-535.596989875407,-0.0920429829359774,-0.17484953450752902,0.375,0.06141300523751285,80,0.0021483898162841797,1.0002738155695943,1.0002738155695943,1093,-566.8677959058242,0.49999999999999994
15,1.0851638317108154,-541.1507158629697,7.333600221272116,-533.5331026157437,-549.2237677019018,0.25,0.13509805622105858,0.1,0.002068758010864258,0.04308366775512695,0.049253333,0.8827841,-536.1523624741633,-0.09544531904380327,-0.19759411679677663,0.25,0.06021367179822352,72,0.002376556396484375,1.0002723455813374,1.0002723455813374,1165,-561.89858541573,0.49999999999999994
