iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.8717820644378662,-2541.2253825044263,3601.592970368774,553.857981173953,-8679.273229465869,0.0,0.34049071562424377,0.1,0.10073471069335938,0.9427845478057861,0.051117443,0.24436337,-2541.2253825044263,0.6671804926747767,-12.783296005590351,0.0,800,0.22928833961486816,0.9999869572798102,0.9997589897348991,800,-3390.42421387651,0.0
1,1.6851611137390137,-3535.285460848979,1756.8711492468283,-518.779688636934,-4913.460139759387,0.0,0.35994767065658323,0.1,0.09190034866333008,0.2951056957244873,0.051651962,0.355047,-2640.631390338882,0.0003544407418848289,-17.67625734326217,0.0,628,0.6208622455596924,0.9994990700060862,0.9983315128682924,1428,-3035.229105431407,0.0
2,1.781233549118042,-3513.850249585268,3533.5737040843255,-196.58751578256715,-8756.243261661797,0.0,0.3849499270085442,0.1,0.09389305114746094,1.6504502296447754,0.049087852,0.24981037,-2727.953276263521,0.19140206768694049,-17.569900674701607,0.0,626,0.13848185539245605,0.9989793829688174,0.9970907645372833,2054,-2668.474380758144,0.0
3,1.8466236591339111,-2926.128730302272,2520.9714514938905,559.0818769561124,-6566.208978803231,0.0,0.4477287853910165,0.1,0.09032225608825684,0.18360257148742676,0.05295703,0.22288044,-2747.770821667396,1.291268848702949,-14.679978681682131,0.0,800,0.04742097854614258,0.996119008272781,0.9884404802419284,2854,-2611.924380326735,0.0
4,1.8951733112335205,-1224.004591859776,1278.235323315535,-63.1745097680871,-3162.755585327595,0.0,0.43744930660712894,0.1,0.09923362731933594,1.547431230545044,0.050478596,0.20777112,-2595.394198686634,0.7124637956663596,-6.22475481450328,0.0,800,0.8355357646942139,0.982881094466856,0.9677908989487669,3654,-4007.2792388301755,0.0
5,1.8789665699005127,-4401.24939212517,1276.2531120052672,-3135.477116397878,-6364.21305362501,0.0,0.449276752640026,0.1,0.0038182735443115234,0.0772242546081543,0.04928254,0.22363484,-2775.9797180304877,1.3486433608917396,-21.97218602270665,0.0,800,0.04789876937866211,0.9753193840674519,0.9420176640021604,4454,-4324.214350466669,0.0
6,1.8137919902801514,-3854.5821757709864,2268.146847294522,-536.7964403373705,-6429.755573629569,0.0,0.4179848188888097,0.1,0.10235428810119629,2.5255064964294434,0.049917478,0.24295509,-2883.839963804538,0.16784255687785626,-19.254133936258405,0.0,682,0.6654276847839355,0.9533718996549316,0.9169786267056854,5136,-2939.813970163226,0.0
7,1.87443208694458,-3154.190953616629,1972.34870636588,-312.06585777859095,-5888.630768196227,0.0,0.3933346894375856,0.1,0.2610800266265869,1.811161994934082,0.05139181,0.2740268,-2910.875062785747,0.17593992686938875,-15.781318398529233,0.0,624,0.5827460289001465,0.8911221827169832,0.8352680143644363,5760,-2864.2180067858026,0.0
8,1.7915382385253906,-1608.3015339150725,900.1879407288777,-510.09998735696865,-2882.2953102218653,0.0,0.30637520500405446,0.1,0.09262919425964355,0.4480419158935547,0.051587768,0.30914417,-2780.61770989868,0.7631271531263129,-7.954297918181187,0.0,401,0.054976463317871094,0.735734545063972,0.6850399356773513,6161,-2850.051364993177,0.0
9,1.853135108947754,-1474.1165177620933,956.9795474213274,-639.7004158464485,-3091.0636308948638,0.0,0.40666547581506984,0.1,0.038958072662353516,0.07564377784729004,0.050200272,0.23434965,-2649.9675906850216,0.3638892699935229,-7.403661077533928,0.0,631,0.037175655364990234,0.7136785194273102,0.6645540467064063,6792,-2583.6066142944023,0.0
10,2.00433611869812,-328.28919315571795,1018.3825274966421,970.2474084308726,-1872.6129526518675,0.0,0.4161265902886779,0.1,0.09685587882995605,1.4596660137176514,0.05022808,0.18921146,-2417.7997509320917,0.3247441149244559,-1.7750920051637622,0.0,800,0.21738338470458984,1.6210380087968823,1.583619228079322,7592,-1893.1940987274254,0.0
11,1.9440863132476807,-919.626470364228,2362.1644012481593,969.6915362025688,-4943.370013130501,0.0,0.49230682109357343,0.1,0.003923892974853516,0.07533645629882812,0.050487433,0.18226938,-2267.9824228753055,1.5424468080567564,-4.685755835465195,0.0,800,0.04631757736206055,0.8768021595602823,0.8755334829414252,8392,-2191.892112426928,0.0
12,2.031397819519043,-3649.351982511992,2701.4882258450416,-860.9995936040889,-7426.6327010428495,0.0,0.4237359835579319,0.1,0.08221268653869629,0.07172298431396484,0.05165865,0.24489036,-2406.119378838974,1.181789781332587,-18.230941075958505,0.0,639,0.03635406494140625,0.8422112161070854,0.7928962193505147,9031,-1739.6311034367552,0.0
13,1.8981964588165283,-1321.510387788185,2071.347440191665,346.9184055229529,-4867.308151367489,0.0,0.4005826878344425,0.1,0.09534215927124023,1.4596648216247559,0.051780555,0.23116928,-2297.658479733895,0.6202730081052591,-6.673360690468647,0.0,625,0.055094242095947266,0.800137357104449,0.7847399493841319,9656,-1211.220938745216,0.0
14,1.9051997661590576,-4964.486922795182,3488.2585128285114,-575.367597640686,-9148.909968117308,0.0,0.45451851908862,0.1,0.08661508560180664,0.16075706481933594,0.052033495,0.2312349,-2564.3413240400237,0.2377151645300914,-24.77170458712832,0.0,800,0.05181550979614258,0.7887229244403835,0.7038553052542512,10456,-1391.9227494341976,0.0
15,1.92728853225708,-3721.935912175824,2369.124310155979,-1358.992859819232,-6904.0105576001115,0.0,0.3678906296180577,0.1,0.09783101081848145,1.6643319129943848,0.051180616,0.27632478,-2680.1007828536035,-0.34005338300793075,-18.575942362333855,0.0,668,0.71205735206604,0.6450169294093397,0.5710712268776611,11124,-1786.311921404483,0.0
16,1.9329466819763184,-3413.2699675687927,2048.917657787946,108.48731822247065,-4955.653728917713,0.0,0.4429986121338026,0.1,0.09603619575500488,1.4445762634277344,0.050417542,0.2507334,-2753.417701325123,0.2539699138509818,-17.100787347205824,0.0,800,1.2128984928131104,0.4817277979980166,0.43758359736354535,11924,-1617.6241989540615,0.0
17,1.9856760501861572,-3874.2168097239573,3291.8275828803035,-197.31592232320222,-7270.869077576871,0.0,0.4401250669796332,0.1,0.024202346801757812,0.07511544227600098,0.04945711,0.22295877,-2865.4976121650066,0.29711614907633543,-19.373027042469126,0.0,800,0.04768991470336914,0.6136817720163532,0.5856348644648343,12724,-2414.1759825275985,0.0
18,1.960329294204712,-1769.6536744202388,2851.072152398026,59.87615057463545,-6703.253553523286,0.0,0.3918278021779739,0.1,0.09232449531555176,1.4862568378448486,0.04809297,0.2692016,-2755.91321839053,0.3981678541064675,-8.850261989149383,0.0,617,0.03553485870361328,0.776455126432912,0.7607497659631196,13341,-3245.2472684880195,0.0
19,2.0223724842071533,133.4392699527584,110.03792875068712,317.4613372849812,29.307601305051474,0.0,0.45924986952688346,0.1,0.07305407524108887,0.07770419120788574,0.04933217,0.2718271,-2466.977969556201,1.3114712970944724,0.5209668618165556,0.0,800,0.04773378372192383,178.39651884226544,89.6132021310158,14141,-2022.1197190928385,0.0
20,2.0255794525146484,-2189.231422590986,2836.881190979594,1025.3641572031465,-5134.6472656651895,0.0,0.4563962815611052,0.1,0.0907602310180664,0.4115641117095947,0.05101691,0.22298655,-2439.2033148596797,0.9425330800534704,-11.024429069047736,0.0,800,0.04812026023864746,0.6975437159694453,0.6950855416133265,14941,-2195.5071785822615,0.0
21,2.0257692337036133,-2532.7342635532104,2443.959236625328,-189.40948877529448,-6145.662533323183,0.0,0.4177167747292595,0.1,0.7958798408508301,7.432469367980957,0.049836762,0.24477169,-2448.556409729033,0.7743284994527628,-12.646213420124951,0.0,619,4.872881889343262,0.5877676269303527,0.5699539114299952,15560,-1557.1693665726707,0.0
22,2.2586710453033447,-917.9396118990926,2131.835783359456,492.8309909110077,-4602.218959267493,0.0,0.46455814837537557,0.1,0.09366798400878906,1.5587220191955566,0.05087681,0.19587107,-2295.494729946039,1.142236977149052,-4.706466650033471,0.0,800,0.05330848693847656,1.1824211200289017,1.1300237661236994,16360,-1733.6828240483057,0.0
23,2.077850818634033,-866.5842723995918,1668.8037758462883,578.1094665836818,-3646.957458480228,0.0,0.4671570643423714,0.1,0.5186586380004883,5.59074854850769,0.0506494,0.18774778,-2152.603684191394,1.979934711602954,-4.42179274833543,0.0,717,0.8842532634735107,1.5558529686304368,1.35823985600767,17077,-1211.8443980406353,0.0
24,2.0843095779418945,-2826.231654618149,1940.1920227121893,16.091408110518977,-5201.38795814796,0.0,0.4462579573990471,0.1,0.004350423812866211,0.07701230049133301,0.04951172,0.220978,-2219.9664812340698,-0.06712511580751719,-14.162770876775287,0.0,800,0.04924774169921875,0.5487169551901651,0.5287684545666153,17877,-1239.5858182012228,0.0
25,2.0940353870391846,-1683.8248554482384,1997.9892112279554,480.4939470788897,-4630.417693832236,0.0,0.43823500567902385,0.1,0.07309436798095703,0.07671928405761719,0.052059017,0.21230158,-2166.3523186554867,1.0682734790471144,-8.4667960477509,0.0,800,0.04969477653503418,0.6425371253953372,0.6352123935951607,18677,-1236.245685839627,0.0
26,2.044069766998291,163.8295687209357,1027.9480336475149,1184.3880546513217,-1231.949044482363,0.0,0.37326170161993727,0.1,0.0036687850952148438,0.07193112373352051,0.05122637,0.20814316,-1933.3341299178446,1.6803353927027775,0.7325743470145201,0.0,648,0.04450178146362305,5.1874501368975015,4.338684538126257,19325,-1776.375637740962,0.0
27,2.303070068359375,-412.12751430156476,448.47682149744264,95.87325980224786,-1109.5392230786888,0.0,0.3962061325046288,0.1,0.08512425422668457,0.4339008331298828,0.049223136,0.21478127,-1781.2134683562167,0.37071006682913343,-2.190344603144775,0.0,800,0.0505824089050293,12.096491392063712,7.945004971365084,20125,-1631.255277709258,0.0
28,2.013516426086426,-2787.0756335517,2929.7649685224915,455.3632965736422,-6463.725218027935,0.0,0.43135653176209743,0.1,0.09024214744567871,1.4461297988891602,0.05000695,0.21162988,-1881.7996848757653,0.2861672153410147,-14.00039880687243,0.0,800,0.80214524269104,0.7075783307583696,0.7000133930935243,20925,-2394.2769825848914,0.0
29,2.009331703186035,-222.67652589343436,438.31664127028324,383.4740482765826,-855.6354969070371,0.0,0.3874987332008734,0.1,0.09561300277709961,0.20296788215637207,0.050410382,0.2602518,-1715.8873689775323,0.7612563155234406,-1.1857140396444366,0.0,628,0.03549695014953613,9.539209644074505,9.020585760771818,21553,-3192.431695363426,0.0
30,2.0364062786102295,246.72070676032246,521.5693720161938,678.1308107467438,-627.3602865481994,0.0,0.4420513801808042,0.1,0.09378170967102051,0.1449601650238037,0.05202898,0.24802943,-1519.6265614037468,0.7336313734636984,1.092991564574701,0.0,800,0.1193842887878418,6.040822757543812,4.720904663198059,22353,-3204.9555708769963,0.0
31,2.079390287399292,-1168.3711018113222,2235.4826083988223,919.2622406903832,-4934.407705357312,0.0,0.43644622097127667,0.1,0.0971214771270752,0.902702808380127,0.0502051,0.20948943,-1484.5010154445042,0.07874810263707968,-5.943214391552388,0.0,800,0.06757879257202148,0.8300179189518458,0.8268934050410073,23153,-3213.472023848765,0.0
32,2.0728390216827393,-1239.8908914093956,2193.0204055100576,1018.5730131932246,-4846.4890745570965,0.0,0.4563121023137012,0.1,0.09471464157104492,0.1404867172241211,0.049228806,0.19726574,-1460.0400030409933,1.6124202009854556,-6.287288728640936,0.0,800,0.04909801483154297,0.7995888206272052,0.7976158896339063,23953,-3074.082466083777,0.0
33,2.0977213382720947,-4019.0259631034423,3679.3385806931747,1010.7862168509357,-9186.116593739565,0.0,0.46136279876617314,0.1,0.062146663665771484,0.11001944541931152,0.051154952,0.22066136,-1715.9385990472383,0.6062110308396959,-20.104742467517617,0.0,800,0.0802469253540039,0.7785386460843677,0.7327119001743478,24753,-3445.130773358856,0.0
34,2.1256353855133057,-1587.360571564679,1722.313115208775,110.40415529557642,-4295.884101429312,0.0,0.4650807063144196,0.1,0.023303985595703125,0.8264508247375488,0.04802414,0.20811053,-1703.0807962989825,0.16301362437290573,-8.002523181291554,0.0,800,0.0621335506439209,0.6246104414139956,0.6147479051566045,25553,-3003.021463184872,0.0
35,2.146573305130005,-2037.33172862344,2273.2610747418744,257.72637310352303,-4361.938836690469,0.0,0.44255772335010096,0.1,0.0919339656829834,0.15289974212646484,0.05111665,0.22382313,-1736.5058895314282,0.9135730075142605,-10.260345341012545,0.0,800,0.06200838088989258,0.6720173012455339,0.6622952964902774,26353,-2194.7989282044714,0.0
36,2.181300163269043,-910.2041966539892,1047.0063036530096,467.6496460882676,-2245.711676265813,0.0,0.48743769111914304,0.1,0.09215450286865234,0.27688050270080566,0.050122768,0.21777678,-1653.8757202436846,0.5133027791601523,-4.619620789718594,0.0,800,0.42813920974731445,0.681222361769269,0.6681195200795645,27153,-3000.9136921268205,0.0
37,2.103809118270874,-626.3025376705607,1546.329364548703,859.073688249843,-3215.447402736416,0.0,0.45089099578671865,0.1,0.09493184089660645,0.16308069229125977,0.05046411,0.20660187,-1551.1184019863722,1.1091473943533021,-3.2378747680929334,0.0,800,0.04694700241088867,0.9714840197502316,0.9251440413268947,27953,-2707.69903508769,0.0
38,2.1519155502319336,116.4722409177512,834.6329349580037,792.3000541666133,-1293.4174900400274,0.0,0.3913484593800771,0.1,0.09381508827209473,1.5463452339172363,0.051158383,0.22173539,-1384.35933769596,1.1580278222049785,0.4449427224222665,0.0,800,0.05072140693664551,4.610176746838725,3.6281914572946063,28753,-2585.1919436226235,0.0
39,2.1444742679595947,-2127.359116754372,2798.431472686923,640.7636601140867,-5570.104317140865,0.0,0.4460200167866109,0.1,0.024253129959106445,0.2034592628479004,0.050278626,0.21567501,-1458.6593156018012,0.9309183569467692,-10.709230823930021,0.0,800,0.061798095703125,0.7287708234471227,0.7244115028246845,29553,-2578.0393292997774,0.0
40,2.1124489307403564,-676.0180841937453,1630.3071675175281,467.5113740304728,-3485.3395846902185,0.0,0.44167163789731834,0.1,0.0943143367767334,0.23390936851501465,0.050333392,0.19991173,-1380.3951924609955,1.3094123483333786,-3.4867607328038392,0.0,800,0.05934476852416992,0.9145169896135419,0.9072506158061047,30353,-2996.472933073767,0.0
41,2.127993583679199,-3515.2345436304577,1342.590371993793,-1466.1516762291853,-4920.083965503131,0.0,0.4497178951069128,0.1,0.08927559852600098,1.392991542816162,0.050677635,0.24233317,-1593.879127577942,-0.05258458394126432,-17.547285899321196,0.0,800,0.10367870330810547,0.5396196063620167,0.47252722001326686,31153,-3087.083413166893,0.0
42,2.1116392612457275,-2695.142474488337,1063.8193589216453,-1248.9846186827474,-4240.666905819845,0.0,0.455502843296317,0.1,0.0893106460571289,0.7560303211212158,0.050014723,0.24587078,-1704.0054622689815,0.7216738169268311,-13.492327015887575,0.0,800,0.050161123275756836,0.454072306933591,0.38604136177924614,31953,-3502.1623349866154,0.0
43,2.155489206314087,-4800.710406543453,586.2592256327575,-4091.8772834690863,-5669.46044994553,0.0,0.42871448719443483,0.1,0.003599882125854492,0.07573938369750977,0.050073586,0.30748275,-2013.6759566964288,0.04216297925305916,-24.003882904883614,0.0,800,0.0535120964050293,0.4757809044920601,0.36730739860636913,32753,-3545.9548337549695,0.0
44,2.1802148818969727,-2490.904740866085,2056.9140710014785,-365.34472239837646,-4951.039485644146,0.0,0.37207052334726837,0.1,0.09572887420654297,0.18116021156311035,0.050135914,0.3106098,-2061.3988351133944,-0.3097897611866642,-12.48476105865927,0.0,622,0.0359799861907959,0.45288584200059484,0.4413372287637089,33375,-3351.5926951982924,0.0
45,2.153247356414795,-4409.31894041151,2940.275267223056,-545.8333911889683,-8755.657527532117,0.0,0.4057169243164113,0.1,0.09920883178710938,0.1213216781616211,0.0487181,0.29447013,-2296.190845643206,-0.09682493582214499,-22.014185857789354,0.0,622,0.03453254699707031,0.46774447414643155,0.4051904660014274,33997,-3800.6508470153044,0.0
46,2.1920278072357178,-1924.9893383030292,2012.8369245211952,275.3531579539011,-5015.343661560254,0.0,0.41676296723478734,0.1,0.003841876983642578,0.07363486289978027,0.051771566,0.25572965,-2259.0706949091887,-0.3515919421097782,-9.6605300669958,0.0,800,0.04708266258239746,0.9973140592816241,0.8969978290144042,34797,-3608.286841625146,0.0
47,2.1801798343658447,-2600.052516092057,2025.2946865682663,133.30821225139692,-4964.004601522868,0.0,0.4463408535926131,0.1,0.09049320220947266,1.554971694946289,0.051055256,0.23804279,-2293.1688770274754,0.2773298266099067,-13.066508053665757,0.0,800,0.43338775634765625,0.4982971271137483,0.46867021407534165,35597,-4007.0425363497197,0.0
48,2.2355175018310547,-2400.1195115875253,1685.45496443273,-436.08746020203483,-5063.554233248383,0.0,0.46681301658350643,0.1,0.09489321708679199,0.09587502479553223,0.051240563,0.22215855,-2303.8639404834807,0.462759919972617,-12.017136647602536,0.0,800,0.05256485939025879,0.39241317972062273,0.38065477097936384,36397,-4263.617769194377,0.0
49,2.2471961975097656,-989.8235548964304,1638.8715213364424,222.1205878974236,-3810.0702959279693,0.0,0.4703063921063478,0.1,0.10188102722167969,0.64510178565979,0.049056757,0.2137031,-2172.4599019247757,0.8527019696912649,-5.0288957612853045,0.0,800,0.09179520606994629,1.1022951647659394,0.9412763341746578,37197,-4185.517908903567,0.0
50,2.214068651199341,-2182.552081366736,4245.824541577024,540.9153619970994,-9521.819725433666,0.0,0.45146136319697916,0.1,0.09486556053161621,0.10528278350830078,0.05084671,0.20251068,-2173.4691198689716,0.14461285572163474,-10.982665883430892,0.0,800,0.047080278396606445,0.778091866155794,0.7700891311618341,37997,-4675.380592524806,0.0
51,2.232105255126953,-2544.9783606046235,3864.8966508462213,895.6749108376957,-9021.198705343437,0.0,0.4472457994351994,0.1,0.09298062324523926,0.12691807746887207,0.05005726,0.20770344,-2210.620043942537,1.6426096189666421,-12.77996909632294,0.0,800,0.05096578598022461,0.7197151244770587,0.7074203506112232,38797,-3554.1029155023984,0.0
52,2.097707986831665,-1840.6575993614003,2209.240686060356,55.43614744665754,-5491.867092330134,0.0,0.37817588977243394,0.1,0.09409832954406738,1.5621819496154785,0.050879043,0.24368879,-2173.6237994844237,0.20520630841081997,-9.240923414418315,0.0,613,0.635883092880249,0.7884938023875411,0.7851095595381105,39410,-4262.240063037929,0.0
53,2.2170803546905518,-1881.0798768372676,1904.5488899797617,338.97896524253326,-4895.018355197847,0.0,0.4499930190429357,0.1,0.0930938720703125,0.9818358421325684,0.049548067,0.23844676,-2144.369407219708,0.926191616506816,-9.484726546979973,0.0,800,0.04766702651977539,0.5111056951160082,0.5052843356891991,40210,-3795.580481860979,0.0
54,2.2230215072631836,-969.230445027404,1475.7988168945487,-2.193673171069463,-3512.930962937052,0.0,0.4263886053910731,0.1,0.10100674629211426,1.6402068138122559,0.049838506,0.25176325,-2026.8555110004777,0.8616575426193899,-4.956221138024955,0.0,800,0.8767993450164795,0.8141258716296127,0.7515888247290585,41010,-2729.6874735971005,0.0
55,2.2316341400146484,414.6524172096459,921.1947980130195,1931.926595235627,-518.7377023545257,0.0,0.44085138330314083,0.1,0.09848928451538086,1.6371405124664307,0.050483633,0.23506266,-1782.7047181794655,0.7865768024115726,1.932181131399784,0.0,800,0.8810892105102539,4.7711430178585,3.328065704618772,41810,-2753.805168046967,0.0
56,2.2703840732574463,-1784.8406235477585,2319.081652162068,-224.14930718109284,-5794.422144785238,0.0,0.40762656525488533,0.1,0.0934913158416748,1.6353435516357422,0.051055737,0.19544478,-1782.9183087162949,-0.41950394852520456,-9.015666958895078,0.0,760,0.8059313297271729,0.7698264693502035,0.7677658846949752,42570,-2527.667929163845,0.0
57,2.2962377071380615,-2477.6673635998345,3779.9799157562506,255.61323750203195,-8996.807580904253,0.0,0.4783238185683599,0.1,0.09920811653137207,1.6516647338867188,0.050118014,0.18486309,-1852.393214204649,-0.33898192874046496,-12.449531473538975,0.0,800,0.884906530380249,0.7856733924178511,0.7717254724403798,43370,-3038.4814567896688,0.0
58,2.278837203979492,-2988.8040181420606,2817.6728769723363,-316.9931224884694,-6985.111541662561,0.0,0.432317148818383,0.1,0.09804701805114746,1.6389384269714355,0.050770167,0.23420523,-1966.0342945983903,0.5586220722835233,-14.895208085848319,0.0,620,0.6626613140106201,0.6281399399584668,0.5770758032365163,43990,-2846.1611233642284,0.0
59,2.3278868198394775,-2298.49078872223,2024.3336017999359,-115.7445987199726,-4926.74527721346,0.0,0.48230767215643633,0.1,0.10243511199951172,1.638606071472168,0.049580336,0.21441121,-1999.2799440107742,0.03619569914060132,-11.557161392036942,0.0,800,0.8846738338470459,0.5183137975715328,0.5016938916216219,44790,-2502.072821130848,0.0
60,2.2677664756774902,-4036.1762719806725,3368.4204649745247,183.56035634533274,-9216.50811674526,0.0,0.45920407934665564,0.1,0.09892892837524414,1.649731159210205,0.050335005,0.2141514,-2202.969576807764,0.5296229862322468,-20.184423797999877,0.0,800,0.879936933517456,0.5831497301919565,0.5224323306047968,45590,-2018.318256759994,0.0
61,2.3369204998016357,-911.9998107593219,1984.3201915842933,862.4923622293165,-4278.536402587464,0.0,0.43024101626129985,0.1,0.09611916542053223,0.3947136402130127,0.05047672,0.22253944,-2073.87260020292,0.421897021543092,-4.662600006815118,0.0,800,0.8870809078216553,1.395331473604422,1.2419973154206339,46390,-3110.877508463793,0.0
62,2.3153016567230225,-1725.0629084341854,1755.1405905520735,74.33322420064756,-4486.666870698903,0.0,0.453011168145483,0.1,0.09601497650146484,1.6386470794677734,0.049694017,0.2127013,-2038.9916310260464,0.6169967950696177,-8.683356736672497,0.0,800,0.8747706413269043,0.5079643431243607,0.5067628891368108,47190,-2805.960299030134,0.0
63,2.263523578643799,-2402.2754168238293,1676.9853061671654,184.55505569311217,-4486.350981772763,0.0,0.457655773806272,0.1,0.0950479507446289,1.6573741436004639,0.05127985,0.21174416,-2075.3200096058245,0.8289319818340689,-11.965267687881715,0.0,800,0.8871426582336426,0.4047884393692762,0.37775719014234327,47990,-2528.07562031303,0.0
64,2.34096360206604,-3053.7006134712306,3421.466267036289,88.40924266045359,-8745.645018588042,0.0,0.46299186979590456,0.1,0.0966033935546875,1.5958311557769775,0.050318822,0.19382074,-2173.158069992365,0.7248009736143005,-15.239010896518185,0.0,800,0.890047550201416,0.5550270784112088,0.5290217923045974,48790,-2347.380962202274,0.0
65,2.266730785369873,-823.364927491743,950.6310808152392,134.10206529997686,-2402.590783901366,0.0,0.4443663291593299,0.1,0.09895133972167969,1.6270270347595215,0.050578225,0.23165572,-2038.178755742303,0.20507070125965154,-4.220416833992258,0.0,800,0.8765687942504883,2.872229200634308,2.0120319632577015,49590,-3183.7050993381877,0.0
66,2.314962387084961,-71.21695618970742,499.39191270862864,761.8593460866422,-478.6659033914598,0.0,0.41875169872481394,0.1,0.09601449966430664,1.6476898193359375,0.050794605,0.30191833,-1841.4825757870435,-0.31814327611268406,-0.48436042614342045,0.0,800,0.8834025859832764,14.049363501138975,7.643735587238162,50390,-2782.148771941216,0.0
67,2.3304600715637207,-1573.9741592394014,1617.3421019867465,-274.4273964193368,-4306.691178667322,0.0,0.41795905311568476,0.1,0.09762096405029297,1.635676383972168,0.049903262,0.23705184,-1814.7317341322794,0.3083151126419909,-7.94620342965081,0.0,800,0.893519401550293,0.6484127628420271,0.633399369479639,51190,-2707.752409876453,0.0
68,2.284780502319336,-2053.416395934735,787.714248167426,-1062.13585151703,-3158.8491472581886,0.0,0.453240500084842,0.1,0.10188651084899902,1.6462106704711914,0.050809592,0.23519026,-1838.600200312525,0.4369857048992979,-10.269591008945921,0.0,800,0.8951709270477295,0.3447848661496137,0.3177492868759833,51990,-2605.8522161671226,0.0
69,2.2385597229003906,-3047.0086902049743,1238.7247947555222,-1872.5715317066638,-5130.394063254809,0.0,0.4796172368879742,0.1,0.09795761108398438,1.6422021389007568,0.050179347,0.2092924,-1959.4410493017701,1.9699583589364695,-15.177495722414124,0.0,800,0.8981854915618896,0.5187479954852936,0.42138343718004617,52790,-2357.528551149095,0.0
