iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.332744836807251,-17.03506667125451,3.5918661438077675,-12.951818284293545,-22.651699465517538,0.0,0.10817696777676156,0.1,0.05948138236999512,0.052834510803222656,0.053490613,1.3660499,-17.03506667125451,-0.17139355178006027,-0.21521011800955364,0.0,88,0.006505250930786133,0.9994978734542989,0.9994978734542989,88,-11.542811524084806,0.0
1,0.9580826759338379,-19.745365506847875,2.687217202560407,-16.241958770241347,-23.78804362041968,0.0,0.1959768413395082,0.1,0.0035047531127929688,0.05307817459106445,0.050940942,0.61623275,-17.306096554813845,-0.24184988478216202,-0.26792480196208945,0.0,97,0.0030295848846435547,0.9995622335536739,0.9995622335536739,185,-11.293627806155355,0.0
2,1.0891823768615723,-19.06487237810868,4.080635306003569,-13.835913706314763,-25.129718623570103,0.0,0.20896341542211402,0.1,0.0025284290313720703,0.04958391189575195,0.05124566,0.53989947,-17.48197413714333,-0.22632828549246212,-0.25264268882931024,0.0,93,0.0028700828552246094,0.9995580472552188,0.9995580472552188,278,-9.631878235398064,0.0
3,1.312056541442871,-18.61124267720909,3.619480804693403,-14.579268309746194,-23.459459630416845,0.0,0.18672175404425226,0.1,0.0025048255920410156,0.0495760440826416,0.05129736,0.71642804,-17.594900991149906,-0.21103655158693038,-0.24430811762258375,0.0,95,0.004830121994018555,0.9994847609812164,0.9994847609812164,373,-9.27741125055536,0.0
4,1.1407647132873535,-18.432254014606915,1.7830981368872525,-16.053849619525117,-20.72027699408689,0.0,0.18424556729701322,0.1,0.002466917037963867,0.0515289306640625,0.049442545,0.8891872,-17.678636293495607,-0.22160057823589763,-0.24067265800992751,0.0,91,0.009065389633178711,0.9995445140109747,0.9995445140109747,464,-8.074285052775595,0.0
5,1.2714121341705322,-18.33774962599318,3.450045612213872,-14.697970219026615,-23.143459223863356,0.0,0.174045180501526,0.1,0.0025353431701660156,0.04865241050720215,0.049822845,1.0777038,-17.744547626745366,-0.2118881056393721,-0.24126581449308832,0.0,92,0.0026509761810302734,0.9995065589540475,0.9995065589540475,556,-7.9701722411155345,0.0
6,1.3653805255889893,-18.434024497499724,3.4771446713059895,-14.005573025174092,-21.894855425607968,0.0,0.1835329039942607,0.1,0.002526521682739258,0.06453657150268555,0.050528187,0.6707316,-17.813495313820802,-0.20610729279763917,-0.24151780365426181,0.0,93,0.007210969924926758,0.9995248573741068,0.9995248573741068,649,-9.035150175075858,0.0
7,1.2775709629058838,-13.793343846503618,2.1539326081049346,-10.548600645401503,-15.927917401177183,0.0,0.17459614669910595,0.1,0.0024187564849853516,0.048236846923828125,0.05183003,0.7144982,-17.411480167089085,-0.08581881211669531,-0.15173465969348043,0.0,77,0.002580404281616211,0.9993689005341212,0.9993689005341212,726,-8.285669592878623,0.0
8,1.5552949905395508,-15.15032371588647,1.305796862338181,-12.896611301535135,-16.067979530886525,0.0,0.18116221325450652,0.1,0.030727148056030273,0.24530410766601562,0.050618894,0.7233538,-17.185364521968822,-0.1370965939808954,-0.1768514800735102,0.0,81,0.0026531219482421875,0.9993956578441913,0.9993956578441913,807,-7.628410490806207,0.0
9,1.3010940551757812,-16.44431976944246,1.5321473896918103,-13.79892198327892,-17.499667186388955,0.0,0.19778323625125013,0.1,0.00243377685546875,0.0493931770324707,0.050167885,0.8172764,-17.111260046716186,-0.15330108971148543,-0.20291213759436494,0.0,88,0.014244794845581055,0.9994386903697072,0.9994386903697072,895,-6.656177647011307,0.0
10,1.4071459770202637,-15.641344574056372,0.8682773135563611,-14.594413617769378,-17.00773309732787,0.0,0.17260316993858085,0.1,0.0025963783264160156,0.04860830307006836,0.04975058,0.9680445,-16.964268499450206,-0.1618534746301969,-0.18679941143589873,0.0,81,0.002566099166870117,0.9994097021577546,0.9994097021577546,976,-6.623399803682962,0.0
11,1.3870911598205566,-14.003111186855863,1.4355165137036785,-12.598104671242787,-16.397080624891004,0.0,0.17408470063326797,0.1,0.002604246139526367,0.048891544342041016,0.051541787,0.8042997,-16.668152768190772,-0.08742038091328368,-0.15568763234312405,0.0,80,0.0029151439666748047,0.9993877406456875,0.9993877406456875,1056,-7.042872782588641,0.0
12,1.315732479095459,-15.534093393899877,0.7759165843038823,-14.256489537306145,-16.206990251918114,0.0,0.16213397691642462,0.1,0.0025076866149902344,0.04936361312866211,0.05110909,1.1103714,-16.554746830761683,-0.14929203278148973,-0.18480999162183798,0.0,83,0.0028963088989257812,0.9994118304309095,0.9994118304309095,1139,-5.987575014274241,0.0
13,1.1183905601501465,-16.394833590172414,1.531246132439394,-13.940310697914681,-18.06634605104274,0.0,0.18022337293909602,0.1,0.0026252269744873047,0.05515885353088379,0.049653,0.77112406,-16.538755506702756,-0.1703127619645922,-0.20087519226623493,0.0,85,0.002788543701171875,0.9994898981908066,0.9994898981908066,1224,-6.008901384378574,0.0
14,1.4291529655456543,-15.647174874061635,2.5634962515901343,-13.020456362439685,-19.035167819451168,0.0,0.18114976831722784,0.1,0.00250244140625,0.04852104187011719,0.048542984,0.66782314,-16.449597443438645,-0.1336618645944502,-0.187924525751943,0.0,84,0.003887653350830078,0.9994700326435952,0.9994700326435952,1308,-5.505578432921006,0.0
15,1.0434908866882324,-13.94060684977901,1.6271799653561392,-12.540343942002837,-16.529571008086535,0.0,0.16488474833698682,0.1,0.002795696258544922,0.0505986213684082,0.0496298,1.0370116,-16.19869838407268,-0.08309639417086784,-0.15478050636955698,0.0,80,0.003358125686645508,0.999279399932257,0.999279399932257,1388,-4.672540347480352,0.0
16,1.356689691543579,-14.384228584319498,1.3831666528001194,-12.686703153535372,-16.510457444399805,0.0,0.1711184393766285,0.1,0.003333568572998047,0.051767587661743164,0.050686672,0.8393523,-16.01725140409736,-0.1047352214348686,-0.1631191409393669,0.0,79,0.003083467483520508,0.9993346141297834,0.9993346141297834,1467,-3.827804193287142,0.0
17,1.3357148170471191,-15.716320549795824,2.8551365474594435,-12.174925854261442,-19.997564912340046,0.0,0.1640800422306421,0.1,0.0024726390838623047,0.04948115348815918,0.0504082,0.76452094,-15.987158318667209,-0.1412781831864796,-0.18957200870001803,0.0,84,0.0027239322662353516,0.9994243233267451,0.9994243233267451,1551,-3.6826310995836384,0.0
18,1.3519673347473145,-13.758519884376062,0.8467913340391389,-12.89647256904305,-14.688262676119942,0.0,0.15027798160478237,0.1,0.0024919509887695312,0.048555612564086914,0.0498887,1.691136,-15.764294475238096,-0.08790443864675791,-0.15153637641413426,0.0,79,0.002589702606201172,0.9993744525947728,0.9993744525947728,1630,-3.8299426545182214,0.0
19,1.350656270980835,-13.461987832091431,1.3531862376932662,-11.464606215933586,-15.034660113622026,0.0,0.1670290626194604,0.1,0.0024042129516601562,0.05043339729309082,0.05077658,1.0558391,-15.53406381092343,-0.09418416687151035,-0.1453848422136306,0.0,73,0.003117084503173828,0.9993901056158037,0.9993901056158037,1703,-3.555195420571055,0.0
20,1.3735973834991455,-12.748977798088877,1.355863975354471,-11.314181986736155,-14.556077270457841,0.0,0.16948562400176415,0.1,0.002847433090209961,0.04995131492614746,0.051331952,0.9186626,-15.255555209639976,-0.059105190671489505,-0.13174765372872366,0.0,72,0.0030641555786132812,0.9993835717087693,0.9993835717087693,1775,-3.579278480907293,0.0
21,1.388028621673584,-12.715259925018277,1.6406409448581911,-11.376262011981709,-15.51493204468567,0.0,0.16990622687711046,0.1,0.0024721622467041016,0.048677682876586914,0.050297424,0.7721488,-15.001525681177807,-0.04000251209226169,-0.13164111277789517,0.0,75,0.002954244613647461,0.999292662578426,0.999292662578426,1850,-3.584110759669804,0.0
22,1.407193899154663,-13.356415343163466,2.2027177690038937,-10.81370279947124,-16.545989803710427,0.0,0.16712978297681186,0.1,0.0025119781494140625,0.048462867736816406,0.050819322,0.8811005,-14.837014647376373,-0.06089978848513588,-0.14257096825202975,0.0,78,0.002831697463989258,0.9994131671398103,0.9994131671398103,1928,-3.662079673648469,0.0
23,1.326725959777832,-13.573802063389103,0.9438810757198413,-12.139795603630045,-14.782037449289657,0.0,0.17020067108906964,0.1,0.006393909454345703,0.04844856262207031,0.051896032,1.0187873,-14.710693388977646,-0.08177329316555948,-0.14695422083561605,0.0,77,0.01968097686767578,0.9993808105080876,0.9993808105080876,2005,-3.4941323306594207,0.0
24,1.3662641048431396,-13.431263388027713,1.0623093110501753,-12.268022269441818,-15.150723759551322,0.0,0.15687362158594595,0.1,0.030562400817871094,0.0600123405456543,0.049218673,1.1394228,-14.582750388882651,-0.06632857185747537,-0.1447672069469551,0.0,77,0.002498626708984375,0.9993433298632357,0.9993433298632357,2082,-3.7496907521179117,0.0
25,1.335939884185791,-12.023632169162248,0.3957807102331416,-11.361038498884286,-12.3716578200352,0.0,0.1696091582660131,0.1,0.0023953914642333984,0.05009937286376953,0.05003108,1.098602,-14.326838566910611,-0.022667929508935213,-0.1186394180023105,0.0,72,0.0025610923767089844,0.999272939246654,0.999272939246654,2154,-3.680300618565747,0.0
26,1.3463232517242432,-12.262169359678282,0.7983467490632391,-11.596762960656823,-13.602685890831298,0.0,0.16716084479737925,0.1,0.0023717880249023438,0.04778003692626953,0.05021395,0.84023315,-14.12037164618738,-0.04055661885432576,-0.1231086037408139,0.0,72,0.002710103988647461,0.9993360487250007,0.9993360487250007,2226,-3.3718786766294433,0.0
27,1.4396350383758545,-12.816706600890008,2.273484209454097,-10.831581291576299,-16.39248589201858,0.0,0.17600806498302893,0.1,0.0026311874389648438,0.04821467399597168,0.050201807,0.6469106,-13.990005141657642,-0.056109552449932626,-0.1340236298361064,0.0,73,0.002781391143798828,0.9992043108707928,0.9992043108707928,2299,-3.4210022887020934,0.0
28,1.82845139503479,-12.904115161992866,1.2369389198845089,-11.697386498716906,-14.947232404923136,0.0,0.1651409711565635,0.1,0.005080223083496094,0.053505659103393555,0.050156455,0.93702453,-13.881416143691165,-0.06483931855864758,-0.13504092435870127,0.0,72,0.0029888153076171875,0.9992438256719174,0.9992438256719174,2371,-3.733655063603235,0.0
29,1.2762835025787354,-13.555803548532086,1.8848931453495357,-11.319199036171392,-16.534379042051043,0.0,0.16288064112819606,0.1,0.002607107162475586,0.049416542053222656,0.05044798,0.8261566,-13.848854884175257,-0.07933073877969744,-0.1466733746876816,0.0,74,0.005362033843994141,0.999330351782956,0.999330351782956,2445,-3.709176988720147,0.0
30,1.6282405853271484,-12.574451851527368,1.8408125698268436,-11.164397210694231,-15.70739267379697,0.0,0.16948513068516452,0.1,0.0027725696563720703,0.04871416091918945,0.050614867,0.76596636,-13.721414580910468,-0.05651066110773695,-0.12815564334299478,0.0,72,0.003365039825439453,0.9992298658474532,0.9992298658474532,2517,-3.707642896722683,0.0
31,1.1173198223114014,-11.546989898525378,2.162470791055674,-8.49912349486615,-13.87773413871001,0.0,0.18270850504505842,0.1,0.002405405044555664,0.07976889610290527,0.049607296,0.6734863,-13.503972112671958,-0.011591043265939833,-0.10945547078715785,0.0,69,0.003026247024536133,0.9992541723707492,0.9992541723707492,2586,-3.678190291218264,0.0
32,1.3151819705963135,-11.823516000387702,2.6851391708228753,-9.15847982117834,-15.83438660101018,0.0,0.15716394620903276,0.1,0.005169391632080078,0.048067569732666016,0.050958138,0.63045865,-13.335926501443533,-0.02444876964830167,-0.11553415634514623,0.0,70,0.004304647445678711,0.999225587483617,0.999225587483617,2656,-3.7784074139837442,0.0
33,1.3250582218170166,-12.880162414017414,1.598299735178795,-10.643558965968769,-14.96969010273574,0.0,0.16062163634773913,0.1,0.0024623870849609375,0.047995805740356445,0.050679382,1.0006115,-13.29035009270092,-0.052331339983546915,-0.13470816309358036,0.0,77,0.0030679702758789062,0.9993030065826151,0.9993030065826151,2733,-3.274558234932178,0.0
