iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.6004643440246582,-420.08133485985434,9.338772713357564,-409.83020506738677,-434.7246054048759,0.0,0.22415094076839157,0.1,0.03226637840270996,0.06032395362854004,0.057679124,0.9946332,-420.08133485985434,-4.14233598420741,-4.205356213271298,0.0,400,0.026755571365356445,0.9993162485751369,0.9967492138532232,400,-414.4411901434789,0.0
1,1.3254766464233398,-436.95121634413175,10.653637602699348,-419.38075532457503,-446.51721015552084,0.0,0.35902285451106714,0.1,0.002876758575439453,0.0599820613861084,0.05066862,0.32043174,-421.7683230082821,-4.309461919475163,-4.372128674900576,0.0,400,0.026762962341308594,0.9968810137144652,0.9920302333396265,800,-416.9898972602444,0.0
2,1.3148725032806396,-435.7816383469627,7.794391208269666,-427.8819569920542,-447.0936533257296,0.0,0.3724203347503967,0.1,0.0029349327087402344,0.05886101722717285,0.05004386,0.34345126,-423.16965454215017,-4.297021723482678,-4.360379493099195,0.0,400,0.027149200439453125,0.9920284532831843,0.9809098539939783,1200,-412.8717634332738,0.0
3,1.366621494293213,-420.29403973781587,8.79254045486356,-414.4559871921496,-435.50056686549146,0.0,0.35363858171605966,0.1,0.0030879974365234375,0.06131696701049805,0.05056241,0.3377919,-422.8820930617168,-4.144105111995955,-4.208129743597805,0.0,400,0.02532792091369629,0.9805302319278904,0.9580579320201741,1600,-415.40168105210824,0.0
4,1.3093271255493164,-431.3748157894002,7.3424675109772695,-422.9949428529674,-440.9519482569077,0.0,0.3401414541798057,0.1,0.0030541419982910156,0.06232953071594238,0.050874177,0.36596084,-423.73136533448513,-4.253482894111185,-4.3164935926676264,0.0,400,0.02579355239868164,0.9584406406971788,0.918893795375115,2000,-417.10013715123915,0.0
5,1.3383383750915527,-435.2835146240978,15.190139668876713,-412.38758480134356,-451.59860572451163,0.0,0.37195204248131325,0.1,0.003148317337036133,0.06124734878540039,0.05001916,0.31352165,-424.8865802634464,-4.293238436248976,-4.355766535783786,0.0,400,0.02543473243713379,0.9199600139691541,0.8572612411692734,2400,-418.39234637623304,0.0
6,1.3626890182495117,-423.53154960710793,10.565734963016318,-411.24546906008413,-440.40468715380064,0.0,0.3781991351669721,0.1,0.0032203197479248047,0.060811519622802734,0.04869266,0.2909373,-424.75107719781255,-4.175002462606081,-4.238526911301854,0.0,400,0.02579665184020996,0.8552211926046015,0.7652216983236895,2800,-422.4048789277615,0.0
7,1.3770043849945068,-445.9592975568009,6.181445194768301,-438.891633837298,-455.0314917435198,0.0,0.380994260966791,0.1,0.0029516220092773438,0.05948185920715332,0.04909651,0.28446853,-426.87189923371136,-4.397551819381351,-4.461655912095256,0.0,400,0.024481534957885742,0.7694868335131114,0.653968286465084,3200,-420.4556770600996,0.0
8,1.372053623199463,-433.6288554050331,11.173444677416347,-418.20065315652363,-447.0502659310823,0.0,0.35141527258348215,0.1,0.0029096603393554688,0.06086993217468262,0.05078551,0.31585297,-427.54759485084355,-4.275383488861367,-4.33967364460168,0.0,400,0.023896217346191406,0.6511634208029271,0.5211671732247131,3600,-411.15948263194923,0.0
9,1.4011380672454834,-427.01887931159536,12.549028601893323,-408.0527112637056,-442.20996281822715,0.0,0.3663076215854371,0.1,0.003063201904296875,0.06639647483825684,0.049329523,0.31607124,-427.4947232969188,-4.209154861042502,-4.273732632596562,0.0,400,0.0321195125579834,0.5132421482191714,0.39085805406795887,4000,-409.6400772941568,0.0
10,1.3668320178985596,-434.98158461302364,10.260121376541107,-420.8250532444295,-447.36665898197356,0.0,0.3787707184911058,0.1,0.0029549598693847656,0.06627225875854492,0.05029295,0.2914668,-428.2434094285293,-4.2887557834245404,-4.352502127986349,0.0,400,0.023938655853271484,0.4047242300826041,0.31401406192780223,4400,-409.52172634597997,0.0
11,1.3707621097564697,-438.97089211537724,5.735697861893592,-433.336983586348,-447.9876297552403,0.0,0.35525598655479684,0.1,0.0032012462615966797,0.061446189880371094,0.050737996,0.31690913,-429.31615769721407,-4.328886296042191,-4.392020120093176,0.0,400,0.02377152442932129,0.30880673137368675,0.2630860154439759,4800,-399.5828779467002,0.0
12,1.367210865020752,-417.39058571187854,7.171663259622207,-408.68046239687766,-427.2134637060898,0.0,0.33209848127303754,0.1,0.0030739307403564453,0.06497788429260254,0.048971023,0.35147643,-428.1236004986805,-4.116841344949366,-4.178929528182225,0.0,400,0.02555108070373535,0.26180805214136205,0.24952056181721297,5200,-400.3964743910025,0.0
