iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.7797932624816895,-437.1192753754941,16.783671173386484,-408.783819012377,-452.3392853298082,100.0,0.13784959299169638,0.1,0.03840970993041992,0.06247687339782715,0.07291605,1.4344186,-437.1192753754941,-0.17413614562521346,-2.5287441372858073,100.0,356,0.022227048873901367,1.0006156170036165,0.9995041806706269,356,36.157761391489146,100.0
1,0.7053244113922119,-439.4271721918865,6.4826357384751105,-432.5144416390894,-448.1192387562839,50.0,0.2875327321874821,0.1,0.003421783447265625,0.06746101379394531,0.050076287,0.42544478,-437.35006505713335,-0.17521920784861325,-2.545877680129748,50.0,351,0.022159099578857422,0.999505270015045,0.9982395865609771,707,38.53192396563417,100.0
2,0.7239627838134766,-436.3455301689611,14.293776078054622,-419.3014236324345,-455.71779207812784,100.0,0.2806936629874656,0.1,0.0035355091094970703,0.06340694427490234,0.05128448,0.49321303,-437.24961156831614,-0.17206193539435322,-2.5257711181112183,100.0,359,0.01973891258239746,0.9982568170172543,0.9960210618517563,1066,24.157743132494545,100.0
3,0.721055269241333,-444.7157651156255,6.797988186385417,-435.3643276122525,-453.2373541306451,100.0,0.27408113381352284,0.1,0.003721952438354492,0.06368565559387207,0.050087027,0.44826242,-437.99622692304706,-0.17004326915252443,-2.5811223924797444,100.0,361,0.02142190933227539,0.9960560170807382,0.9920118478797392,1427,18.926940718522008,100.0
4,0.7500855922698975,-436.1762439927278,11.342477070434073,-418.7974559188386,-450.5019432292826,100.0,0.2761964711926099,0.1,0.003287076950073242,0.06473660469055176,0.04967385,0.48143148,-437.8142286300151,-0.1703334979216239,-2.5245982127034092,100.0,354,0.021169424057006836,0.9919303249553596,0.9848980796349716,1781,15.137241901854901,100.0
5,0.733227014541626,-427.66435845912235,4.773681428703254,-419.70495372977433,-432.38519810081755,100.0,0.25722168995573536,0.1,0.0033354759216308594,0.06258964538574219,0.0499601,0.5247828,-436.7992416129258,-0.17371011136284914,-2.468199261403031,100.0,349,0.02090597152709961,0.9846592663415967,0.9730995523708232,2130,6.131111686233775,100.0
6,0.751004695892334,-438.6958681344209,8.096153323904444,-424.8221568046747,-445.14467105250685,100.0,0.2781705564391699,0.1,0.003046751022338867,0.06334590911865234,0.04928063,0.4321695,-436.98890426507535,-0.1724542259489347,-2.5420870174420522,100.0,360,0.021075725555419922,0.9735750454359583,0.9559662168233903,2490,15.96824870416298,100.0
7,0.7871890068054199,-448.1899770100426,8.87155518198506,-436.30443589153606,-461.262628838259,50.0,0.27410779262056434,0.1,0.0033614635467529297,0.06115579605102539,0.05012703,0.42976362,-438.10901153957207,-0.1748752474589433,-2.6047309457984045,50.0,358,0.020479202270507812,0.9562144227523904,0.9305052321452995,2848,11.108718133236378,100.0
8,0.7829790115356445,-441.21276778192487,11.428972301282405,-424.1241268250704,-454.4687112430356,100.0,0.26150486216781826,0.1,0.0034532546997070312,0.06768918037414551,0.05090024,0.5060232,-438.41938716380736,-0.17333942546046244,-2.559820414671995,100.0,359,0.021668672561645508,0.9301345121197216,0.8939091380750457,3207,-0.21501672959502058,100.0
9,0.7944810390472412,-431.22328857454283,13.356505598905937,-410.2017098768919,-443.38641343761776,100.0,0.24731754627408742,0.1,0.005041360855102539,0.06512737274169922,0.04985421,0.5641535,-437.6997773048809,-0.17231564339670652,-2.4911813254792827,100.0,351,0.020750045776367188,0.8931460523756963,0.8443175475505555,3558,0.573397826621326,100.0
10,0.7858998775482178,-443.4508207235868,17.89170199810108,-424.07527229803793,-470.3409572005342,75.0,0.26880803803178227,0.1,0.0033919811248779297,0.062058210372924805,0.049839098,0.4474709,-438.2748816467515,-0.17119182924497967,-2.573454406792594,75.0,359,0.020532608032226562,0.846207725414659,0.7844044427793919,3917,-7.06851544910822,100.0
11,0.8878669738769531,-442.7805282443197,15.574041660179399,-427.97138630549347,-468.517913980249,75.0,0.2852935676460466,0.1,0.0037636756896972656,0.06660652160644531,0.05027108,0.47169438,-438.7254463065084,-0.17235853926327346,-2.56836542112512,75.0,359,0.022236347198486328,0.784847080258301,0.7094419190805575,4276,-5.566656839042505,100.0
12,0.8289110660552979,-428.09551296167047,11.585493989639197,-417.5503759985246,-447.3887130268727,75.0,0.2595638420336304,0.1,0.0031442642211914062,0.06340336799621582,0.050586097,0.48798522,-437.6624529720246,-0.17084566388939876,-2.4718572136843777,75.0,353,0.021371126174926758,0.7050818699654918,0.6170353891289759,4629,-10.556710213251831,100.0
13,0.811302661895752,-439.9776531667175,17.982682420868414,-415.7522020333704,-466.42002188724354,100.0,0.24928783433215854,0.1,0.003260374069213867,0.06329226493835449,0.05021357,0.52313626,-437.8939729914939,-0.17083988854129323,-2.5508134800420614,100.0,359,0.019919157028198242,0.6222760029597892,0.5270734348198783,4988,-15.943107799317437,100.0
14,0.8163158893585205,-439.8925475962534,11.590102731517302,-425.39643815590273,-457.5624794943687,75.0,0.24549942575319816,0.1,0.0033130645751953125,0.06198692321777344,0.050298553,0.5764934,-438.0938304519699,-0.17134818962140758,-2.549630908768955,75.0,357,0.024077653884887695,0.5264928550444392,0.4289969438269248,5345,-19.83683452494003,100.0
15,0.7951323986053467,-438.09554645813046,19.824869504326504,-410.91266689206043,-465.056449085617,75.0,0.2617590781905083,0.1,0.0031576156616210938,0.0630333423614502,0.050908968,0.47375566,-438.094002052586,-0.17440555490869183,-2.5374866002614023,75.0,354,0.021214962005615234,0.4254017459364191,0.33482857329432364,5699,-34.83672995738631,100.0
16,0.8059227466583252,-437.6607466059231,8.087944544357683,-429.0560857776684,-448.39746339945793,100.0,0.2469959019605507,0.1,0.0032958984375,0.06743550300598145,0.049203206,0.53924,-438.0506765079197,-0.17017034037702855,-2.5323205608694934,100.0,355,0.022355079650878906,0.3366168182818057,0.2622138768703783,6054,-32.010434957190064,100.0
17,0.7958452701568604,-445.96163187139996,14.917611564179516,-427.5943742134776,-469.140090243854,50.0,0.2554395856064818,0.1,0.003244638442993164,0.06342840194702148,0.04962453,0.4616396,-438.84177204426777,-0.17074600253601596,-2.5900280657719805,50.0,363,0.02074909210205078,0.2658365390201717,0.21338458028354798,6417,-45.89929421681768,100.0
18,0.80599045753479,-448.12891982237966,8.624067366348335,-433.6658893312798,-455.8517214636978,100.0,0.2511238233968352,0.1,0.003256082534790039,0.06312799453735352,0.050792757,0.489568,-439.77048682207896,-0.17183287560318855,-2.6039268234039623,100.0,359,0.02010369300842285,0.21692618332592065,0.18795499784423245,6776,-38.543644699658735,100.0
19,0.8744549751281738,-442.2980985232331,7.064818891445258,-430.15565155293416,-447.3869473909606,100.0,0.2349993436619569,0.1,0.003498077392578125,0.07046985626220703,0.04997784,0.547802,-440.02324799219434,-0.17259577078255622,-2.5645604789127856,100.0,356,0.022716760635375977,0.1835811357605004,0.17336666234073014,7132,-38.026571105137705,100.0
20,0.8335540294647217,-446.35956663451003,14.301099203849438,-430.78080891219406,-469.6806402587267,50.0,0.23808282957265328,0.1,0.0032553672790527344,0.06196141242980957,0.051405586,0.42735013,-440.6568798564259,-0.17346302846282546,-2.5919558246428185,50.0,359,0.0210268497467041,0.17199545625996876,0.1695921893143708,7491,-49.00439826773157,100.0
21,0.8104443550109863,-447.54403253745863,3.7322510681977215,-442.4314239100257,-452.76251270556065,75.0,0.24129822803780823,0.1,0.003397226333618164,0.06055474281311035,0.050198015,0.4818016,-441.3455951245292,-0.1731640727471722,-2.6010210197735457,75.0,360,0.020380020141601562,0.16760666536900293,0.16612916978522224,7851,-61.27695963331729,100.0
22,0.8700199127197266,-431.0761240353138,8.700930205032975,-416.1562306483796,-437.55645334785515,100.0,0.22990933020998866,0.1,0.003361940383911133,0.05986738204956055,0.05115627,0.45983833,-440.31864801560766,-0.1720802455538648,-2.490498277338217,100.0,351,0.026328325271606445,0.16632964073663448,0.16401965414963737,8202,-73.41401336436302,100.0
23,0.8742637634277344,-451.4328234463274,8.818859676878821,-442.792213226299,-463.90897252713444,75.0,0.24007229156095583,0.1,0.003103494644165039,0.06294584274291992,0.049620144,0.47871387,-441.43006555867964,-0.17295442451518317,-2.626051654421354,75.0,363,0.020764589309692383,0.16861480717263436,0.16678938130965723,8565,-66.37047120124096,100.0
24,0.834282398223877,-444.52653751264467,16.293316745693872,-425.24221895758376,-466.6523035889161,100.0,0.24975155683368924,0.1,0.0030667781829833984,0.06100726127624512,0.051191103,0.419347,-441.73971275407615,-0.1729125852342577,-2.5821967050292796,100.0,358,0.0208890438079834,0.16346787103616772,0.16169341436249554,8923,-75.8937916336658,100.0
25,0.8577170372009277,-424.21182473255124,4.461595737359235,-416.76053981916505,-428.1118515233375,100.0,0.24583619250992936,0.1,0.003232717514038086,0.0609130859375,0.0495413,0.46181703,-439.9869239519237,-0.17089346942622374,-2.445662522260977,100.0,351,0.019226551055908203,0.1621586715527231,0.16002408483166863,9274,-63.6484921675193,100.0
26,0.9050891399383545,-438.7711920144142,10.092958535021646,-430.8407212119127,-456.05657814050574,100.0,0.24594033841808732,0.1,0.0033845901489257812,0.061054229736328125,0.04993188,0.45881525,-439.8653507581728,-0.1729444935259954,-2.5434454699329687,100.0,360,0.020386457443237305,0.15728349338560724,0.15570329166335395,9634,-62.98002666767021,100.0
27,0.8684861660003662,-438.46304672834634,5.2577499837174315,-429.44467838425317,-442.238541014624,100.0,0.2439067982773673,0.1,0.0032663345336914062,0.06988906860351562,0.049403984,0.44467145,-439.72512035519014,-0.17329937211994317,-2.5396030589733485,100.0,358,0.022742033004760742,0.15774553464509078,0.15606703398119076,9992,-72.96892099829564,100.0
28,0.8635125160217285,-429.6796772110413,11.18209719373317,-415.50219210824724,-442.1825230284309,75.0,0.24254014571706456,0.1,0.003499746322631836,0.06210637092590332,0.049823117,0.4969706,-438.72057604077526,-0.17563047027171316,-2.482913369123617,75.0,355,0.022093534469604492,0.15042143053187484,0.14879846471524374,10347,-66.0325252867916,100.0
29,0.7833578586578369,-436.5270371432329,10.774522812706694,-419.42692634169964,-449.26966438349814,75.0,0.2309536463863489,0.1,0.0034172534942626953,0.06434965133666992,0.04993976,0.47243422,-438.50122215102107,-0.17378872511926557,-2.5270984473671367,75.0,354,0.022009849548339844,0.15523105385110847,0.15362963438328048,10701,-66.85484105782865,100.0
30,0.8662018775939941,-434.59512763589953,15.426831767240472,-416.86980240038406,-459.23701360445557,75.0,0.2397506141618988,0.1,0.00334930419921875,0.06264662742614746,0.05096245,0.40421057,-438.1106126995089,-0.17069064218711938,-2.5151578715494045,75.0,358,0.022059202194213867,0.15235819578616888,0.15071052327004586,11059,-65.50813464509449,100.0
31,0.8100457191467285,-431.0737132624112,8.097862869185068,-420.5052052533058,-441.53055507255607,100.0,0.24536215472937786,0.1,0.003343820571899414,0.06422996520996094,0.05020451,0.4780907,-437.4069227557992,-0.17259324757319244,-2.4902554109947195,100.0,355,0.019931793212890625,0.15469757629158282,0.15307225785612769,11414,-61.87824736495125,100.0
32,0.8057420253753662,-436.86843013099286,7.90472920920062,-427.36663305105213,-446.77085253381046,50.0,0.23678177248229207,0.1,0.003281116485595703,0.06821656227111816,0.050408613,0.5286237,-437.35307349331856,-0.1732048055052821,-2.5306101879068645,50.0,354,0.021431446075439453,0.15244089683757098,0.15090112652861148,11768,-56.448938468155994,100.0
33,0.9055628776550293,-443.85757252372423,4.095706408521277,-437.1137511283921,-447.77519347354547,50.0,0.2502517791996296,0.1,0.003218412399291992,0.06136822700500488,0.049689528,0.43565685,-438.0035233963591,-0.17423334190233458,-2.5753319747030714,50.0,363,0.020828962326049805,0.1515303408108441,0.14986637859658292,12131,-61.542710223370506,100.0
34,0.8923513889312744,-448.75482211315546,20.59741113837007,-425.37080208866416,-480.5755121655432,100.0,0.24331349712247946,0.1,0.0032968521118164062,0.06119799613952637,0.050539915,0.48029506,-439.0786532680388,-0.17552088568462665,-2.609650844116307,100.0,366,0.0232083797454834,0.1536364660032047,0.15203238040970385,12497,-75.20966367775547,100.0
35,0.8751974105834961,-444.09755153128265,5.418680705047832,-435.40902389471717,-450.0828356603817,50.0,0.2253015077452624,0.1,0.003183126449584961,0.06319928169250488,0.05039658,0.4644183,-439.58054309436324,-0.17376681649599082,-2.5772896916748396,50.0,356,0.02078104019165039,0.1463635773627567,0.1445415742028741,12853,-95.31241071398881,100.0
