iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.8700590133666992,-3875.8411666017573,2963.47270761021,3.993585555550208,-8027.700273357112,0.0,0.2952798452534981,0.1,0.03275704383850098,0.08166313171386719,0.05312074,0.35976866,-3875.8411666017573,0.48717682589393113,-19.31789861500339,0.0,678,0.05440855026245117,0.9999549247926096,0.9996824965654867,678,-1252.9282503592876,0.0
1,1.7869923114776611,-5944.793577304008,2620.181509358189,-2283.1077120671052,-8503.471284800644,0.0,0.40232215970429425,0.1,0.004162788391113281,0.12763452529907227,0.05126137,0.28204134,-4082.7364076719823,0.22318678655191715,-29.629555395187943,0.0,671,0.0537416934967041,0.9997183187903238,0.9989531264265707,1349,-1607.3866896649413,0.0
2,1.8462238311767578,-4298.472587769239,2504.16717204604,-894.3964880609813,-7882.658159823902,0.0,0.42997912846275854,0.1,0.004776716232299805,0.08334708213806152,0.052514073,0.2212094,-4104.310025681708,0.5325155368788885,-21.494993733595695,0.0,800,0.05912947654724121,0.9986964047211405,0.9952846304497658,2149,-1501.167178301663,0.0
3,1.8063938617706299,-2286.9534669347718,1744.1551401895852,-40.71036066407656,-4935.351492987124,25.0,0.380539896379935,0.1,0.021704912185668945,0.0773782730102539,0.049126312,0.2660067,-3922.5743698070146,0.5142838468797853,-11.417537726530847,25.0,618,0.037514448165893555,0.9928930303641361,0.9855362278849114,2767,-277.7947322622849,0.0
4,1.8830957412719727,-5326.485879805445,3681.048941520242,472.43989359634304,-8723.56719788486,0.0,0.42373160746307853,0.1,0.0038976669311523438,0.08342409133911133,0.049631156,0.24591112,-4062.965520806858,0.5269001459812211,-26.603765111981104,0.0,800,0.06148719787597656,0.9927148246734507,0.9803541290097382,3567,-397.8029218762903,0.0
5,1.8871803283691406,-215.11798668983988,302.0871241407199,95.1069487168859,-699.067203104103,0.0,0.4660708537789458,0.1,0.004067420959472656,0.08215904235839844,0.049169626,0.20055977,-3678.180767395156,0.46944350739356155,-1.2044530691039141,0.0,800,0.053713321685791016,0.938928103881234,0.9340784379184497,4367,-830.6181159783829,0.0
6,1.8021447658538818,-5692.183046844874,2869.5157162204628,-1675.6031617882932,-8474.31205563024,0.0,0.39746262750503647,0.1,0.003766775131225586,0.08230972290039062,0.050945304,0.28210357,-3879.580995340128,0.23546993053156395,-28.367184759366733,0.0,672,0.044033050537109375,0.9708816838830199,0.9495564103616105,5039,-3369.638895459671,0.0
7,1.8436284065246582,-1785.9661234157797,1941.135621924545,195.91728164989956,-4297.396634572687,0.0,0.3858407098694164,0.1,0.026839256286621094,0.09140253067016602,0.04945149,0.22251096,-3670.219508147693,0.6980454880248842,-8.965085148713715,0.0,688,0.03990674018859863,0.9244341352575155,0.8947044805698697,5727,-736.6007903692586,0.0
8,1.8089709281921387,-3002.723160681796,1915.5248083724393,-115.9500407558997,-5014.831530690902,0.0,0.4129688653013926,0.1,0.10121774673461914,0.09989333152770996,0.050082956,0.23521252,-3603.469873401103,0.2841503789940342,-15.015045845671484,0.0,665,0.11382102966308594,0.8862428816845398,0.8460466902896796,6392,-1082.924679089669,0.0
9,1.868407964706421,-3670.6193038757106,3300.5722641863294,492.6111295232937,-8353.090519116884,0.0,0.43479388301935845,0.1,0.0044400691986083984,0.07580375671386719,0.050334144,0.23947294,-3610.1848164485637,0.46591375315663386,-18.32987529712264,0.0,671,0.04163932800292969,0.9006372822609262,0.8557928916864082,7063,-925.5171454906105,0.0
