iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.080763339996338,-221.6803928468281,11.787168489530469,-201.83591938743263,-231.9270357922432,0.0,0.10813380353212451,0.1,0.044775962829589844,0.06895208358764648,0.055732764,3.4952052,-221.6803928468281,-0.08899672927700639,-2.424202041629266,0.0,86,0.005937099456787109,0.9990179208737419,0.9990179208737419,86,-286.4555042124026,0.0
1,1.0214786529541016,-222.84964719399892,10.701386082327174,-206.89578079248213,-236.9069794850718,0.0,0.16872172420448825,0.1,0.0027229785919189453,0.04795122146606445,0.050215412,0.94821,-221.7973182815452,-0.09358398071656429,-2.428209404171333,0.0,83,0.002824068069458008,0.9990321374510668,0.9990321374510668,169,-289.2292597984309,0.0
2,1.0547657012939453,-232.0802153630819,14.293551687927945,-212.11800558357143,-249.78030725836464,0.0,0.15014922625306618,0.1,0.002507448196411133,0.04864692687988281,0.050638262,1.3094394,-222.82560798969888,-0.0946912203322236,-2.562777337282533,0.0,88,0.0029845237731933594,0.9990646292841627,0.9990646292841627,257,-282.18710662103405,0.0
3,1.0133543014526367,-221.09495137041986,9.217591834450023,-205.62498746401727,-229.6931492450268,0.0,0.13826226385763052,0.1,0.0024900436401367188,0.0475316047668457,0.05394972,1.5014356,-222.652542327771,-0.09484411953996419,-2.4138330842006486,0.0,81,0.002830028533935547,0.9990166569380633,0.9990166569380633,338,-295.57553051422195,0.0
4,1.0377516746520996,-252.7364437356311,28.231558775339522,-220.0628528535084,-290.2284709992389,0.0,0.13890075850043493,0.1,0.0024213790893554688,0.04858207702636719,0.048523605,1.5291282,-225.660932468557,-0.10131166063074726,-2.829642457115471,0.0,86,0.0028488636016845703,0.9991232950206724,0.9991232950206724,424,-276.7160409876036,0.0
5,1.0435702800750732,-228.6547376735631,11.730958434570054,-217.8854732014454,-247.54733063929837,0.0,0.14190017127440757,0.1,0.002338886260986328,0.047239065170288086,0.048199467,2.280353,-225.96031298905763,-0.09088685940977574,-2.5116480095606613,0.0,89,0.0033631324768066406,0.9990466702384982,0.9990466702384982,513,-275.49977595126444,0.0
6,1.0339760780334473,-219.59143436624237,20.898590923662184,-188.9094264348414,-246.52822949656945,0.0,0.14770811928888078,0.1,0.0023589134216308594,0.046595096588134766,0.052666746,1.7354015,-225.3234251267761,-0.0957011308333924,-2.394351527672535,0.0,80,0.008114337921142578,0.9990189914003408,0.9990189914003408,593,-289.87612178562625,0.0
7,1.0363688468933105,-223.749507763935,10.766413936879003,-212.17364616290274,-236.48917574490983,0.0,0.13965752739502685,0.1,0.0024192333221435547,0.047545671463012695,0.04766827,1.8626996,-225.16603339049198,-0.09764028029464333,-2.459541460355478,0.0,78,0.012391328811645508,0.9990075394678888,0.9990075394678888,671,-267.8984068894104,0.0
8,1.1300406455993652,-226.05170043545962,4.961781656788089,-220.02089582634844,-232.63657593148113,0.0,0.14327389676966104,0.1,0.002483844757080078,0.04795479774475098,0.051087297,1.641125,-225.25460009498875,-0.0951020110161324,-2.4835110182430347,0.0,81,0.012787580490112305,0.999015512308922,0.999015512308922,752,-272.52298268631165,0.0
9,0.972334623336792,-231.54657993518754,6.808068389162235,-223.32843500446074,-239.37964230605039,0.0,0.1431137174250206,0.1,0.0023267269134521484,0.04663348197937012,0.051117897,3.292925,-225.88379807900864,-0.09661090649622926,-2.5500787343327813,0.0,83,0.004146099090576172,0.9990506501624462,0.9990506501624462,835,-282.58594372859517,0.0
10,1.0857675075531006,-219.1077820663839,6.8370466873786855,-211.86868933459195,-227.41474960716073,0.0,0.13684170233302007,0.1,0.030468225479125977,0.12894654273986816,0.05007199,1.8423665,-225.20619647774618,-0.09518655569395236,-2.3911221220886363,0.0,79,0.0027272701263427734,0.9990031516955268,0.9990031516955268,914,-293.3670379066645,0.0
