iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2874655723571777,-310.75578616161084,13.30161925593096,-289.1018060703391,-323.73839061733986,0.0,0.22498334675599377,0.1,0.033788442611694336,0.05788993835449219,0.06478312,0.6683325,-310.75578616161084,-3.060217041872674,-3.081943891662452,0.0,400,0.04095292091369629,1.000268065276396,0.9972744016246892,400,-230.7591409267105,0.0
1,1.2322425842285156,-308.1172434715819,1.2755682616901194,-306.7355304572497,-310.1906515421581,0.0,0.3653060054197673,0.1,0.002905130386352539,0.0699312686920166,0.050798114,0.34184602,-310.49193189260797,-3.002826005821024,-3.0550723279915055,0.0,400,0.09562015533447266,0.997236776287684,0.9926129040502688,800,-229.9173868115963,0.0
2,1.2789123058319092,-316.3735078775054,6.395754932913573,-306.4174287866109,-323.79372758587624,0.0,0.3611668853454997,0.1,0.0028696060180664062,0.06232166290283203,0.049937483,0.3654504,-311.08008949109774,-3.095735537904846,-3.137768693732859,0.0,400,0.04399418830871582,0.9927363588413638,0.9831349709937499,1200,-229.47169094549693,0.0
3,1.293874979019165,-317.053513084897,6.481307761268571,-309.4603584445436,-325.8783346786861,0.0,0.3674848897528813,0.1,0.026427745819091797,0.054970741271972656,0.049961053,0.3211826,-311.67743185047766,-3.1424571424753576,-3.1449409353593554,0.0,400,0.04356503486633301,0.9831025086478816,0.964367575131758,1600,-229.08432973918926,0.0
4,1.304093837738037,-312.02610694326756,10.367516837753758,-298.2562676046464,-325.4519573517998,0.0,0.35835216094000716,0.1,0.03815603256225586,0.06067657470703125,0.05273894,0.35294494,-311.7122993597567,-3.0325391539706015,-3.0950771015748164,0.0,400,0.03921389579772949,0.9637310810675279,0.9304767921987573,2000,-227.36669089129097,0.0
5,1.3737914562225342,-314.67522736786975,2.2094425287894,-311.5223357090175,-317.6778981527494,0.0,0.35028725876500616,0.1,0.00299835205078125,0.06492352485656738,0.051194612,0.3469025,-312.008592160568,-3.0895249051217433,-3.1212123524345077,0.0,400,0.039278268814086914,0.932433458520944,0.8806833294083567,2400,-231.3500116277396,0.0
6,1.3591961860656738,-319.2483196879731,6.7346741425483385,-310.68099141799473,-329.20470647644356,0.0,0.3537040933893624,0.1,0.0036096572875976562,0.05907797813415527,0.050417915,0.3641386,-312.7325649133085,-3.1748835060637672,-3.166500645155012,0.0,400,0.05017375946044922,0.8812710425514436,0.8043352938797882,2800,-236.9109481950459,0.0
7,1.3356404304504395,-311.1355791914671,6.109363991603295,-304.90085763102695,-320.57444134770014,0.0,0.31786419193490756,0.1,0.0030498504638671875,0.05697321891784668,0.046005193,0.3842164,-312.5728663411244,-3.0622770450353642,-3.085442890058486,0.0,400,0.04298996925354004,0.8000298596435054,0.6959403461095591,3200,-230.13587873801075,0.0
8,1.3472392559051514,-317.24708433388423,4.983544428155145,-309.26650735064715,-322.5537193278647,0.0,0.37346933801849397,0.1,0.0028684139251708984,0.06595993041992188,0.0506515,0.30496165,-313.0402881404004,-3.1042496755652573,-3.1468880746927574,0.0,400,0.03761482238769531,0.6998191701322325,0.5784913751197714,3600,-245.92321871425784,0.0
9,1.3971059322357178,-309.84391417646793,7.978419087147891,-297.4346823463908,-317.31683542507943,0.0,0.35079349901118895,0.1,0.003151416778564453,0.06914901733398438,0.048631873,0.32530126,-312.7206507440072,-3.0108266109821007,-3.073856844162129,0.0,400,0.0662074089050293,0.5763373683231984,0.455090400125798,4000,-234.408710519148,0.0
10,1.4095919132232666,-320.2177354493587,6.491539833438591,-312.90468173217516,-330.5946603750878,0.0,0.34929197391482414,0.1,0.01862788200378418,0.0564119815826416,0.04967201,0.33197713,-313.4703592145423,-3.1433625417694664,-3.1759024021662454,0.0,400,0.17593026161193848,0.46030650646081384,0.36320086829675113,4400,-229.9283632822294,0.0
11,1.4477896690368652,-313.21290029810757,14.212081769419516,-290.7382839508976,-327.3360724665144,0.0,0.35471799740490473,0.1,0.02252817153930664,0.05909466743469238,0.048660897,0.30237144,-313.4446133228989,-3.1041136476179125,-3.1063069144474875,0.0,400,0.052147626876831055,0.3581720256486268,0.3045402815354077,4800,-253.58481024299036,0.0
12,1.412858486175537,-316.82294404898994,6.571678337078652,-309.29123896395174,-324.9166583757691,0.0,0.31971943192454894,0.1,0.0029196739196777344,0.057005882263183594,0.04903127,0.39118478,-313.782446395508,-3.090804767625939,-3.142437079437034,0.0,400,0.05789303779602051,0.3076921970137928,0.29065795526139643,5200,-251.2538986237055,0.0
