iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.0948340892791748,-422.0899512780589,11.504636963794564,-408.28140978267317,-437.9735520406235,0.0,0.22103651604666488,0.1,0.03612685203552246,0.0509495735168457,0.06824135,0.9737897,-422.0899512780589,-4.153757875781696,-4.215861397598298,0.0,400,0.02330327033996582,0.999322508431998,0.9968960900170535,400,-400.63889204757146,0.0
1,1.0783116817474365,-433.15247329645143,19.056761476684667,-401.10947587160786,-450.9078136172731,0.0,0.37703135552097106,0.1,0.0026731491088867188,0.05085325241088867,0.049610797,0.30542713,-423.19620347989814,-4.26312208460816,-4.325171867338019,0.0,400,0.021813154220581055,0.996981071913095,0.9924023589211762,800,-402.96341032809505,0.0
2,1.161874771118164,-437.85749191026264,15.375793911644143,-412.757450603475,-450.52110279078715,0.0,0.40065205405015264,0.1,0.0025336742401123047,0.06484246253967285,0.05050656,0.301949,-424.6623323229346,-4.3102787090518175,-4.372632441564937,0.0,400,0.020529985427856445,0.9924295079360822,0.9819884906925261,1200,-401.8701304352125,0.0
3,1.1134674549102783,-439.8929541523405,5.626767791830373,-430.2817231248533,-444.2540491113447,0.0,0.4124139320933906,0.1,0.002588510513305664,0.05079460144042969,0.05091679,0.27494243,-426.1853945058752,-4.328545349414584,-4.391962127999447,0.0,400,0.028756380081176758,0.9819957281176425,0.9610522978552679,1600,-400.84965828933497,0.0
4,1.112560749053955,-430.452326400326,11.605263954972733,-416.89407695403884,-445.5775387919626,0.0,0.34831964561610235,0.1,0.0025641918182373047,0.05119490623474121,0.051983934,0.3610871,-426.6120876953203,-4.236364988817195,-4.298665331739552,0.0,400,0.022210359573364258,0.9608193452251472,0.9237718961735878,2000,-424.8807904906985,0.0
5,1.1073994636535645,-441.09758677578634,17.22202221297765,-411.65760866879947,-455.44042107531266,0.0,0.403560253853117,0.1,0.0026328563690185547,0.05110907554626465,0.05029625,0.28386003,-428.0606376033669,-4.343162386674704,-4.4046058018976275,0.0,400,0.020100116729736328,0.9244099626011286,0.8654845084442665,2400,-423.440736712095,0.0
6,1.1103441715240479,-433.0592485245887,13.6537460409025,-415.1531220356307,-453.3423517404624,0.0,0.37615417822183433,0.1,0.0026161670684814453,0.051688194274902344,0.049783822,0.31011963,-428.5604986954891,-4.261651004143803,-4.324000118091454,0.0,400,0.019907474517822266,0.8636461095604192,0.777813549038379,2800,-404.8373162138652,0.0
7,1.1226203441619873,-451.88441599327035,2.232255612231281,-448.6184963382933,-454.66460465742284,0.0,0.39978789998905856,0.1,0.0026535987854003906,0.05137228965759277,0.049277857,0.27498826,-430.8928904252673,-4.448650659682,-4.511421101417401,0.0,400,0.022417306900024414,0.7821642555123137,0.6703915407235242,3200,-389.5621354849186,0.0
8,1.1264266967773438,-441.96932215887875,6.745008232657703,-432.1209943348904,-450.08467466237715,0.0,0.4043870619312672,0.1,0.002596616744995117,0.05236935615539551,0.05087638,0.26892456,-432.00053359862846,-4.350453640385224,-4.413451927189481,0.0,400,0.019960641860961914,0.6715066143313239,0.5442730883741791,3600,-394.7700068391221,0.0
9,1.1417529582977295,-442.36807960154226,11.438567783461588,-422.91382632735923,-450.82629779530885,0.0,0.405302402883924,0.1,0.0026464462280273438,0.050843000411987305,0.04883136,0.27658615,-433.03728819891984,-4.353454164978503,-4.416686503882488,0.0,400,0.027440786361694336,0.5414493745663413,0.41824348165234665,4000,-399.3231800539576,0.0
10,1.1352272033691406,-434.2382806898522,13.482835309039709,-412.6257141654488,-447.6980957720301,0.0,0.38768685819091114,0.1,0.0025794506072998047,0.051140785217285156,0.050874766,0.28469527,-433.1573874480131,-4.273617135950993,-4.336283915391525,0.0,400,0.02053546905517578,0.420815468866834,0.32951722120523935,4400,-399.61986713952984,0.0
11,1.150435447692871,-450.914870719165,3.825122734451367,-447.291512530024,-456.36382477963053,0.0,0.41586744002865944,0.1,0.0026595592498779297,0.05356431007385254,0.050847635,0.25150567,-434.9331357751283,-4.440064465771695,-4.502248904365472,0.0,400,0.02053523063659668,0.32759220402642675,0.2832679759384821,4800,-385.27284700323753,0.0
12,1.1828951835632324,-428.0482071661529,9.071202097881066,-414.75623376754584,-440.22367376166926,0.0,0.33867832981235707,0.1,0.002643585205078125,0.05259084701538086,0.04927478,0.3515449,-434.2446429142308,-4.2136242395751315,-4.275273922336498,0.0,400,0.028018712997436523,0.2802559854509427,0.26838983967970237,5200,-408.4075312907282,0.0
13,1.2024435997009277,-449.0745905004845,7.360660759333016,-442.7947196741173,-461.15351650809504,0.0,0.3880875156642911,0.1,0.0027348995208740234,0.052076101303100586,0.0512619,0.26607808,-435.72763767285613,-4.42133469555701,-4.483541309107429,0.0,400,0.02204298973083496,0.27929688365480776,0.2731286933055317,5600,-359.4027853546543,0.0
14,1.6799900531768799,-427.72530260072597,16.798975663088875,-409.67746738568434,-450.9988660216338,0.0,0.3714048232190755,0.1,0.002599000930786133,0.05079793930053711,0.049744193,0.26604623,-434.9274041656431,-4.209552391868321,-4.2721267182772085,0.0,400,0.024346351623535156,0.2652700346657754,0.25633323405756914,6000,-404.70279874973284,0.0
15,1.1190459728240967,-450.1840088273134,1.5778939151427391,-448.1650052242738,-452.35972945500214,0.0,0.3664829413402219,0.1,0.002706766128540039,0.05154705047607422,0.050231587,0.29553512,-436.45306463181015,-4.431390721835305,-4.493952225184522,0.0,400,0.0232846736907959,0.26037562137028686,0.25471790623958734,6400,-394.92413019272516,0.0
