iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.3355364799499512,-42.29797818187103,5.651822220277018,-32.82242991206135,-47.76662948381912,0.0,0.09249921648544193,0.1,0.04994058609008789,0.14580535888671875,0.05084855,2.4699757,-42.29797818187103,-0.39863177109028664,0.04433223802356324,0.0,57,0.016288280487060547,0.9988342095824168,0.9988342095824168,57,-36.82497873233977,0.0
1,1.2259328365325928,-45.4602278797586,7.337577036523582,-36.52878424654494,-53.05304698446748,0.0,0.14897157733983257,0.1,0.0022897720336914062,0.045412540435791016,0.052516777,1.058291,-42.61420315165979,-0.38624780013702376,0.012767287242517812,0.0,60,0.0025200843811035156,0.9988609824667078,0.9988609824667078,117,-36.98978964077293,0.0
2,1.2509264945983887,-42.153594529614125,3.4876280574485414,-36.14258651896621,-44.684853706913486,0.0,0.12911982586441068,0.1,0.0021750926971435547,0.044656991958618164,0.05264243,1.147555,-42.568142289455224,-0.4056538702055185,0.0457758550886719,0.0,54,0.0024442672729492188,0.9988178974883061,0.9988178974883061,171,-37.32862900089282,0.0
3,1.3519465923309326,-46.442115881566934,3.246414831159684,-44.24606715706246,-52.03012347704219,0.0,0.1394255518415296,0.1,0.002263307571411133,0.04516887664794922,0.050463516,1.035484,-42.955539648666395,-0.3891630495820498,0.002890677455008638,0.0,60,0.002550363540649414,0.9988325229507149,0.9988325229507149,231,-29.597599385482383,0.0
4,1.0918710231781006,-45.32446565206529,5.848356763280406,-36.52481806850945,-52.30843920520748,0.0,0.13123202375534404,0.1,0.014551401138305664,0.056079864501953125,0.05073151,1.7344594,-43.19243224900628,-0.39364135265224665,0.014116022578335732,0.0,57,0.0023877620697021484,0.9988391776880546,0.9988391776880546,288,-29.965540365686135,0.0
5,1.371448040008545,-49.20323299794855,5.286797362119297,-40.06314803661614,-52.770360685823775,0.0,0.1347058570249002,0.1,0.013122081756591797,0.09148216247558594,0.049324293,1.5043931,-43.793512323900515,-0.41041561683383687,-0.024710043092436698,0.0,54,0.002965688705444336,0.9988861444124154,0.9988861444124154,342,-33.80204534944387,0.0
6,1.3000121116638184,-38.538165910625345,3.4655502388337425,-32.57610797700991,-41.088343019252775,0.0,0.14477749139316928,0.1,0.012493610382080078,0.0988771915435791,0.049829453,1.181895,-43.267977682573,-0.374341591029541,0.08194163021147055,0.0,63,0.002624034881591797,0.9987900078015111,0.9987900078015111,405,-47.068679088725446,0.0
7,1.3669252395629883,-43.108515029684895,3.3619795385980917,-39.92851203555625,-48.23796302801916,0.0,0.1334186439539564,0.1,0.012691259384155273,0.04824995994567871,0.051103912,1.0999119,-43.252031417284186,-0.41481285824479336,0.036279071706433616,0.0,52,0.004785299301147461,0.9988448149886076,0.9988448149886076,457,-39.03929943861051,0.0
8,1.3556768894195557,-43.57964549314189,1.5097819360997726,-40.98719837417859,-44.739282922383396,0.0,0.12427362464896399,0.1,0.0023016929626464844,0.04526019096374512,0.049280938,1.0014036,-43.28479282486996,-0.37490029076893927,0.0314884347942492,0.0,63,0.002712249755859375,0.9988431404218909,0.9988431404218909,520,-55.14966844524995,0.0
9,1.2404489517211914,-40.384376127908524,2.6035118626685367,-36.79107810701427,-44.14690936954946,0.0,0.1333029843595753,0.1,0.002237081527709961,0.045099496841430664,0.048811954,1.1187415,-42.994751155173816,-0.38507809863954146,0.0635088083689715,0.0,59,0.002450704574584961,0.9988157284110933,0.9988157284110933,579,-55.71047140218885,0.0
10,1.340050458908081,-45.129506791085895,1.646843729176135,-43.94785200033542,-47.97005963504328,0.0,0.13436658791858638,0.1,0.002229452133178711,0.044449806213378906,0.049896862,0.87187916,-43.208226718765026,-0.4165256741531517,0.016043696580738103,0.0,52,0.002783060073852539,0.9988558958725671,0.9988558958725671,631,-55.02721110894978,0.0
11,1.3315443992614746,-44.19771376872749,5.194640198332623,-39.99425434204203,-52.72062986103114,0.0,0.13857146531779357,0.1,0.014097929000854492,0.054735422134399414,0.051643997,0.90766656,-43.30717542376128,-0.4015982361030105,0.025365955948619654,0.0,55,0.002705097198486328,0.9988583254636896,0.9988583254636896,686,-56.10716358531935,0.0
12,1.3360390663146973,-43.15343608765093,5.130078884919188,-39.73194687519107,-52.025206762245084,0.0,0.13245077812877842,0.1,0.012691020965576172,0.06284546852111816,0.04917865,1.1005181,-43.29180149015024,-0.4135807951164427,0.03580797348237249,0.0,53,0.0026035308837890625,0.9988336160254992,0.9988336160254992,739,-55.481211096541614,0.0
13,1.2115747928619385,-42.46563063020885,1.9966980134228676,-39.871210650047246,-44.60944122176095,0.0,0.14368559954365884,0.1,0.0022203922271728516,0.045781612396240234,0.052568544,0.89722055,-43.209184404156105,-0.38153380020995753,0.042642635629256284,0.0,61,0.0066986083984375,0.9988461108708641,0.9988461108708641,800,-55.60841570994467,0.0
14,1.2964997291564941,-44.59152820989454,5.547506956319885,-36.62721851195611,-52.21437698288426,0.0,0.13728660780622343,0.1,0.002585887908935547,0.04796767234802246,0.050895218,0.9994063,-43.347418784729946,-0.3837390779501092,0.021369948894644077,0.0,63,0.0027043819427490234,0.9988638123431748,0.9988638123431748,863,-56.603642497582676,0.0
