iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.944955587387085,-17.23543892276878,8.72151644137878,-5.049381945423825,-29.651548283565823,0.0,0.10953807046208774,0.1,0.013229131698608398,0.04922223091125488,0.17556557,0.5701445,-17.23543892276878,-0.08182684787759499,0.989061694284562,0.0,111,0.00619816780090332,1.0124265239445709,1.0124265239445709,111,1.843473845991504,0.0
1,0.837496280670166,-9.827497595936496,4.6573425472193835,-3.6701938809669126,-15.967501447039128,0.0,0.16555729361361826,0.1,0.0027756690979003906,0.04777169227600098,0.050420817,0.7073102,-16.49464479008555,0.17991365542594273,1.1322219666502327,0.0,94,0.0027933120727539062,1.0186133986242758,1.0186133986242758,205,2.988259261877649,0.0
2,0.8629257678985596,-15.021279210352358,9.361780178160766,-6.337983920183165,-30.57483114766525,0.0,0.1565036979263121,0.1,0.0026984214782714844,0.0483546257019043,0.059545938,0.56352127,-16.347308232112233,-0.0718720994966808,1.0349779571022766,0.0,88,0.0026702880859375,1.0132681251732178,1.0132681251732178,293,1.6332548854883917,0.0
3,0.8776817321777344,-23.676098647743512,9.832600979541693,-8.79442122957252,-36.32277560171679,0.0,0.15629907754640882,0.1,0.0025780200958251953,0.04964423179626465,0.05117393,0.537341,-17.08018727367536,-0.3385820566283685,0.8641917358059845,0.0,101,0.005794048309326172,1.0091598130393118,1.0091598130393118,394,-2.2504312621919365,0.0
4,0.8785834312438965,63.40429343687943,110.43451705271481,246.898293478202,-24.356439651104804,0.0,0.1790663213502349,0.1,0.0027611255645751953,0.04849839210510254,0.03612717,0.9170021,-9.031739202619882,0.06175379841507744,2.599561078009717,0.0,87,0.002646207809448242,1.0000662618816847,1.0000662618816847,481,-3.489008972649346,0.0
5,0.8725876808166504,28.42770031700227,92.17286277956623,188.002285660739,-27.464036371540182,0.0,0.1464680984204078,0.1,0.002519845962524414,0.0484926700592041,0.041036874,4.4273796,-5.285795250657666,-0.22177987529361382,1.909388025728426,0.0,89,0.0025436878204345703,1.001938613075858,1.001938613075858,570,-6.134343068462852,0.0
6,0.8878562450408936,-12.979628051531693,5.029433242480587,-7.336274318680545,-19.429691710687614,0.0,0.14384007367168436,0.1,0.0024793148040771484,0.04828357696533203,0.04486738,0.7477243,-6.055178530745069,0.04483425004569838,1.076051387221249,0.0,90,0.002624988555908203,1.014982208110835,1.014982208110835,660,-6.26735222385647,0.0
7,0.8837652206420898,-14.82439900694516,12.168812755128936,0.8305661715987798,-28.384113315430238,0.0,0.14140285571588668,0.1,0.002677440643310547,0.04863882064819336,0.046545662,0.6276191,-6.932100578365079,-0.1047038036729884,1.038427484660824,0.0,84,0.002502918243408203,1.0119404386143895,1.0119404386143895,744,-5.261907746394529,0.0
8,0.8814115524291992,-21.49726004264339,6.742768871248841,-13.453800432756513,-29.4706017733684,0.0,0.1471635729155684,0.1,0.002505064010620117,0.04863333702087402,0.04415779,0.5386405,-8.38861652479291,-0.38039524093718274,0.9115801631033338,0.0,86,0.0026750564575195312,1.01148358703504,1.01148358703504,830,-5.812547112177519,0.0
9,0.903374433517456,-11.761582599943848,19.830552828182633,18.858641607310155,-30.50037196776723,0.0,0.14921679140660768,0.1,0.0024924278259277344,0.05084061622619629,0.044236984,0.75592387,-8.725913132308005,-0.126002778985129,1.0992137425107573,0.0,93,0.0025861263275146484,1.010455537352096,1.010455537352096,923,-3.241212512642291,0.0
